date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2003-07-30;2,815;-2,674;140;57;253;310;488;1,503;592;-;4,516;-;161;188;1,37;915;3,051;43;-94;197.4;2003-09-06
2003-10-31;2,794;-2,652;142;52;95;323;542;1,396;592;-;4,465;-;180;88;1,285;897;2,972;29;-111;197.4;2003-12-08
2004-01-31;2,799;-2,648;151;68;130;305;513;1,285;595;-;4,409;-;145;77;1,175;887;2,871;129;-99;197.4;2004-03-09
2004-04-30;2,876;-2,728;148;54;202;330;484;1,404;657;-;4,68;-;141;83;1,416;913;3,112;268;-127;197.4;2004-06-19
2004-07-30;3,074;-2,915;158;60;137;344;528;1,406;662;-;4,7;-;153;73;1,395;906;3,097;22;-76;197.1;2004-09-06
2004-10-31;3,023;-2,868;155;56;119;294;563;1,362;669;-;4,664;-;168;235;1,514;724;3,029;65;-71;197.1;2004-12-08
2005-01-31;2,979;-2,821;157;63;158;299;544;1,372;670;-;4,71;-;176;243;1,509;711;3,037;138;-98;197.1;2005-03-10
2005-05-01;3,36;-3,186;174;71;282;258;640;1,247;682;-;4,929;-;219;247;1,667;727;3,22;294;-128;197.1;2005-06-20
2005-08-01;3,331;-3,167;164;90;250;271;676;1,288;684;21;5,002;-;203;247;1,663;719;3,228;62;-87;197.1;2005-09-08
2005-11-01;3,27;-3,1;170;68;191;307;729;1,304;719;29;5,219;-;356;75;1,647;896;3,41;58;-120;197.1;2005-12-09
2006-02-01;3,235;-3,064;171;69;164;275;727;1,231;714;24;5,224;-;253;44;1,52;685;3,368;175;-202;197.1;2006-03-11
2006-05-01;3,227;-3,047;180;137;341;275;694;1,362;732;27;5,052;-;99;95;1,525;707;3,086;332;-137;197.1;2006-06-20
2006-08-01;3,381;-3,208;173;71;319;263;717;1,373;741;30;5,152;-;154;105;1,615;687;3,145;131;-141;197.1;2006-09-08
2006-11-01;3,354;-3,185;169;71;212;290;756;1,34;766;53;5,215;-;156;93;1,529;792;3,162;-4;-105;197.1;2006-12-09
2007-02-01;3,282;-3,155;127;40;203;328;773;1,377;786;37;5,072;-;39;77;1,361;758;2,996;36;-121;197.1;2007-03-11
2007-05-01;3,35;-3,16;190;79;295;312;758;1,434;787;38;5,242;-;30;83;1,42;743;3,11;276;-141;197.1;2007-06-20
2007-08-01;3,519;-3,331;188;154;322;316;756;1,485;948;376;5,607;-;28;81;1,409;1,594;3,346;203;-110;197.1;2007-09-08
2007-11-01;3,485;-3,298;187;60;133;314;838;1,373;1,152;396;5,868;-;27;81;1,453;1,767;3,571;96;-125;197.1;2007-12-09
2008-02-01;3,503;-3,341;162;47;123;289;847;1,39;1,146;397;5,949;-;57;72;1,443;1,755;3,62;62;-166;197.1;2008-03-10
2008-05-01;3,558;-3,353;205;68;191;291;820;1,434;1,159;347;5,733;-;93;60;1,556;1,414;3,351;269;-150;197.1;2008-06-20
2008-08-01;3,778;-3,577;201;80;170;292;816;1,41;1,16;433;5,729;-;54;56;1,533;1,401;3,307;150;-122;197.4;2008-09-08
2008-11-01;3,728;-3,541;187;68;174;311;876;1,481;1,16;434;5,774;-;41;60;1,563;1,369;3,308;116;-76;197.4;2008-12-09
2009-01-31;3,8;-3,612;189;62;224;290;861;1,466;1,174;434;5,781;-;38;52;1,534;1,375;3,282;197;-115;197.4;2009-03-10
2009-05-01;3,709;-3,522;187;63;232;309;843;1,518;1,171;442;5,891;-;46;133;1,707;1,124;3,212;205;-129;197.4;2009-06-20
2009-08-01;3,969;-3,764;205;95;301;319;855;1,652;1,172;443;6,037;-;70;365;2,037;853;3,272;208;-102;205.5;2009-09-08
2009-10-31;3,875;-3,675;200;71;211;330;892;1,582;1,172;448;6,009;-;77;366;1,967;840;3,182;62;-112;205.5;2009-12-08
2010-01-31;3,836;-3,651;186;68;257;291;924;1,607;1,172;453;6,074;-;89;360;1,97;839;3,187;194;-119;205.5;2010-03-10
2010-05-01;3,837;-3,639;198;74;401;337;880;1,794;1,173;455;6,248;-;18;379;2,089;829;3,296;321;-136;205.5;2010-06-20
2010-07-30;4,041;-3,03;1,012;91;493;346;805;1,887;1,174;451;6,231;-;21;79;1,693;1,162;3,329;114;-90;204.6;2010-09-06
2010-10-31;3,919;-2,915;1,004;146;533;342;850;1,884;1,173;455;6,268;-;-;57;1,664;1,111;3,262;154;-173;204.6;2010-12-08
2011-01-31;3,887;-2,927;960;88;481;361;835;1,844;1,173;453;6,28;-;-;54;1,6;1,119;3,187;140;-144;204.6;2011-03-10
2011-05-01;4,175;-3,106;1,069;85;616;347;823;1,994;1,22;449;6,519;-;-;49;1,748;1,09;3,357;355;-180;204.6;2011-06-20
2011-08-01;4,169;-3,128;1,041;97;638;337;836;2,012;1,182;444;6,522;-;5;240;1,95;855;3,3;197;-113;204;2011-09-08
2011-11-01;4,051;-3,044;1,007;81;500;351;875;1,963;1,192;446;6,539;-;6;238;1,894;860;3,265;71;-175;204;2011-12-09
2012-02-01;3,997;-2,998;998;79;545;330;851;1,902;1,239;441;6,551;-;1;237;1,826;841;3,244;179;-140;204;2012-03-10
2012-05-01;4,092;-3,051;1,042;96;510;362;825;1,891;1,302;462;6,913;-;4;237;2,018;889;3,517;367;-191;204;2012-06-20
2012-08-01;4,532;-3,454;1,078;115;369;338;845;1,796;1,302;459;6,839;-;5;36;1,828;909;3,362;198;-132;204.3;2012-09-08
2012-11-01;4,358;-3,336;1,022;92;390;345;888;1,836;1,308;465;6,897;-;34;47;1,846;893;3,343;137;-145;204.3;2012-12-09
2013-02-01;4,296;-3,291;1,005;70;371;325;895;1,775;1,308;498;6,959;-;1;43;1,785;955;3,324;206;-133;204.3;2013-03-11
2013-05-01;4,283;-3,246;1,037;103;455;382;901;1,961;1,31;491;7,14;-;6;48;1,926;916;3,416;240;-134;204.3;2013-06-20
2013-08-01;4,615;-3,556;1,059;90;467;360;883;3,913;1,269;485;8,981;-;3;75;3,768;870;5,176;168;-116;240.6;2013-09-08
2013-11-01;4,441;-3,42;1,021;63;793;382;933;5,2;1,272;482;10,28;-;987;50;4,695;1,09;6,322;11;-123;240.6;2013-12-09
2014-02-01;6,021;-4,532;1,489;4;285;425;1,323;2,691;4,086;917;12,421;-;-;375;2,482;3,517;6,716;170;-175;240.6;2014-03-11
2014-05-01;5,973;-4,433;1,54;2;429;459;1,31;2,593;4,07;994;12,244;-;-;218;2,566;3,282;6,543;437;-169;240.6;2014-06-20
2014-08-01;6,246;-4,677;1,569;131;390;484;1,295;2,477;4,066;966;12,099;-;-;77;2,496;3,093;6,324;377;-113;277.2;2014-09-08
2014-11-01;6,023;-4,514;1,509;122;377;485;1,383;2,866;3,819;956;12,136;-;-;20;2,412;3,099;6,264;182;-95;277.2;2014-12-09
2015-01-31;5,98;-4,461;1,519;125;323;482;1,342;2,664;3,787;944;11,909;-;-;28;2,403;2,769;5,988;344;-181;277.2;2015-03-10
2015-05-01;5,797;-4,315;1,482;59;296;500;1,261;2,269;3,799;938;11,461;-;-;54;2,482;2,23;5,477;255;-148;277.2;2015-06-20
2015-08-01;6,249;-4,733;1,516;119;384;490;1,331;2,409;3,813;937;11,632;-;-;333;2,842;1,939;5,554;317;-163;271.8;2015-09-08
2015-10-31;6,059;-4,586;1,474;72;304;470;1,38;2,388;3,827;926;11,614;-;-;346;2,72;2,117;5,613;135;-168;271.7;2015-12-08
2016-01-31;6,027;-4,605;1,422;-1,366;294;477;1,357;2,3;2,243;917;10,13;-;-;347;2,714;2,041;5,516;203;-155;271.7;2016-03-09
2016-05-01;6,283;-4,737;1,546;-940;265;489;1,287;2,604;962;912;9,102;-;-;350;2,719;2,017;5,481;242;-186;271.7;2016-06-20
2016-08-01;6,187;-4,696;1,491;78;280;454;1,291;2,262;965;900;8,843;-;-;58;2,485;1,879;5,181;239;-135;271.7;2016-09-08
2016-11-01;5,931;-4,53;1,401;34;213;448;1,352;2,209;1,004;891;8,853;-;-;50;2,471;1,911;5,207;143;-171;271.7;2016-12-09
2017-02-01;5,89;-4,495;1,395;28;203;414;1,374;2,188;1,003;882;8,772;-;-;44;2,394;1,914;5,088;101;-96;271.7;2017-03-11
2017-05-01;5,799;-4,378;1,421;32;207;414;1,322;2,167;1,003;881;8,696;-;-;134;2,491;1,737;5,051;226;-112;271.7;2017-06-20
2017-08-01;6,273;-4,742;1,531;66;235;424;1,336;2,25;1,003;871;8,689;-;-;126;2,487;1,692;5,005;176;-75;272.2;2017-09-08
2017-11-01;6,026;-4,553;1,474;-19;269;449;1,355;2,277;1,002;856;8,635;-;-;625;2,97;1,179;4,994;106;-59;272.2;2017-12-09
2018-02-01;6,029;-4,585;1,445;59;458;387;1,315;2,357;1,002;856;8,637;-;-;627;2,963;1,151;4,97;285;-71;272.2;2018-03-11
2018-05-01;5,886;-4,435;1,451;74;628;433;1,252;2,496;1,002;842;8,662;-;-;527;2,962;1,14;4,959;314;-84;272.2;2018-06-20
2018-08-01;6,46;-4,948;1,512;110;678;425;1,33;2,653;1,029;834;8,746;-;-;527;2,992;1,118;4,97;157;-48;272.8;2018-09-08
2018-11-01;6,214;-4,732;1,482;111;663;456;1,383;2,716;1,029;821;8,734;-;-;27;2,423;1,611;4,884;113;-73;272.8;2018-12-09
2019-02-01;6,247;-4,736;1,512;66;427;460;1,359;2,443;1,571;1,069;9,326;-;-;27;2,463;1,998;5,464;242;-87;272.8;2019-03-11
2019-05-01;6,22;-4,643;1,578;124;553;444;1,442;2,64;1,572;1,062;9,602;-;-;37;2,681;1,984;5,599;374;-227;272.8;2019-06-20
2019-08-01;6,744;-5,084;1,66;143;695;468;1,414;2,825;1,571;926;13,958;-;-;491;3,129;1,947;10,335;405;-91;269.7;2019-09-08
