date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2004-03-31;968;-671;298;29;41;518;742;1,482;409;10;3,555;-;160;159;1,292;766;2,569;25;-;158.04;2004-05-10
2004-06-30;1,033;-722;310;32;28;565;799;1,589;407;13;3,744;-;273;159;1,455;767;2,737;-98;-;158.04;2004-08-09
2004-09-30;1,086;-761;325;47;37;568;810;1,602;385;12;3,684;-;316;156;1,421;739;2,661;-28;-;158.04;2004-11-09
2004-12-31;1,075;-764;311;23;16;578;988;1,759;386;16;3,804;-;472;7;1,405;890;2,478;-16;-77;158.04;2005-02-09
2005-03-31;1,153;-825;328;37;17;644;1,035;1,897;383;12;3,905;-;503;5;1,596;885;2,549;-25;-13;177.7;2005-05-10
2005-06-30;1,11;-795;316;48;13;604;1,051;1,869;370;12;3,917;-;555;4;1,589;867;2,524;-22;-;177.7;2005-08-09
2005-09-30;1,161;-821;341;46;28;584;982;1,8;348;11;3,754;-;468;6;1,411;843;2,354;107;-;177.7;2005-11-09
2005-12-31;1,117;-799;319;38;28;569;1,032;1,815;365;16;3,736;-;307;80;1,324;845;2,323;99;-81;177.7;2006-02-09
2006-03-31;1,129;-814;314;55;78;607;1,056;1,921;369;-;3,868;-;308;80;1,409;849;2,401;52;-11;179.8;2006-05-10
2006-06-30;1,192;-852;340;56;69;621;1,033;1,903;372;-;3,9;-;265;79;1,399;852;2,395;81;-;179.8;2006-08-09
2006-09-30;1,168;-826;342;72;57;575;1,1;1,911;353;-;3,786;-;314;79;1,393;711;2,248;-48;-;179.8;2006-11-09
2006-12-31;1,365;-994;371;53;79;667;1,29;2,232;382;25;4,201;-;425;2;1,638;736;2,576;12;-76;179.8;2007-02-09
2007-03-31;1,376;-990;386;71;41;704;1,393;2,333;380;28;4,386;-;508;2;1,755;754;2,692;-96;-18;180.46;2007-05-10
2007-06-30;1,498;-1,084;414;75;22;734;1,394;2,343;359;31;4,434;-;581;204;1,942;601;2,742;-146;-21;180.46;2007-08-09
2007-09-30;1,329;-938;391;64;20;630;1,3;2,145;258;31;4,08;-;445;204;1,66;555;2,423;-23;-12;180.46;2007-11-09
2007-12-31;1,46;-1,051;409;71;62;812;1,208;2,249;251;25;4,134;-;371;216;1,725;590;2,516;207;-22;180.46;2008-02-09
2008-03-31;1,43;-1,021;410;71;26;936;1,313;2,468;262;34;4,528;-;674;216;2,068;606;2,899;-99;-22;173.32;2008-05-10
2008-06-30;1,531;-1,091;440;67;30;954;1,338;2,528;264;41;4,604;-;343;101;1,574;1,122;2,916;-20;-20;173.32;2008-08-09
2008-09-30;1,463;-1,031;433;65;44;915;1,34;2,577;252;39;4,604;-;322;3;1,414;1,313;2,941;15;-27;173.32;2008-11-09
2008-12-31;1,567;-1,135;432;-107;106;943;1,474;2,815;99;38;4,72;-;194;3;1,516;1,411;3,153;177;-32;173.32;2009-02-09
2009-03-31;1,29;-920;370;53;102;877;1,564;2,786;100;38;4,64;-;208;3;1,376;1,437;3,036;21;-28;170.99;2009-05-10
2009-06-30;1,097;-769;329;57;51;794;1,392;2,551;99;39;4,357;-;303;3;1,296;1,206;2,736;167;-29;170.99;2009-08-09
2009-09-30;1,012;-720;292;26;91;667;1,147;2,192;95;39;3,892;-;253;24;1,101;1,014;2,345;246;-29;170.99;2009-11-09
2009-12-31;1,081;-784;297;22;146;647;992;2,084;94;33;3,671;-;162;24;945;992;2,156;129;-19;170.99;2010-02-09
2010-03-31;967;-675;292;26;186;683;905;1,95;92;42;3,273;-;51;24;841;941;2,052;112;-15;171.72;2010-05-10
2010-06-30;1,065;-735;330;36;87;716;1,033;2,112;94;39;3,232;-;60;32;945;867;2,083;29;-15;171.72;2010-08-09
2010-09-30;1,206;-844;362;64;70;732;1,142;2,227;93;44;3,356;-;64;38;1,052;861;2,181;39;-19;171.72;2010-11-09
2010-12-31;1,347;-953;394;55;106;738;1,076;2,306;91;45;3,43;-;90;203;1,293;711;2,227;141;-23;171.72;2011-02-09
2011-03-31;1,275;-877;397;71;88;820;1,206;2,352;91;48;3,511;-;85;209;1,321;712;2,267;-130;-27;172.29;2011-05-10
2011-06-30;1,481;-1,041;440;82;53;879;1,326;2,464;90;50;3,645;-;205;263;1,44;711;2,354;-203;-25;172.29;2011-08-09
2011-09-30;1,329;-961;368;35;61;869;1,669;2,833;94;52;4,087;-;311;262;1,717;779;2,774;-84;-40;172.29;2011-11-09
2011-12-31;1,811;-1,336;475;71;66;1,034;1,443;2,777;93;51;4,085;-;335;1;1,743;763;2,74;336;-44;172.29;2012-02-09
2012-03-31;1,472;-1,027;444;64;70;1,103;1,767;3,189;104;52;4,53;-;395;1;1,954;952;3,157;-186;-39;172.33;2012-05-10
2012-06-30;1,764;-1,255;509;79;88;1,166;1,891;3,424;105;319;5,111;-;253;112;2,068;1,345;3,677;47;-78;172.33;2012-08-09
2012-09-30;1,594;-1,104;490;81;134;1,036;1,903;3,343;104;307;4,994;-;303;361;2,164;1,076;3,529;11;-40;172.33;2012-11-09
2012-12-31;1,746;-1,222;524;103;112;997;1,93;3,317;110;95;5,118;-;303;364;2,25;1,012;3,552;261;-37;172.33;2013-02-09
2013-03-31;1,56;-1,062;498;73;114;1,131;1,911;3,408;109;90;5,194;-;429;358;2,256;1,023;3,571;-66;-27;172.52;2013-05-10
2013-06-30;1,62;-1,107;513;83;112;1,075;1,978;3,463;111;86;5,302;-;454;251;2,156;1,152;3,601;20;-16;172.52;2013-08-09
2013-09-30;1,78;-1,266;514;86;83;1,14;1,904;3,326;111;79;5,139;-;327;1;1,738;1,351;3,393;160;-17;172.52;2013-11-09
2013-12-31;1,796;-1,242;554;93;176;1,065;1,756;3,249;114;76;5,058;-;89;1;1,549;1,367;3,2;402;-39;172.52;2014-02-09
2014-03-31;1,676;-1,177;499;68;154;1,125;1,945;3,554;117;71;5,353;-;279;1;1,731;1,394;3,402;-128;-16;172.97;2014-05-10
2014-06-30;1,768;-1,245;523;86;184;1,125;1,835;3,421;115;64;5,196;-;175;1;1,58;1,373;3,227;135;-16;172.97;2014-08-09
2014-09-30;1,671;-1,159;511;57;169;1,12;1,806;3,435;133;58;5,237;-;121;0;1,502;1,408;3,212;136;-30;172.97;2014-11-09
2014-12-31;1,803;-1,275;529;107;199;1,078;1,661;3,478;132;56;5,273;-;7;0;1,372;1,418;3,142;403;-20;172.97;2015-02-09
2015-03-31;1,541;-1,127;414;53;167;1,086;1,973;3,525;137;52;5,354;-;10;0;1,273;1,477;3,088;-224;-9;171.28;2015-05-10
2015-06-30;1,68;-1,245;435;62;244;1,079;1,918;3,507;139;47;5,324;-;14;0;1,221;1,482;3,04;74;-10;171.28;2015-08-09
2015-09-30;1,517;-1,095;422;33;253;990;1,995;3,509;166;45;5,52;-;172;0;1,3;1,553;3,19;158;-22;171.28;2015-11-09
2015-12-31;1,537;-1,167;370;-309;475;936;1,8;3,46;129;49;5,108;-;117;-;1,243;1,548;3,058;371;-34;171.28;2016-02-09
2016-03-31;1,494;-1,113;381;15;425;937;1,74;3,294;122;70;4,87;-;76;-;1,158;1,492;2,928;57;-38;168.14;2016-05-10
2016-06-30;1,31;-967;343;5;384;918;1,688;3,252;119;67;4,754;-;65;-;1,113;1,47;2,864;75;-17;168.14;2016-08-09
2016-09-30;1,333;-964;369;36;460;863;1,726;3,319;119;69;4,886;-;8;-;1,194;1,474;2,991;177;-17;168.14;2016-11-09
2016-12-31;1,491;-1,111;380;9;593;970;1,601;3,378;118;71;4,91;-;2;-;1,233;1,487;3,009;131;-20;168.14;2017-02-09
2017-03-31;1,402;-1,009;393;47;593;991;1,597;3,395;118;71;4,893;-;2;-;1,235;1,487;2,978;-58;-19;168.54;2017-05-10
2017-06-30;1,581;-1,159;422;56;411;1,022;1,795;3,482;119;72;5,029;-;102;350;1,707;1,116;3,092;-112;-20;168.54;2017-08-09
2017-09-30;1,538;-1,133;405;50;516;1,049;1,742;3,558;119;84;5,14;-;32;350;1,653;1,291;3,214;55;-33;168.54;2017-11-09
2017-12-31;1,733;-1,299;434;64;458;1,096;1,708;3,531;119;117;5,069;-;18;-;1,545;1,296;3,095;398;-49;168.54;2018-02-09
2018-03-31;1,67;-1,23;440;71;325;1,173;1,906;3,687;121;130;5,254;-;169;-;1,626;1,322;3,194;-242;-32;168.54;2018-05-10
2018-06-30;1,729;-1,263;466;81;300;1,182;1,968;3,763;120;141;5,457;-;213;-;1,742;1,33;3,338;18;-46;168.54;2018-08-09
2018-09-30;1,755;-1,306;449;25;221;1,17;2,017;3,696;119;154;5,413;-;223;-;1,734;1,315;3,299;-6;-46;168.54;2018-11-09
2018-12-31;1,842;-1,429;413;55;454;1,121;2,061;3,924;120;176;5,696;-;154;-;1,992;1,354;3,587;490;-77;168.54;2019-02-09
2019-03-31;1,81;-1,38;430;28;290;1,222;2,356;4,187;181;299;6,459;-;658;-;2,574;1,341;4,415;-324;-23;163.5;2019-05-10
2019-06-30;2,137;-1,655;482;88;160;1,374;2,366;4,217;203;299;6,473;-;751;-;2,584;1,321;4,421;-127;-37;163.5;2019-08-09
2019-09-30;1,959;-1,5;459;76;252;1,234;2,215;3,959;203;302;6,253;-;532;200;2,331;1,325;4,151;204;-40;163.5;2019-11-09
2019-12-31;1,911;-1,483;428;50;268;1,165;1,99;3,659;204;321;5,99;-;226;200;2,026;1,318;3,875;438;-54;163.5;2020-02-09
2020-03-31;1,558;-1,14;418;54;260;1,138;2,152;3,828;205;342;6,255;-;329;200;2,112;1,381;4,022;-14;-38;162.29;2020-05-10
2020-06-30;1,419;-1,075;344;18;338;899;1,893;3,416;204;333;5,716;-;158;200;1,735;1,348;3,589;319;-17;162.29;2020-08-09
2020-09-30;1,553;-1,163;390;88;453;889;1,626;3,261;204;325;5,535;-;217;200;1,717;1,136;3,351;340;-26;162.29;2020-11-09
2020-12-31;1,666;-1,248;418;72;539;961;1,477;3,214;205;322;5,458;-;92;201;1,623;1,107;3,252;317;-34;162.29;2021-02-09
2021-03-31;1,596;-1,189;407;70;469;961;1,593;3,319;205;314;5,524;-;103;326;1,817;973;3,28;12;-33;161.09;2021-05-10
2021-06-30;1,845;-1,396;449;91;378;1,063;1,643;3,416;204;303;5,615;-;114;386;1,942;903;3,363;8;-17;161.09;2021-08-09
2021-09-30;1,904;-1,443;461;99;518;1,144;1,627;3,62;233;305;5,936;-;419;191;2,156;923;3,637;212;-38;161.09;2021-11-09
2021-12-31;1,949;-1,465;484;103;502;1,109;1,687;3,619;237;306;5,971;-;374;190;2,155;921;3,648;193;-45;161.09;2022-02-09
2022-03-31;1,953;-1,463;490;92;295;1,242;2,101;4,03;304;323;6,402;-;804;63;2,647;909;4,126;-273;-30;155.07;2022-05-10
2022-06-30;2,289;-1,761;528;125;170;1,344;2,228;4,098;300;318;6,47;-;992;110;2,789;807;4,152;-112;-30;155.07;2022-08-09
2022-09-30;2,384;-1,807;577;149;120;1,488;2,526;4,652;317;319;7,024;-;1,087;106;3,196;836;4,594;-24;-33;155.07;2022-11-09
2022-12-31;2,653;-2,025;628;135;288;1,551;2,461;4,781;325;333;7,269;-;1,068;114;3,401;815;4,826;410;-78;155.07;2023-02-09
2023-03-31;2,38;-1,758;622;133;129;1,623;2,71;4,974;331;351;7,512;-;1,266;253;3,763;675;5,049;-166;-79;147.73;2023-05-10
2023-06-30;2,779;-2,125;654;148;74;1,681;2,764;4,985;331;336;7,508;-;1,142;199;3,569;949;5,111;66;-40;147.73;2023-08-09
2023-09-30;2,704;-2,044;660;155;168;1,617;2,919;5,217;329;337;7,738;-;1,372;203;3,69;955;5,219;37;-50;147.73;2023-11-09
2023-12-31;2,664;-2,024;640;85;152;1,508;2,844;4,93;329;309;7,557;-;1,239;199;3,485;949;5,043;291;-51;147.73;2024-02-09
