date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2018-03-31;10,335;-7,208;3,127;210;1,26;3,894;4,425;11,616;3,924;8,159;35,211;4,705;710;3,092;9,346;8,895;22,482;434;-222;370;2018-05-02
2018-06-30;10,821;-7,491;3,33;308;1,187;4,086;4,371;10,469;4,282;8,081;40,001;5,012;838;2,623;9,189;11,49;27,538;591;-246;370;2018-07-25
2018-10-01;14,319;-10,032;4,287;-15;1,314;4,187;4,623;11,007;4,288;7,933;40,352;5,195;956;2,375;9,265;11,784;27,801;1,162;-384;370;2018-11-14
2018-12-31;11,218;-7,768;3,45;250;1,065;4,527;4,803;11,637;3,942;7,798;30,153;5,288;971;1,647;8,704;5,881;18,034;314;-482;370;2019-02-21
2019-03-31;10,659;-7,387;3,272;206;929;4,033;4,572;9,868;3,944;7,622;35,224;4,476;745;2,046;7,927;5,876;23,902;960;-174;360;2019-05-02
2019-06-30;11,133;-7,682;3,451;306;1,151;4,297;4,593;10,304;3,944;7,524;35,48;4,607;879;1,563;7,718;6,449;24,188;951;-209;360;2019-07-25
2019-10-01;14,655;-10,204;4,451;353;944;4,334;4,824;10,456;3,944;7,419;35,463;4,597;702;2,3;8,2;6,105;24,234;1,061;-397;360;2019-11-14
2019-12-31;11,59;-8,008;3,582;266;1,133;4,808;5,076;11,31;3,946;7,322;36,309;5,316;743;2,546;9,227;5,971;25,075;988;-413;360;2020-02-21
2020-03-31;11,8;-8,159;3,641;276;2,184;4,207;4,485;11,303;3,946;7,242;36,071;4,931;583;2,445;8,656;6,338;24,869;1,813;-191;350;2020-05-02
2020-06-30;11,957;-8,306;3,651;162;2,197;3,878;4,689;11,581;3,948;7,117;36,131;4,873;658;2,564;8,809;6,343;24,918;935;-169;350;2020-07-25
2020-10-01;15,671;-10,982;4,689;360;1,499;3,979;5,332;11,549;3,948;6,98;35,868;5,201;693;2,014;8,675;6,531;24,769;1,063;-380;350;2020-11-14
2021-01-01;13,286;-9,278;4,008;394;1,668;4,095;5,195;11,551;3,948;6,87;35,87;5,369;661;1,976;8,759;6,449;24,882;1,38;-418;350;2021-02-22
2021-03-31;11,872;-8,174;3,698;335;1,549;3,785;5,232;11,096;3,948;6,761;35,248;4,979;582;1,917;8,211;6,447;24,322;852;-202;330;2021-05-02
2021-06-30;12,491;-8,53;3,961;434;1,888;3,903;5,06;11,382;3,949;6,654;35,469;5,244;438;2,329;8,921;5,994;24,456;1,635;-258;330;2021-07-25
2021-10-01;16,05;-11,027;5,023;488;1,78;4,048;5,214;12,01;3,949;6,502;35,958;5,32;466;2,247;9,002;6,29;24,861;1,316;-330;330;2021-11-14
2022-01-01;12,757;-8,705;4,052;719;1,976;4,39;5,166;12,637;3,949;6,402;36,614;5,432;502;2,299;9,196;6,211;25,041;1,024;-392;330;2022-02-22
2022-03-31;12,262;-8,335;3,927;473;2,074;4,244;5,288;12,853;3,952;6,282;36,613;5,382;650;2,388;9,279;6,216;24,981;863;-186;320;2022-05-02
2022-06-30;12,847;-8,692;4,155;428;1,477;4,773;5,36;12,233;4,323;6,743;36,714;5,58;523;1,872;9,072;6,82;25,547;1,245;-302;320;2022-07-25
2022-10-01;17,388;-11,914;5,474;575;1,414;4,843;5,763;13,014;4,318;6,605;37,695;5,778;616;2,189;9,709;6,978;26,391;1,499;-432;320;2022-11-14
2022-12-31;14,007;-9,587;4,42;518;1,608;5,153;5,855;13,376;4,323;6,505;38,147;6,215;708;2,128;10,098;7,056;26,848;1,148;-651;320;2023-02-21
2023-03-31;12,995;-8,788;4,207;437;1,162;4,996;5,735;12,875;4,329;6,384;37,734;5,673;625;2,117;9,443;7,031;26,262;915;-315;310;2023-05-02
2023-06-30;13,738;-9,312;4,426;541;1,209;5,209;5,556;13,234;4,335;6,271;38,096;5,744;668;2,258;9,736;7,325;26,782;1,289;-423;310;2023-07-25
2023-10-01;18,265;-12,534;5,731;649;1,228;5,212;5,87;13,357;4,353;6,121;38,252;6,183;672;2,716;10,627;6,586;26,821;2,045;-695;310;2023-11-14
2023-12-31;14,531;-9,858;4,673;560;1,488;5,43;5,82;13,578;4,349;5,994;38,979;6,317;863;2,646;10,847;6,661;27,515;1,405;-639;310;2024-02-21
