date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2007-03-31;1,316;-1,149;167;7;62;214;389;1,028;830;86;3,341;-;11;78;795;1,251;2,362;-18;-52;140.0;2007-05-05
2007-06-30;1,319;-1,15;169;-4;50;207;387;1,026;802;86;3,316;-;11;75;733;1,258;2,33;0;-59;140.0;2007-08-04
2007-09-30;1,301;-1,15;152;4;94;234;367;810;833;87;3,16;-;10;70;681;845;1,965;25;-58;140.0;2007-11-04
2007-12-31;1,274;-1,075;199;-21;28;202;351;634;818;93;2,998;-;10;18;591;855;1,849;99;-67;140.0;2008-02-19
2008-03-31;1,203;-1,047;156;2;56;205;382;696;858;94;3,155;-;10;13;613;998;2,008;18;-46;140.0;2008-05-05
2008-06-30;1,355;-1,205;151;-9;16;240;389;709;857;93;3,185;-;10;12;564;1,09;2,064;-60;-63;140.0;2008-08-04
2008-09-30;1,344;-1,186;158;-11;126;217;398;822;871;98;3,33;-;10;12;585;1,241;2,229;50;-49;140.0;2008-11-04
2008-12-31;1,34;-1,184;156;-12;366;139;377;955;876;97;3,452;-;9;179;818;1,2;2,309;187;-49;140.0;2009-02-19
2009-03-31;1,279;-1,112;167;4;263;178;401;912;877;100;3,436;-;9;183;791;1,21;2,287;-39;-58;140.0;2009-05-05
2009-06-30;1,321;-1,153;168;7;208;183;388;872;878;101;3,367;-;10;376;965;940;2,196;-10;-36;140.0;2009-08-04
2009-09-30;1,297;-1,104;193;25;89;207;355;751;868;100;3,215;-;4;364;946;787;2,04;57;-30;140.0;2009-11-04
2009-12-31;1,325;-1,119;206;23;29;189;332;617;857;98;3,058;-;4;206;737;835;1,868;81;-40;140.0;2010-02-19
2010-03-31;1,192;-1,016;175;20;72;294;331;825;753;144;2,992;-;6;203;918;832;2,055;65;-29;140.0;2010-05-05
2010-06-30;1,271;-1,089;182;5;25;321;330;798;756;152;2,98;-;8;467;1,15;583;2,043;40;-42;140.0;2010-08-04
2010-09-30;1,293;-1,109;184;-20;10;318;300;760;754;159;3,041;-;8;385;1,1;569;2,125;118;-49;140.0;2010-11-04
2010-12-31;1,212;-1,005;207;31;-;58;276;584;753;164;2,835;-;16;497;1,092;389;1,911;63;-42;140.0;2011-02-19
2011-03-31;1,148;-967;181;11;16;61;299;668;752;170;2,91;-;-;250;853;691;1,972;8;-50;140.0;2011-05-05
2011-06-30;1,238;-1,039;200;25;-;58;287;671;752;175;2,936;-;14;205;801;746;1,98;29;-58;140.0;2011-08-04
2011-09-30;1,262;-1,062;200;43;-;57;303;663;755;186;2,955;-;18;222;844;716;2,12;130;-52;140.0;2011-11-04
2011-12-31;1,245;-1,059;187;9;-;76;343;643;754;192;2,941;-;36;6;589;942;2,075;79;-69;140.0;2012-02-19
2012-03-31;1,161;-990;171;-6;1;54;327;708;753;199;3,018;-;5;6;520;1,086;2,159;-25;-56;140.0;2012-05-05
2012-06-30;1,148;-992;156;-4;84;52;320;779;754;204;3,101;-;15;6;553;1,122;2,239;105;-64;140.0;2012-08-04
