date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2013-03-15;2,512;-2,014;498;363;195;300;752;1,288;1,856;372;5,114;986;-;8;1,152;660;2,241;174;-53;286.5;2013-04-19
2013-07-01;3,572;-2,885;687;145;88;324;757;1,204;1,856;368;5,063;985;1;7;1,15;656;2,216;168;-74;286.5;2013-08-10
2013-09-30;2,612;-2,119;493;84;81;300;781;1,189;1,856;365;5,064;1,005;2;12;1,206;650;2,266;160;-47;286.5;2013-11-14
2013-12-15;2,701;-2,195;507;99;55;306;876;1,277;1,856;360;5,165;1,085;5;9;1,199;804;2,396;22;-48;286.5;2014-01-24
2014-03-15;2,555;-2,056;499;97;9;283;756;1,096;1,856;354;4,989;915;-;9;1,029;847;2,295;97;-37;264.3;2014-04-19
2014-07-01;3,622;-2,936;686;145;34;287;768;1,137;1,856;345;5,039;-;1;8;1,038;915;2,374;186;-56;264.3;2014-08-10
2014-09-30;2,712;-2,19;523;116;36;310;821;1,197;1,947;346;5,28;983;2;12;1,077;1,045;2,611;129;-67;264.3;2014-11-14
2014-12-15;2,841;-2,293;548;112;196;335;921;1,487;1,947;343;5,571;987;4;207;1,268;1,114;2,893;12;-34;264.3;2015-01-24
2015-03-15;2,707;-2,169;538;112;67;301;786;1,197;1,916;371;5,3;899;-;10;981;1,048;2,561;217;-37;251.2;2015-04-19
2015-07-01;3,842;-3,083;759;163;5;300;797;1,158;1,917;372;5,276;906;1;9;980;1,092;2,582;202;-73;251.2;2015-08-10
2015-09-30;2,834;-2,268;566;132;22;291;824;1,174;1,932;379;5,387;999;1;17;1,064;1,145;2,744;248;-115;251.2;2015-11-14
2015-12-15;2,962;-2,386;576;140;-;346;940;1,326;1,955;381;5,624;1,018;50;16;1,125;1,356;3,021;-7;-64;251.2;2016-01-24
2016-03-15;2,882;-2,309;574;125;51;293;830;1,222;1,955;382;5,545;958;1;15;1,031;1,298;2,896;258;-49;239.3;2016-04-19
