date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2007-03-31;52;-36;17;2;1;20;24;48;65;8;178;24;7;0;33;12;47;5;-1;17.44;2007-05-05
2007-06-30;64;-42;22;13;1;22;25;51;65;7;184;-;6;0;35;11;49;6;-1;17.44;2007-08-04
2007-09-30;109;-79;30;7;1;36;40;80;118;22;289;37;13;0;52;98;152;9;-2;17.44;2007-11-04
2007-12-31;102;-74;28;3;1;31;40;74;108;41;286;-;10;0;48;97;150;12;-4;17.44;2008-03-10
2008-03-31;94;-69;25;3;1;30;44;77;108;41;290;41;12;0;55;97;157;6;-4;17.5;2008-05-05
2008-06-30;115;-83;32;7;1;37;41;82;109;40;298;-;12;0;56;101;163;8;-4;17.5;2008-08-04
2008-09-30;123;-91;33;8;1;37;46;88;110;42;310;-;7;0;57;106;170;14;-3;17.5;2008-11-04
2008-12-31;117;-86;31;3;2;35;44;83;111;41;307;-;11;0;56;107;170;5;-3;17.5;2009-03-11
2009-03-31;104;-79;25;2;1;32;53;89;111;41;314;-;12;0;58;115;180;2;-1;17.59;2009-05-05
2009-06-30;124;-91;33;7;1;37;52;93;111;40;316;-;11;0;59;114;181;8;-2;17.59;2009-08-04
2009-09-30;123;-89;34;7;0;34;48;87;111;39;357;-;3;10;65;108;220;18;-2;17.59;2009-11-04
2009-12-31;111;-82;29;3;1;34;46;88;111;38;350;-;5;8;62;112;213;-2;-1;17.59;2010-03-11
2010-03-31;110;-81;28;1;1;34;49;86;111;38;351;-;4;8;64;110;178;11;-1;17.83;2010-05-05
2010-06-30;126;-94;32;5;0;38;50;91;117;38;359;-;6;9;67;112;186;4;-1;17.83;2010-08-04
2010-09-30;144;-108;36;4;0;43;49;96;129;44;378;-;3;10;66;126;204;12;-2;17.83;2010-11-04
2010-12-31;156;-121;35;4;1;53;57;115;141;54;432;-;9;20;90;149;253;7;-2;17.83;2011-03-11
2011-03-31;154;-119;35;1;2;55;68;133;139;55;458;-;8;19;99;170;283;-3;-3;18.88;2011-05-05
2011-06-30;184;-141;42;5;5;67;69;150;139;56;486;-;17;13;107;187;313;5;-3;18.88;2011-08-04
2011-09-30;206;-157;48;6;4;79;87;183;152;72;608;-;13;18;119;251;398;15;-3;18.88;2011-11-04
2011-12-31;245;-197;48;2;5;79;80;177;150;77;615;-;21;21;130;252;411;13;-15;18.88;2012-03-10
2012-03-31;216;-173;44;1;4;72;91;173;155;76;614;-;16;18;124;260;413;9;-11;20.68;2012-05-05
2012-06-30;249;-194;55;7;4;83;93;185;155;75;631;-;13;19;129;272;429;10;-12;20.68;2012-08-04
2012-09-30;253;-199;54;5;4;83;87;180;154;73;622;-;3;21;125;260;414;21;-3;20.68;2012-11-04
2012-12-31;242;-194;48;3;4;80;80;170;155;72;606;-;13;127;233;147;401;10;-4;20.68;2013-03-11
2013-03-31;229;-185;45;1;4;83;99;195;168;78;680;-;21;25;139;315;479;-5;-3;21.37;2013-05-05
2013-06-30;279;-220;59;5;3;90;100;201;167;77;662;-;25;24;157;281;462;17;-4;21.37;2013-08-04
2013-09-30;287;-229;58;5;3;92;115;215;167;76;674;-;30;163;307;134;463;2;-5;21.37;2013-11-04
2013-12-31;278;-227;51;1;1;93;109;211;169;75;670;-;35;113;252;189;462;1;-3;21.37;2014-03-11
2014-03-31;267;-219;48;2;4;81;116;210;169;74;676;-;23;129;258;187;468;10;-12;22.17;2014-05-05
2014-06-30;322;-262;61;4;3;103;120;233;169;73;709;-;31;157;309;177;508;2;-17;22.17;2014-08-04
2014-09-30;330;-268;63;5;5;110;135;256;170;72;736;-;7;3;129;378;531;-3;-12;22.17;2014-11-04
2014-12-31;302;-245;58;2;10;117;122;254;175;72;739;-;6;3;120;386;535;12;-6;22.17;2015-03-11
2015-03-31;328;-270;59;4;11;110;135;265;176;71;753;-;4;3;125;370;524;12;-5;24.54;2015-05-05
2015-06-30;363;-292;71;-11;7;135;131;280;176;70;754;-;3;2;137;337;508;16;-10;24.54;2015-08-04
2015-09-30;393;-314;78;10;10;150;136;303;208;80;835;-;8;3;156;372;575;30;-8;24.54;2015-11-04
2015-12-31;388;-313;75;14;11;160;142;320;210;80;856;-;11;4;160;325;537;10;-8;24.54;2016-03-10
2016-03-31;381;-314;67;9;4;141;144;296;205;82;828;-;10;1;153;283;493;33;-8;28.9;2016-05-05
2016-06-30;463;-375;88;18;4;176;162;349;276;123;995;-;17;1;182;362;625;35;-10;28.9;2016-08-04
2016-09-30;481;-390;91;21;5;167;169;348;278;123;1,001;-;8;1;177;330;593;49;-9;28.9;2016-11-04
2016-12-31;537;-433;105;20;19;181;170;379;320;150;1,121;-;13;7;189;407;695;34;-17;28.9;2017-03-11
2017-04-01;478;-386;93;15;19;173;189;392;322;151;1,149;-;20;8;208;409;722;32;-14;29.9;2017-05-06
2017-07-01;577;-462;115;27;30;202;195;436;321;148;1,201;-;14;8;233;452;774;13;-23;29.9;2017-08-05
2017-09-30;558;-455;103;21;14;195;208;426;340;148;1,225;-;13;8;231;466;785;28;-12;29.9;2017-11-04
2017-12-31;585;-477;108;17;15;221;218;464;439;201;1,46;-;20;34;267;632;962;13;-16;29.9;2018-03-11
2018-03-31;585;-475;110;13;19;232;250;513;467;213;1,573;-;46;37;289;696;1,053;-11;-12;32.5;2018-05-05
2018-06-30;762;-602;159;31;16;321;330;679;611;350;2,119;-;15;43;354;932;1,372;56;-16;32.5;2018-08-04
2018-09-30;836;-669;167;36;18;312;325;668;759;446;2,378;-;11;76;347;1,089;1,571;60;-17;32.5;2018-11-04
2018-12-31;844;-679;165;18;19;322;340;696;777;453;2,451;-;58;84;407;1,087;1,627;31;-26;32.5;2019-03-11
2019-03-31;777;-617;160;10;15;289;388;708;810;444;2,756;-;57;104;417;1,129;1,961;5;-15;36.0;2019-05-05
2019-06-30;945;-750;196;31;12;355;373;756;803;436;2,791;-;17;86;394;930;1,732;35;-24;36.0;2019-08-04
2019-09-30;968;-778;191;27;15;334;359;726;817;446;2,862;-;43;89;450;902;1,79;116;-25;36.0;2019-11-04
2019-12-31;959;-780;179;16;18;347;396;780;780;490;2,937;-;41;98;453;967;1,866;8;-25;36.0;2020-03-10
2020-03-31;935;-754;181;12;11;378;464;875;815;514;3,142;-;17;97;453;1,133;2,051;-21;-29;39.0;2020-05-05
2020-06-30;977;-793;183;13;15;374;431;836;805;504;3,079;-;28;34;484;1,056;2,01;108;-19;39.0;2020-08-04
2020-09-30;1,101;-887;214;35;193;359;417;986;820;515;3,259;-;17;34;482;974;1,924;139;-22;39.0;2020-11-04
2020-12-31;1,056;-854;202;23;363;387;449;1,225;853;518;3,542;-;19;36;494;951;1,944;2;-22;39.0;2021-03-11
2021-03-31;1,01;-816;193;20;30;536;482;1,073;867;520;4,137;-;14;29;489;1,296;2,544;22;-34;43.7;2021-05-05
