date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2003-03-31;367;-357;11;4;11;224;282;524;3;-;653;-;12;-;179;200;400;2;-4;42;2003-05-10
2003-06-30;340;-329;11;4;18;218;266;509;2;-;639;-;-;-;173;187;385;25;-6;42;2003-08-09
2003-09-30;393;-375;17;4;23;283;311;642;6;-;849;-;144;-;358;186;575;49;-10;42;2003-11-09
2003-12-31;408;-385;23;8;19;249;303;583;4;-;791;-;78;-;310;179;507;76;-15;42;2004-02-09
2004-03-31;512;-452;60;26;5;342;322;681;5;-;894;-;7;27;321;229;569;-23;-7;50;2004-05-10
2004-06-30;588;-497;91;51;18;357;368;750;8;-;963;-;19;-;338;235;592;34;-5;50;2004-08-09
2004-09-30;689;-590;99;58;-;407;466;879;8;-;1,088;-;32;-;419;221;665;-23;-6;50;2004-11-09
2004-12-31;623;-550;73;46;1;361;554;938;9;-;1,147;-;33;-;451;211;690;18;-7;50;2005-02-09
2005-03-31;694;-635;59;34;2;419;528;957;9;-;1,163;-;118;-;440;212;679;-78;-5;51;2005-05-10
2005-06-30;645;-605;39;23;4;385;511;908;9;-;1,112;-;69;-;372;215;613;61;-7;51;2005-08-09
2005-09-30;629;-587;43;26;20;377;445;848;9;-;1,05;-;20;-;304;203;541;82;-4;51;2005-11-09
2005-12-31;647;-586;61;42;47;360;474;888;9;-;1,095;-;2;-;323;204;557;77;-10;51;2006-02-09
2006-03-31;741;-679;61;37;256;412;520;1,194;9;-;1,403;-;-;-;339;204;568;-40;-7;60;2006-05-10
2006-06-30;686;-616;70;46;271;403;556;1,237;9;-;1,442;-;-;-;359;195;585;38;-7;60;2006-08-09
2006-09-30;672;-603;69;45;231;411;624;1,272;9;-;1,48;-;1;-;373;195;601;-5;-8;60;2006-11-09
2006-12-31;593;-545;49;31;210;329;664;1,212;9;-;1,422;-;-;-;299;204;528;5;-6;60;2007-02-09
2007-03-31;684;-638;46;29;207;385;640;1,24;1;-;1,442;-;-;-;323;197;552;23;-4;63;2007-05-10
2007-06-30;653;-604;49;29;207;361;640;1,218;9;-;1,418;-;-;-;301;181;524;26;-5;63;2007-08-09
2007-09-30;624;-578;47;28;104;406;592;1,111;54;-;1,409;-;-;-;296;177;523;50;-4;63;2007-11-09
2007-12-31;598;-561;38;24;182;342;573;1,109;53;-;1,408;-;-;1;298;175;524;111;-4;63;2008-02-09
