date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1999-06-30;415;-;415;21;-;-;-;408;272;-;1,094;-;-;-;272;306;631;20;-17;409.68;1999-08-04
1999-09-30;495;-;495;24;-;-;-;474;463;-;1,448;-;-;-;331;458;864;35;-17;409.68;1999-11-04
1999-12-31;497;-;497;26;-;-;-;390;474;-;1,363;-;-;-;244;471;762;47;-12;409.68;2000-02-09
2000-03-31;454;-;454;29;-;-;-;414;475;-;1,411;-;-;-;243;461;782;64;-7;409.68;2000-06-09
2000-06-30;480;-;480;27;-;-;-;423;477;-;1,412;-;-;-;258;422;749;26;-7;409.68;2000-08-04
2000-09-30;504;-;504;28;-;-;-;431;479;-;1,427;-;-;-;269;397;738;83;-10;409.68;2000-11-04
2000-12-31;490;-;490;22;-;-;-;417;474;-;1,406;-;-;-;239;385;701;31;-10;409.68;2001-02-09
2001-03-31;688;-;688;32;6;279;376;698;593;-;2,013;-;11;95;455;701;1,265;94;-17;409.68;2001-06-09
2001-06-30;873;-;873;40;10;276;398;718;583;-;2,009;-;1;110;470;661;1,239;33;-12;409.68;2001-08-04
2001-09-30;893;-;893;41;15;288;405;736;569;-;2,057;-;10;105;468;652;1,232;57;-18;409.68;2001-11-04
2001-12-31;857;-;857;35;19;281;389;717;571;-;2,041;-;6;100;437;631;1,182;56;-13;411.16;2002-02-09
2002-03-31;834;-;834;43;5;273;407;714;572;-;2,047;-;29;103;455;573;1,146;54;-21;411.16;2002-06-09
2002-06-30;874;-;874;41;6;265;387;686;559;-;1,987;-;9;105;409;526;1,057;57;-15;414.36;2002-08-04
2002-09-30;862;-;862;42;20;271;380;697;570;-;2,021;-;2;108;426;494;1,048;97;-17;414.36;2002-11-04
2002-12-31;855;-;855;43;-;283;372;677;568;-;1,987;-;25;110;394;464;984;2;-15;414.36;2003-02-09
