date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2010-03-31;12;-8;4;2;50;-;1;60;-;0;153;-;-;1;14;-;12;6;-5;60;2010-04-25
2010-06-30;11;-9;3;-;44;-;0;53;-;3;170;-;-;1;17;-;20;4;-11;60;2010-07-25
2010-09-30;17;-12;4;1;33;-;1;44;-;3;175;-;-;1;12;-;23;4;-16;60;2010-10-25
2010-12-31;33;-25;8;2;23;15;3;52;-;3;199;0;-;1;31;-;43;5;-20;60;2011-02-24
2011-03-31;68;-59;9;4;10;19;1;43;-;3;203;-;-;1;28;-;42;6;-17;82;2011-04-25
2011-06-30;94;-89;5;0;4;46;17;75;61;54;400;-;15;2;59;2;89;23;-21;82;2011-07-25
2011-09-30;158;-136;22;8;6;92;29;149;77;72;535;0;-;3;91;74;199;-8;-31;82;2011-10-25
2011-12-31;231;-206;25;10;11;146;35;194;78;72;603;0;-;3;97;119;254;-13;-29;82;2012-02-24
2012-03-31;278;-244;33;15;6;-;37;185;78;74;622;-;-;3;95;119;256;24;-32;99;2012-04-25
2012-06-30;224;-210;14;1;4;-;34;139;78;72;619;-;-;4;69;135;249;27;-27;99;2012-07-25
2012-09-30;249;-224;25;6;9;-;34;175;90;82;700;-;-;4;97;89;235;1;-43;99;2012-10-25
2012-12-31;279;-251;28;11;8;125;43;179;93;80;768;1;-;4;110;123;290;48;-68;99;2013-02-24
2013-03-31;323;-282;41;18;5;-;37;205;93;77;828;-;-;4;98;168;328;-14;-42;110;2013-04-25
2013-06-30;338;-325;13;-2;6;-;36;158;97;83;824;-;-;5;97;144;308;66;-37;110;2013-07-25
2013-09-30;444;-403;41;12;9;-;38;214;101;83;963;-;-;6;132;211;420;29;-54;110;2013-10-25
2013-12-31;388;-351;37;12;12;168;51;236;102;80;1,04;-;-;6;134;160;375;19;-64;110;2014-02-24
2014-03-31;526;-450;76;23;9;-;46;291;108;87;1,172;-;-;7;165;220;470;6;-50;122;2014-04-25
2014-06-30;568;-507;61;7;4;-;56;232;110;86;1,157;-;-;8;177;178;448;130;-69;122;2014-07-25
2014-09-30;599;-546;54;15;11;-;75;323;141;126;1,429;-;-;8;222;334;658;-1;-89;122;2014-10-25
2014-12-31;578;-529;49;-14;5;-;70;312;112;124;1,496;-;-;11;211;397;734;61;-95;122;2015-02-24
2015-03-31;367;-310;57;-3;5;-;59;245;113;118;1,465;-;-;11;119;247;497;-16;-46;133;2015-04-25
2015-06-30;357;-323;34;-17;5;-;61;213;112;110;1,42;-;-;10;105;235;469;101;-15;133;2015-07-25
2015-09-30;333;-286;47;-53;3;-;64;232;92;75;1,4;-;-;10;109;257;487;7;-24;133;2015-10-25
2015-12-31;290;-246;44;-87;5;-;59;213;11;70;1,315;-;-;9;97;261;491;40;-29;133;2016-02-24
2016-03-31;209;-173;36;-10;7;-;50;185;11;65;1,268;-;-;8;76;118;320;39;-22;154;2016-04-25
2016-06-30;269;-248;21;-21;6;-;69;240;31;76;1,374;-;-;7;127;175;440;26;-13;154;2016-07-25
2016-09-30;402;-363;39;-8;3;-;70;256;31;72;1,407;-;-;6;136;201;477;17;-13;154;2016-10-25
2016-12-31;531;-483;47;-10;3;-;69;301;31;68;1,425;-;-;5;161;208;498;15;-15;154;2017-02-24
2017-03-31;451;-394;57;3;5;-;46;306;31;64;1,403;-;-;5;168;187;473;43;-12;162;2017-04-25
2017-06-30;584;-547;38;-14;20;-;59;305;31;68;1,417;-;-;5;166;219;507;40;-19;162;2017-07-25
2017-09-30;614;-554;60;0;3;-;65;324;31;66;1,488;-;-;5;206;261;586;3;-54;162;2017-10-25
2017-12-31;680;-611;69;-20;10;-;72;405;11;51;1,563;-;-;5;266;298;688;23;-52;162;2018-02-24
2018-03-31;705;-666;40;6;4;-;67;386;11;48;1,58;-;-;5;227;343;701;33;-57;165;2018-04-25
2018-06-30;720;-670;50;-7;1;-;65;331;11;44;1,538;-;-;6;219;330;678;75;-36;165;2018-07-25
2018-09-30;829;-756;73;7;10;-;80;371;11;41;1,592;-;-;6;221;388;744;20;-44;165;2018-10-25
2018-12-31;683;-601;82;14;8;-;70;331;11;36;1,584;-;-;7;178;413;739;59;-41;165;2019-02-24
2019-03-31;789;-749;40;1;16;-;68;363;11;33;1,649;-;-;21;229;405;812;57;-23;161;2019-04-25
2019-06-30;789;-768;21;-2;10;-;64;272;11;46;1,606;-;-;22;164;436;804;54;-36;161;2019-07-25
2019-09-30;727;-696;31;-1;12;-;64;282;11;43;1,635;-;-;21;173;447;841;36;-31;161;2019-10-25
2019-12-31;753;-720;34;2;9;-;65;315;11;40;1,648;-;-;18;210;453;868;49;-32;161;2020-02-24
2020-03-31;606;-591;15;-23;9;-;54;244;11;22;1,574;-;-;17;167;451;809;46;-41;158;2020-04-25
2020-06-30;291;-298;-7;-19;17;-;51;181;11;21;1,494;-;-;14;103;462;759;22;-11;158;2020-07-25
2020-09-30;452;-435;17;-5;9;-;44;181;11;20;1,471;-;-;12;118;430;742;39;-11;158;2020-10-25
2020-12-31;475;-448;27;-39;7;-;48;208;11;18;1,376;-;-;10;157;399;689;42;-9;158;2021-02-24
2021-03-31;661;-636;25;-1;18;-;50;232;11;17;1,416;-;-;8;167;393;734;25;-6;234;2021-04-25
2021-06-30;512;-495;17;-13;7;-;53;427;11;2;1,554;-;195;8;360;383;887;21;-7;234;2021-07-25
2021-09-30;1,253;-1,196;57;-22;13;-;77;461;350;201;3,141;-;-;27;380;1,204;1,867;1;-13;234;2021-10-25
2021-12-31;1,34;-1,232;108;-166;10;-;100;466;349;180;2,937;-;-;27;333;1,207;1,831;28;-17;234;2022-02-24
2022-03-31;1,75;-1,649;101;38;20;-;92;585;349;176;2,97;-;-;26;447;1,11;1,825;100;-13;313;2022-04-25
2022-06-30;2,078;-1,943;135;54;11;-;93;596;351;173;2,931;-;-;27;448;1,077;1,729;68;-19;313;2022-07-25
2022-09-30;2,149;-2,013;136;60;23;-;123;638;351;170;2,935;-;-;29;453;1,024;1,668;143;-30;313;2022-10-25
2022-12-31;2,025;-1,904;121;32;12;-;100;576;351;163;2,84;-;-;28;459;919;1,574;100;-34;313;2023-02-24
2023-03-31;1,907;-1,78;127;55;23;-;110;590;345;161;2,83;-;-;27;427;977;1,611;97;-46;299;2023-04-25
2023-06-30;1,782;-1,685;97;34;27;-;111;543;345;158;2,796;-;-;26;438;967;1,617;131;-68;299;2023-07-25
2023-09-30;2,215;-2,083;132;47;38;-;117;622;345;155;2,87;-;-;27;544;951;1,7;170;-56;299;2023-10-25
2023-12-31;2,34;-2,184;156;59;12;357;144;1,19;199;68;2,844;377;-;27;472;966;1,658;32;-33;299;2024-02-24
2024-03-31;2,849;-2,733;116;422;264;509;263;1,086;201;77;2,645;537;-;24;634;294;1,177;8;-19;286.48;2024-04-22
