date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
1999-03-31;14;-12;3;0;-;14;29;44;-;-;56;-;6;3;22;5;29;-7;-1;36.36;1999-05-05
1999-06-30;22;-17;5;2;-;17;30;47;-;-;60;-;8;4;24;5;31;-2;-1;36.36;1999-08-04
1999-09-30;18;-14;4;1;-;9;30;40;-;-;54;-;4;4;20;2;24;8;-1;36.36;1999-11-04
1999-12-31;15;-13;2;0;-;9;33;43;-;-;58;-;4;4;20;5;28;-2;-1;36.36;2000-02-29
2000-03-31;18;-15;3;1;-;12;32;45;-;-;60;-;5;4;21;7;30;-2;0;36.08;2000-05-05
2000-06-30;29;-23;6;2;-;19;33;53;-;-;74;-;11;5;31;10;43;2;-1;36.08;2000-08-04
2000-09-30;23;-19;5;1;-;14;34;50;-;-;72;-;12;3;28;9;40;2;-1;36.08;2000-11-04
2000-12-31;18;-16;2;0;-;12;37;52;-;-;75;-;18;3;31;8;43;-4;-1;36.08;2001-03-01
2001-03-31;19;-17;3;0;-;11;41;55;-;-;78;-;17;3;34;8;46;2;-1;36.08;2001-05-05
2001-06-30;28;-24;4;1;-;16;38;56;-;-;79;-;14;7;39;3;46;4;0;36.08;2001-08-04
2001-09-30;21;-18;3;0;-;13;41;56;-;-;78;-;14;10;39;3;46;-2;0;36.08;2001-11-04
2001-12-31;20;-18;1;-1;-;10;45;59;-;-;81;-;16;5;38;7;49;-1;-1;36.08;2002-03-01
2002-03-31;22;-19;3;0;-;12;45;58;-;-;80;-;20;5;40;5;48;-2;0;36.32;2002-05-05
2002-06-30;33;-27;5;2;-;15;36;52;-;-;74;-;13;5;31;5;40;7;0;36.32;2002-08-04
2002-09-30;23;-19;3;1;-;10;33;45;-;-;66;-;9;4;23;3;31;7;0;36.32;2002-11-04
2002-12-31;20;-17;3;1;-;12;35;48;-;-;69;-;11;4;27;3;34;-1;-1;36.32;2003-03-01
2003-03-31;21;-18;3;0;-;13;36;51;-;-;73;-;13;5;29;4;37;-2;-1;38.52;2003-05-05
2003-06-30;29;-23;5;2;-;17;33;51;-;-;74;-;12;5;29;3;37;2;-1;38.52;2003-08-04
2003-09-30;25;-22;4;1;-;16;44;62;-;-;92;-;17;5;35;10;50;5;-1;38.52;2003-11-04
2003-12-31;22;-19;3;1;-;12;49;62;-;-;93;-;20;3;36;10;51;0;-1;38.52;2004-02-29
2004-03-31;25;-21;4;1;-;17;53;72;-;-;103;-;23;3;41;14;60;-7;-1;41.4;2004-05-05
2004-06-30;42;-34;8;3;-;22;53;76;-;-;108;-;22;3;43;13;62;4;0;41.4;2004-08-04
2004-09-30;36;-29;6;2;-;19;50;70;-;-;102;-;14;3;35;13;53;9;-1;41.4;2004-11-04
2004-12-31;27;-22;5;1;-;13;53;67;-;-;98;-;11;4;31;13;49;3;-1;41.4;2005-03-01
2005-03-31;31;-26;5;1;-;19;55;75;-;-;107;-;20;4;39;12;56;-6;-2;44;2005-05-05
2005-06-30;46;-36;10;4;-;25;54;80;-;-;112;-;17;4;41;11;57;5;-1;44;2005-08-04
2005-09-30;43;-34;9;3;-;25;73;99;-;-;136;-;25;5;51;16;73;2;-3;44;2005-11-04
2005-12-31;37;-30;8;3;-;21;77;101;-;-;138;-;21;4;45;22;73;1;-1;44;2006-03-01
2006-03-31;45;-36;9;3;-;27;82;112;-;-;150;-;32;4;53;22;81;-8;-1;47.48;2006-05-05
2006-06-30;61;-47;14;5;-;35;74;122;-;-;161;-;38;4;60;22;88;6;-1;47.48;2006-08-04
2006-09-30;68;-53;16;7;-;42;100;144;-;-;205;-;39;4;68;33;107;15;-1;47.48;2006-11-04
2006-12-31;50;-38;11;5;-;32;117;152;-;-;214;-;42;4;72;28;108;-2;-1;47.48;2007-03-01
2007-03-31;62;-46;16;6;-;40;135;179;-;-;254;-;55;5;88;46;141;-4;-2;50.76;2007-05-05
2007-06-30;85;-64;20;8;-;49;130;183;-;-;258;-;59;5;87;44;139;-2;-2;50.76;2007-08-04
2007-09-30;75;-57;18;7;-;42;130;175;-;-;248;-;43;6;71;44;123;15;-2;50.76;2007-11-04
2007-12-31;48;-36;12;4;-;26;139;170;-;-;245;-;39;4;66;43;117;8;-1;50.76;2008-02-29
2008-03-31;66;-52;14;5;-;40;148;193;-;-;264;-;55;5;79;43;130;-14;-1;50.8;2008-05-05
2008-06-30;123;-98;25;10;-;67;169;240;5;9;352;-;63;5;100;90;209;10;-2;50.8;2008-08-04
2008-09-30;112;-91;21;7;-;59;182;248;6;9;363;-;63;5;102;92;214;6;-3;50.8;2008-11-04
2008-12-31;84;-65;18;6;-;42;223;277;6;11;408;-;82;5;120;101;246;-5;-4;50.8;2009-03-01
2009-03-31;112;-89;23;8;-;59;243;314;7;11;446;-;100;5;150;102;278;-13;-2;50.8;2009-05-05
2009-06-30;129;-105;24;11;-;61;226;299;6;9;423;-;85;5;128;95;247;15;-1;50.8;2009-08-04
2009-09-30;105;-85;20;8;-;49;211;271;6;8;389;-;60;5;100;89;212;26;-1;50.8;2009-11-04
2009-12-31;65;-55;11;3;-;30;213;255;6;8;371;-;56;5;85;82;191;12;-1;50.8;2010-03-01
2010-03-31;99;-83;16;6;-;52;198;399;5;16;515;-;50;10;91;139;256;9;-1;60.8;2010-05-05
2010-06-30;167;-141;26;6;-;90;204;301;80;71;570;-;48;11;106;143;300;31;-1;60.8;2010-08-04
2010-09-30;161;-135;26;12;-;87;192;285;76;67;545;-;23;21;95;126;270;25;-2;60.8;2010-11-04
2010-12-31;133;-109;25;11;-;56;205;269;74;64;517;-;32;11;80;115;237;16;-2;60.8;2011-03-01
2011-03-31;131;-110;21;9;-;74;224;310;72;62;555;-;66;8;118;111;274;-29;-2;64;2011-05-05
2011-06-30;180;-144;36;17;-;103;214;329;72;61;574;-;74;8;137;94;276;15;-2;64;2011-08-04
2011-09-30;182;-144;38;17;-;103;216;334;78;64;597;-;2;1;51;170;272;15;-2;64;2011-11-04
2011-12-31;148;-117;30;13;-;77;244;331;92;71;617;-;3;2;57;179;285;31;-3;64;2012-02-29
2012-03-31;159;-125;34;15;-;83;259;351;90;68;631;-;3;6;68;174;289;-2;-1;64.6;2012-05-05
2012-06-30;204;-162;42;21;-;104;266;383;92;68;667;-;3;7;69;186;303;-2;-3;64.6;2012-08-04
2012-09-30;195;-153;43;21;-;99;269;382;90;64;661;-;4;9;64;176;288;12;-3;64.6;2012-11-04
2012-12-31;159;-126;33;17;14;90;413;535;136;93;956;-;14;6;90;343;487;21;-9;64.6;2013-03-01
2013-03-31;223;-179;43;19;-;129;426;565;139;92;995;-;-;1;66;382;505;-20;-6;69;2013-05-05
2013-06-30;281;-223;58;26;-;142;420;573;144;93;1,016;-;-;1;60;373;488;35;-6;69;2013-08-04
2013-09-30;285;-232;53;28;-;129;403;543;142;89;980;-;-;1;63;318;435;65;-7;69;2013-11-04
2013-12-31;223;-179;43;20;3;108;459;582;156;94;1,072;-;-;3;65;370;500;24;-8;69.05;2014-03-01
2014-03-31;258;-207;50;23;-;137;488;637;162;95;1,141;-;-;2;64;405;536;-18;-3;69.03;2014-05-05
