date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2007-03-31;192;-83;109;15;43;164;48;285;251;20;653;-;5;5;131;45;228;-142;-6;91.16;2007-05-10
2007-06-30;216;-95;121;18;22;183;63;296;258;23;679;-;-;5;160;45;259;-136;-5;91.16;2007-08-09
2007-09-30;207;-91;116;17;12;199;56;296;252;22;678;-;1;6;175;30;259;-124;-7;91.16;2007-11-09
2007-12-31;216;-92;124;19;14;271;-;323;333;32;814;-;-;22;233;75;371;-134;-9;91.16;2008-02-29
2008-03-31;255;-115;140;17;4;343;-;399;417;43;996;-;2;35;218;237;527;-54;-9;91.16;2008-05-10
2008-06-30;289;-128;162;22;26;339;-;415;416;41;1,017;-;-;37;241;218;530;55;-11;91.16;2008-08-09
2008-09-30;289;-127;162;-30;14;342;-;398;393;38;987;-;-;39;259;192;523;55;-9;91.16;2008-11-09
2008-12-31;297;-132;165;20;104;332;-;481;447;53;1,145;-;-;34;300;215;606;104;-7;91.16;2009-03-01
2009-03-31;343;-150;194;21;21;390;-;455;544;60;1,248;-;-;42;278;306;683;-31;-8;91.08;2009-05-10
2009-06-30;318;-141;177;22;14;391;-;455;521;60;1,222;-;-;45;262;294;654;4;-5;91.08;2009-08-09
2009-09-30;307;-134;173;-10;15;379;-;439;465;57;1,143;-;-;39;280;230;609;63;-2;91.08;2009-11-09
2009-12-31;275;-119;156;23;15;349;-;409;469;64;1,124;-;-;35;284;199;576;64;-2;91.08;2010-03-01
2010-03-31;297;-132;165;16;17;350;-;412;458;68;1,109;-;-;43;254;205;561;-10;-6;91.38;2010-05-10
2010-06-30;304;-135;169;24;31;365;-;436;475;63;1,164;-;4;46;247;217;585;23;-6;91.38;2010-08-09
2010-09-30;315;-138;177;31;37;408;-;488;519;71;1,277;-;4;49;310;245;678;44;-10;91.38;2010-11-09
2010-12-31;311;-133;177;23;60;394;-;501;548;72;1,337;-;-;46;324;276;722;56;-4;91.38;2011-03-01
2011-03-31;337;-149;188;24;12;396;-;464;544;71;1,292;-;1;45;287;259;665;-13;-5;91.28;2011-05-10
2011-06-30;342;-154;189;26;4;438;-;493;560;70;1,338;-;5;46;286;276;687;3;-7;91.28;2011-08-09
2011-09-30;351;-156;195;29;7;474;-;536;592;70;1,424;-;7;51;333;248;720;63;-4;91.28;2011-11-09
2011-12-31;348;-156;192;-66;34;439;-;529;509;72;1,327;-;-;60;328;237;700;62;-6;91.28;2012-02-29
2012-03-31;371;-169;202;25;12;462;-;524;502;77;1,317;-;6;32;293;249;674;-2;-5;91.5;2012-05-10
2012-06-30;396;-181;215;31;9;495;-;561;521;74;1,373;-;7;35;303;256;698;24;-7;91.5;2012-08-09
2012-09-30;397;-179;219;34;16;519;-;588;551;79;1,433;-;-;50;355;245;739;82;-8;91.5;2012-11-09
2012-12-31;391;-172;219;31;41;497;-;583;567;86;1,464;-;-;43;341;256;737;77;-3;91.5;2013-03-01
2013-03-31;427;-197;230;28;23;530;-;614;573;84;1,501;-;-;45;340;255;738;1;-11;92.52;2013-05-10
2013-06-30;469;-215;254;36;18;566;-;644;588;83;1,561;-;-;45;344;250;754;39;-17;92.52;2013-08-09
2013-09-30;485;-222;263;46;56;591;-;713;581;77;1,626;-;-;34;409;-;784;112;-15;92.52;2013-11-09
2013-12-31;451;-197;255;36;140;520;-;726;595;79;1,668;-;-;37;407;-;776;121;-10;92.52;2014-03-01
2014-03-31;481;-220;262;34;118;562;-;757;659;90;1,783;-;-;51;400;265;844;-4;-13;93.54;2014-05-10
2014-06-30;530;-240;290;44;115;621;-;808;688;93;1,883;-;-;55;417;319;919;19;-15;93.54;2014-08-09
2014-09-30;544;-246;298;49;84;662;-;813;727;94;1,946;-;-;61;482;236;913;97;-9;93.54;2014-11-09
2014-12-31;520;-231;289;38;152;613;-;844;761;97;2,011;104;-;56;475;3;924;96;-6;93.54;2015-03-01
2015-03-31;592;-265;327;38;26;767;-;887;856;131;2,212;-;16;72;460;364;1,047;-88;-13;94.14;2015-05-10
2015-06-30;594;-273;321;43;20;778;-;894;856;122;2,218;-;4;134;541;245;1,021;61;-6;94.14;2015-08-09
2015-09-30;620;-282;338;50;53;799;-;945;897;119;2,311;-;-;134;556;246;1,043;84;-9;94.14;2015-11-09
2015-12-31;567;-261;307;25;66;788;-;951;967;138;2,342;-;-;133;632;213;1,019;149;-9;94.14;2016-02-29
2016-03-31;629;-290;339;31;44;747;-;901;987;158;2,334;-;7;142;565;356;1,065;-10;-15;107;2016-05-10
2016-06-30;777;-360;417;21;152;1,172;-;1,542;1,744;422;4,096;-;-;84;965;1,023;2,236;31;-11;107;2016-08-09
2016-09-30;872;-399;473;49;140;1,25;-;1,587;1,801;415;4,208;-;20;106;1,05;979;2,279;59;-17;107;2016-11-09
