date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2013-03-31;744;-423;321;19;-;422;6;456;603;290;2,13;-;25;21;343;820;1,391;15;-16;94.21;2013-04-25
2013-06-30;774;-433;341;26;-;388;4;417;574;290;2,014;-;14;18;312;760;1,285;79;-13;94.21;2013-07-25
2013-09-30;746;-419;327;42;-;426;7;453;597;288;2,084;-;6;19;337;774;1,321;67;-30;94.21;2013-10-25
2013-12-31;755;-440;315;-26;-;391;6;445;577;224;1,944;-;9;20;320;705;1,199;68;-17;94.21;2014-02-19
2014-03-31;699;-422;277;5;-;413;5;489;664;254;2,144;-;23;24;359;793;1,341;22;-20;101.37;2014-04-25
2014-06-30;693;-419;274;50;-;465;6;511;673;254;2,185;-;21;24;382;775;1,344;50;-14;101.37;2014-07-25
2014-09-30;871;-514;358;35;-;498;7;531;737;355;2,496;-;14;97;485;917;1,652;97;-21;101.37;2014-10-25
2014-12-31;747;-472;275;10;-;493;9;547;941;434;2,96;-;19;254;375;1,108;2,074;107;-9;101.37;2015-02-19
2015-03-31;777;-469;308;10;-;451;8;516;883;398;2,745;-;27;237;609;1,037;1,933;57;-32;101.99;2015-04-25
2015-06-30;838;-492;346;49;-;469;8;535;905;403;2,766;-;34;237;621;1,048;1,943;68;-46;101.99;2015-07-25
2015-09-30;816;-472;344;33;-;434;8;488;868;380;2,61;-;27;221;571;1,031;1,864;87;-40;101.99;2015-10-25
2015-12-31;653;-406;248;12;-;350;5;591;829;300;2,441;-;14;437;543;713;1,699;121;-6;101.99;2016-02-19
2016-03-31;681;-401;280;11;-;367;5;412;868;304;2,355;-;23;36;394;628;1,246;27;-21;95.52;2016-04-25
2016-06-30;759;-441;317;34;-;363;5;402;871;297;2,34;-;19;36;412;611;1,241;75;-24;95.52;2016-07-25
2016-09-30;748;-439;309;39;-;368;5;398;862;285;2,294;-;5;34;394;605;1,212;67;-16;95.52;2016-10-25
2016-12-31;852;-496;356;35;3;424;6;472;1,129;340;2,998;-;-;30;430;1,141;1,912;85;-23;95.52;2017-02-19
2017-03-31;910;-542;368;11;-;445;7;520;1,146;350;3,051;-;13;30;403;1,198;1,96;-1;-28;92.78;2017-04-25
2017-06-30;940;-545;395;-56;-;467;8;588;1,1;333;3,005;-;13;31;417;1,248;2,007;58;-55;92.78;2017-07-25
2017-09-30;939;-549;390;79;-;483;8;543;1,125;334;3,009;-;12;33;428;1,16;1,93;100;-67;92.78;2017-10-25
2017-12-31;939;-550;389;35;-;451;7;519;1,106;351;2,964;-;8;42;426;1,146;1,839;91;-52;92.78;2018-02-19
2018-03-31;946;-556;390;38;-;470;8;533;1,09;336;2,911;-;11;41;409;1,126;1,796;46;-31;90.80;2018-04-25
2018-06-30;1,021;-578;443;62;-;486;8;536;1,087;336;2,966;-;17;42;433;1,13;1,836;113;-53;90.80;2018-07-25
2018-09-30;986;-554;432;66;-;486;8;532;1,106;332;3,015;-;10;99;507;1,038;1,818;128;-75;90.80;2018-10-25
2018-12-31;1,001;-561;439;58;-;463;9;520;1,084;310;2,97;-;9;90;481;1,069;1,814;132;-87;90.80;2019-02-19
2019-03-31;926;-511;416;49;1;465;11;531;1,134;323;3,385;-;-;102;486;1,238;2,273;121;-39;85.36;2019-04-25
2019-06-30;1,001;-541;459;75;-;484;12;566;1,166;338;3,497;-;10;105;506;1,316;2,371;95;-53;85.36;2019-07-25
2019-09-30;988;-539;449;63;-;474;11;546;1,164;329;3,476;-;3;107;496;1,313;2,353;142;-79;85.36;2019-10-25
2019-12-31;989;-544;445;58;-;452;11;527;1,184;321;3,509;-;3;118;488;1,302;2,35;131;-94;85.36;2020-02-19
2020-03-31;925;-505;419;56;93;438;9;568;1,123;298;3,366;-;-;102;451;1,061;2,038;137;-25;90.93;2020-04-25
2020-06-30;798;-413;385;59;9;435;8;486;1,173;310;3,363;-;-;259;652;767;1,966;170;-20;90.93;2020-07-25
2020-09-30;936;-496;440;81;279;476;8;798;1,198;307;3,694;-;-;265;682;778;2,004;143;-38;90.93;2020-10-25
2020-12-31;1,123;-638;485;85;4;598;9;653;1,376;374;3,849;-;-;132;654;830;2,059;161;-61;90.93;2021-02-19
2021-03-31;1,149;-666;483;67;402;590;9;1,034;1,389;367;4,231;-;-;126;658;1,206;2,431;155;-38;95.34;2021-04-25
2021-06-30;1,837;-963;874;412;112;969;25;1,162;1,414;368;5,521;-;-;488;1,341;1,284;3,5;299;-63;95.34;2021-07-25
2021-09-30;2,094;-1,078;1,016;132;63;1,02;27;1,178;1,402;369;5,536;-;-;478;1,386;1,173;3,42;211;-71;95.34;2021-10-25
2021-12-31;2,141;-1,109;1,032;144;19;1,056;24;1,162;1,425;368;5,884;-;-;479;1,407;1,245;3,573;190;-104;95.34;2022-02-19
2022-03-31;2,192;-1,14;1,051;148;21;1,174;26;1,317;1,456;378;5,934;-;-;155;1,11;1,661;3,655;138;-92;91.26;2022-04-25
2022-06-30;2,422;-1,259;1,163;277;15;1,25;27;1,36;1,437;365;6,08;-;-;153;1,12;1,679;3,702;248;-76;91.26;2022-07-25
2022-09-30;2,242;-1,159;1,083;245;133;1,138;24;1,372;1,249;320;5,501;-;-;144;1,081;1,275;3,173;338;-76;91.26;2022-10-25
2022-12-31;1,957;-1,034;923;153;147;1,031;24;1,264;1,281;311;5,506;-;-;153;967;1,279;3,043;248;-114;91.26;2023-02-19
2023-03-31;1,85;-940;910;112;136;949;22;1,184;1,322;334;5,504;-;-;147;894;1,27;2,973;232;-77;87.05;2023-04-25
2023-06-30;1,791;-898;894;128;178;898;24;1,2;1,349;326;5,491;-;-;149;854;1,306;2,945;200;-85;87.05;2023-07-25
2023-09-30;1,911;-962;949;133;88;975;27;1,176;1,424;593;6,056;-;-;151;956;1,584;3,433;279;-121;87.05;2023-10-25
2023-12-31;1,969;-1,006;963;131;336;895;24;1,336;1,483;536;6,284;-;-;302;1,066;1,71;3,692;303;-81;87.05;2024-02-19
2024-03-31;1,87;-938;932;93;902;920;23;1,94;-;2,075;6,901;673;-;496;1,17;2,219;3,143;201;-78;85.39;2024-04-22
