date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2012-03-31;282;-206;75;17;3;166;365;552;14;-;906;-;-;1;310;145;492;-41;-45;76.5;2012-04-25
2012-06-30;380;-290;90;25;2;241;374;624;-;14;988;-;-;1;316;214;566;-30;-26;76.5;2012-07-25
2012-09-30;415;-315;101;32;-;217;382;620;14;14;998;-;-;1;303;216;557;32;-28;76.5;2012-10-25
2012-12-31;431;-312;119;45;2;217;328;566;14;14;936;-;-;1;263;158;460;77;-16;76.5;2013-02-09
2013-03-31;313;-237;76;18;3;196;323;547;14;14;937;-;-;2;244;169;449;31;-39;76.6;2013-04-25
2013-06-30;375;-283;91;27;4;196;370;596;14;14;995;-;-;1;284;169;483;32;-29;76.6;2013-07-25
2013-09-30;498;-378;120;43;3;219;346;594;14;14;989;-;-;2;266;150;445;35;-14;76.6;2013-10-25
2013-12-31;407;-303;104;34;71;214;332;655;14;14;1,031;-;-;2;299;131;454;103;-13;76.6;2014-02-09
2014-03-31;312;-234;78;19;33;204;364;612;-;28;1,01;-;-;2;270;130;424;3;-39;77.1;2014-04-25
2014-06-30;416;-320;95;29;26;227;380;643;-;28;1,06;-;-;2;301;131;459;33;-39;77.1;2014-07-25
2014-09-30;467;-354;114;40;2;259;391;658;-;28;1,074;-;-;2;285;130;440;-4;-16;77.1;2014-10-25
2014-12-31;466;-340;126;46;86;217;367;699;14;15;1,108;-;-;127;404;5;440;112;-15;77.1;2015-02-09
2015-03-31;340;-254;86;20;42;235;445;738;-;28;1,179;-;-;127;460;4;494;-33;-5;78.31;2015-04-25
2015-06-30;485;-371;114;36;34;266;483;789;-;28;1,272;-;-;127;479;54;564;-37;-10;78.31;2015-07-25
2015-09-30;506;-382;124;45;97;310;515;928;-;28;1,414;-;-;127;460;177;670;-42;-7;78.31;2015-10-25
2015-12-31;472;-350;122;44;67;263;463;799;14;14;1,276;-;-;2;313;152;501;140;-8;78.31;2016-02-09
2016-03-31;388;-296;92;24;60;215;496;781;-;28;1,266;-;-;2;297;151;484;12;-4;78.67;2016-04-25
2016-06-30;522;-402;121;38;29;287;505;828;-;28;1,346;-;-;2;339;151;537;-13;-8;78.67;2016-07-25
2016-09-30;510;-384;126;48;110;289;493;900;-;28;1,42;-;-;2;375;151;575;93;-6;78.67;2016-10-25
2016-12-31;492;-363;129;45;189;261;436;892;14;14;1,394;-;-;2;316;151;509;97;-7;78.67;2017-02-09
2017-03-31;412;-312;100;27;156;262;486;913;-;28;1,425;-;-;2;334;150;525;-16;-4;79.91;2017-04-25
2017-06-30;531;-409;122;41;121;294;524;945;-;28;1,492;-;-;2;378;150;569;-8;-12;79.91;2017-07-25
2017-09-30;584;-443;141;49;129;322;502;962;-;28;1,515;-;-;2;363;149;552;31;-11;79.91;2017-10-25
2017-12-31;823;-631;192;59;161;529;778;1,476;-;492;2,867;-;-;2;708;894;1,742;255;-10;79.91;2018-02-09
2018-03-31;677;-510;167;31;171;438;863;1,497;-;490;2,893;-;-;2;863;744;1,744;139;-7;81.98;2018-04-25
2018-06-30;961;-736;225;68;280;510;862;1,682;-;489;3,117;-;-;2;1,032;744;1,903;129;-8;81.98;2018-07-25
2018-09-30;900;-672;228;69;217;530;909;1,67;-;488;3,113;-;-;2;1,077;644;1,827;65;-16;81.98;2018-10-25
2018-12-31;966;-723;243;85;345;523;874;1,779;-;486;3,235;-;-;1;1,125;645;1,907;173;-18;81.98;2019-02-09
2019-03-31;700;-529;171;39;184;466;1,015;1,696;-;485;3,202;-;-;6;1,047;645;1,866;-140;-7;82.08;2019-04-25
2019-06-30;978;-741;237;77;155;540;1,07;1,778;-;485;3,346;-;-;7;1,139;645;1,975;24;-31;82.08;2019-07-25
2019-09-30;975;-732;243;80;226;514;1,07;1,823;-;484;3,396;-;-;7;1,121;645;1,947;96;-8;82.08;2019-10-25
2019-12-31;1,025;-770;255;90;366;525;912;1,824;-;483;3,371;-;-;10;995;646;1,837;166;-12;82.08;2020-02-09
2020-03-31;716;-545;171;37;388;454;976;1,889;-;482;3,439;-;-;-;929;746;1,863;-41;-19;82.62;2020-04-25
2020-06-30;850;-656;194;51;537;458;933;1,943;-;481;3,472;-;-;-;938;746;1,912;184;-11;82.62;2020-07-25
2020-09-30;922;-695;227;77;471;513;849;1,879;-;480;3,383;-;-;-;874;646;1,753;58;-7;82.62;2020-10-25
2020-12-31;992;-748;245;89;591;542;728;1,872;-;478;3,347;-;-;-;794;646;1,648;148;-7;82.62;2021-02-09
2021-03-31;806;-619;187;48;614;483;760;1,883;-;477;3,336;-;-;-;751;647;1,577;51;-5;83.27;2021-04-25
2021-06-30;1,127;-872;255;85;661;532;713;1,928;-;476;3,414;-;-;-;745;647;1,58;98;-28;83.27;2021-07-25
2021-09-30;997;-739;258;94;733;539;685;1,986;-;476;3,475;-;-;-;778;647;1,6;147;-27;83.27;2021-10-25
2021-12-31;956;-687;269;106;917;452;720;2,108;-;475;3,584;-;-;-;814;646;1,631;247;-11;83.27;2022-02-09
2022-03-31;860;-647;214;60;796;481;837;2,143;-;474;3,627;-;-;-;840;647;1,628;-82;-11;82.98;2022-04-25
2022-06-30;1,054;-769;284;111;779;570;917;2,298;-;474;3,825;-;-;-;989;647;1,757;72;-21;82.98;2022-07-25
2022-09-30;1,087;-785;302;121;771;611;955;2,411;-;473;3,975;-;-;-;999;647;1,77;46;-20;82.98;2022-10-25
2022-12-31;1,15;-826;324;160;928;580;1,026;2,569;-;473;4,182;-;-;-;1,057;647;1,857;181;-18;82.98;2023-02-09
2023-03-31;1,061;-796;265;96;675;549;1,143;2,403;-;472;4,068;-;-;-;879;647;1,679;-201;-27;82.90;2023-04-25
2023-06-30;1,175;-858;317;133;734;581;1,115;2,456;-;471;4,192;-;-;-;918;647;1,724;108;-18;82.90;2023-07-25
2023-09-30;1,174;-839;336;146;807;638;1,14;2,618;-;471;4,385;-;-;-;963;648;1,774;134;-33;82.90;2023-10-25
2023-12-31;1,227;-898;329;154;1,041;627;1,119;2,811;-;470;4,572;-;-;-;1,066;648;1,888;315;-37;82.90;2024-02-09
