date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2005-03-31;110;-63;48;-10;19;67;-;98;402;83;1,475;32;-;31;112;324;938;-13;-14;33.21;2005-04-25
2005-06-30;146;-81;65;9;11;72;-;93;402;78;1,458;38;-;29;118;323;862;42;-27;33.21;2005-08-04
2005-09-30;152;-86;66;7;12;81;-;106;411;77;1,499;39;-;31;127;348;912;33;-21;33.21;2005-10-25
2005-12-31;152;-87;65;6;12;70;-;93;401;73;1,478;44;-;26;126;362;836;41;-25;33.21;2006-02-14
2006-03-31;155;-90;65;5;3;75;-;90;404;68;1,465;40;-;-;92;405;827;21;-22;50.85;2006-04-25
2006-06-30;172;-97;75;8;3;83;-;97;405;67;1,497;48;-;-;104;426;866;46;-35;50.85;2006-08-04
2006-09-30;178;-100;79;12;6;82;-;100;418;64;1,514;41;-;-;107;454;895;46;-31;50.85;2006-10-25
2006-12-31;176;-98;78;11;8;88;-;113;413;66;1,516;55;-;-;127;466;914;51;-26;50.85;2007-02-14
2007-03-31;173;-100;73;11;13;82;-;108;414;63;1,504;35;-;-;104;501;913;24;-23;50.55;2007-04-25
2007-06-30;205;-116;89;6;12;100;-;125;433;70;1,592;45;-;-;124;476;928;48;-36;50.55;2007-08-04
2007-09-30;228;-130;98;12;13;126;-;159;608;137;1,977;52;-;-;148;804;1,322;53;-39;50.55;2007-10-25
2007-12-31;256;-155;102;6;13;116;-;145;619;145;1,978;67;-;-;171;805;1,347;77;-47;50.55;2008-02-14
2008-03-31;243;-146;97;10;17;110;-;145;621;136;1,966;55;-;-;140;841;1,344;43;-21;51.58;2008-04-25
2008-06-30;272;-165;107;18;14;126;-;161;630;136;2,001;58;-;46;192;838;1,393;55;-37;51.58;2008-08-04
2008-09-30;271;-163;109;16;13;130;-;163;628;127;1,992;66;-;44;209;844;1,401;69;-42;51.58;2008-10-25
2008-12-31;247;-147;99;11;10;89;-;115;508;99;1,589;44;-;32;140;687;1,123;49;-38;51.58;2009-02-14
2009-03-31;224;-131;93;10;10;102;-;129;616;112;1,875;46;-;37;171;729;1,222;49;-20;58.02;2009-04-25
2009-06-30;143;-84;59;9;11;112;-;141;622;110;1,944;54;-;-;155;655;1,149;76;-39;58.02;2009-08-04
2009-09-30;245;-142;102;17;8;112;-;138;587;99;1,865;51;-;-;161;605;1,126;40;-16;58.02;2009-10-25
2009-12-31;368;-214;154;16;5;112;-;136;630;101;1,998;63;-;-;180;655;1,212;92;-49;58.02;2010-02-14
2010-03-31;264;-151;113;17;7;117;-;147;646;114;2,054;53;-;-;165;705;1,257;44;-20;84.42;2010-04-25
