date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2013-03-31;7,494;-5,605;1,889;240;975;648;2,057;8,528;-;1,583;21,233;3,35;1,33;972;5,761;6,188;15,445;-20;-143;127.80;2013-05-08
2013-06-30;7,792;-5,867;1,925;163;1,028;595;2,13;8,672;1,357;220;21,455;3,62;1,339;1,325;6,383;5,673;15,616;633;-213;127.80;2013-07-30
2013-10-01;10,377;-7,86;2,517;224;1,837;693;2,241;9,604;-;1,576;24,17;3,533;1,349;1,182;6,185;7,935;15,703;360;-291;127.80;2013-11-20
2013-12-31;7,919;-5,959;1,96;219;2,869;697;2,244;10,043;1,365;215;24,604;3,989;1,06;1,208;6,379;7,96;15,703;813;-341;127.80;2014-02-28
2014-03-31;7,612;-5,668;1,944;164;3,321;749;2,208;9,769;1,372;764;24,31;3,436;1,07;902;5,519;7,568;17,947;2;-130;127.79;2014-05-08
2014-06-30;10,598;-8,422;2,176;-456;1,452;1,152;4,428;10,829;3,734;10,062;37,277;4,829;1,415;74;6,597;13,086;22,897;1,013;-265;127.79;2014-07-30
2014-10-01;13,974;-10,214;3,76;130;1,304;1,333;4,611;11,116;3,742;9,874;37,163;4,865;1,413;295;6,89;12,813;22,897;746;-372;127.79;2014-11-20
2014-12-31;11,734;-8,423;3,311;296;1,333;1,318;4,463;11,092;3,756;9,786;37,146;4,934;1,263;645;7,165;12,306;22,897;1,09;-447;127.79;2015-02-28
2015-03-31;10,409;-7,421;2,988;246;1,393;1,376;4,554;11,191;3,782;9,658;37,189;4,817;1,31;670;7,112;11,311;22,872;517;-271;127.67;2015-05-08
2015-06-30;10,851;-7,79;3,061;154;1,592;1,33;4,495;11,512;3,778;9,523;37,35;5,086;1,296;1,234;7,919;11,318;22,872;1,034;-274;127.67;2015-07-30
2015-10-01;14,386;-10,41;3,976;248;1,605;1,309;4,64;11,764;3,818;9,362;37,634;5,085;1,349;1,344;8,223;11,025;22,872;1,132;-430;127.67;2015-11-20
2015-12-31;11,248;-8,046;3,202;182;1,413;1,478;4,517;11,874;4,254;9,292;38,22;5,381;1,229;1,348;8,427;10,928;22,872;684;-525;127.67;2016-02-28
2016-03-31;10,8;-7,64;3,16;145;1,711;1,342;4,363;11,317;3,832;9,181;37,011;4,968;1,187;1,034;7,657;11,31;23,156;840;-188;127.67;2016-05-08
2016-06-30;11,075;-7,89;3,185;227;1,564;1,212;4,34;11,197;4,249;9,079;37,248;4,973;1,3;653;7,453;11,334;23,156;777;-270;127.67;2016-07-30
2016-10-01;14,605;-10,435;4,17;487;1,863;1,224;4,552;11,634;3,849;8,943;37,333;5,101;1,298;651;7,661;11,328;23,156;1,167;-439;127.67;2016-11-20
2016-12-31;11,519;-8,143;3,376;231;1,56;1,284;4,559;11,774;4,364;8,9;37,946;5,356;1,356;400;7,831;11,385;23,156;976;-568;127.67;2017-02-28
2017-03-31;10,803;-7,577;3,226;242;1,324;1,217;4,347;10,918;4,363;8,748;36,97;4,445;1,305;203;6,699;11,653;23,786;384;-187;127.69;2017-05-08
2017-06-30;11,436;-8,052;3,384;365;1,526;1,143;4,392;11,415;4,379;8,662;37,411;4,979;1,476;581;7,595;11,253;23,786;916;-287;127.69;2017-07-30
2017-10-01;14,648;-10,332;4,316;904;1,838;1,197;4,576;11,635;4,375;8,497;37,535;5,014;1,496;1,027;8,041;10,75;23,786;912;-425;127.69;2017-11-20
2017-12-31;11,406;-7,875;3,531;81;2,034;1,324;4,623;12,463;4,377;8,368;38,54;5,451;1,368;1,635;9,539;10,457;23,786;1,213;-575;127.69;2018-02-28
2018-03-31;10,744;-7,428;3,316;378;1,575;1,267;4,598;12,739;4,384;8,279;38,646;4,899;1,339;3,092;10,213;10,326;29,61;458;-244;131.84;2018-05-08
