date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2006-09-30;43;-26;16;4;-;65;-;66;114;43;233;-;1;-;43;-;123;6;-1;18.93;2006-11-09
2006-12-31;50;-32;18;4;8;69;-;78;116;42;249;27;-;-;51;7;139;9;-1;18.93;2007-03-01
2007-03-31;54;-33;21;5;9;82;-;93;121;45;273;-;23;-;83;-;163;2;-3;19.64;2007-05-10
2007-06-30;64;-39;25;4;3;88;-;93;122;43;272;-;-;-;58;24;164;4;-2;19.64;2007-08-09
2007-09-30;69;-42;26;7;10;103;-;115;125;44;300;-;-;-;59;-;153;6;-2;19.64;2007-11-09
2007-12-31;71;-42;29;9;13;103;-;117;127;46;306;-;-;-;63;-;160;20;-2;19.64;2008-02-29
2008-03-31;70;-40;30;8;16;113;-;131;142;66;362;-;-;2;83;33;215;7;-2;21.35;2008-05-10
2008-06-30;97;-57;40;11;15;125;-;142;142;66;377;-;-;1;82;43;226;8;-3;21.35;2008-08-09
2008-09-30;105;-61;44;14;20;154;-;176;146;72;421;-;65;1;152;1;267;9;-2;21.35;2008-11-09
2008-12-31;116;-68;48;10;15;162;-;178;141;79;427;-;-;2;122;11;246;14;-4;21.35;2009-03-01
2009-03-31;97;-55;42;11;16;164;-;182;140;85;439;-;-;-;111;30;256;13;-4;24.13;2009-05-10
2009-06-30;120;-70;50;13;11;178;-;192;145;84;454;-;-;-;105;46;269;1;-4;24.13;2009-08-09
2009-09-30;125;-73;52;14;13;203;-;218;148;86;485;-;-;-;98;78;296;3;-2;24.13;2009-11-09
2009-12-31;135;-81;54;13;52;195;-;251;149;100;533;-;-;0;116;6;256;36;-4;24.13;2010-03-01
2010-04-01;126;-74;52;-5;23;198;-;229;155;84;500;-;6;-;112;-;376;16;-5;18.10;2010-05-11
2010-07-01;144;-86;59;35;23;224;-;254;168;85;540;-;6;-;119;27;243;9;-3;18.10;2010-08-10
2010-10-01;156;-93;63;18;21;263;-;289;173;86;581;-;6;-;128;48;279;0;-2;18.10;2010-11-10
2010-12-31;155;-98;57;3;27;254;-;290;182;86;592;-;6;-;145;58;308;36;-3;18.10;2011-03-01
2011-04-01;149;-87;63;16;30;242;-;286;183;84;589;-;6;8;132;95;249;2;-2;26.23;2011-05-11
