date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2013-03-31;5,671;-1,606;4,065;848;1,348;3,484;2,147;8,542;6,299;2,136;30,453;3,348;377;229;6,579;7;8,669;740;-251;608.00
2013-06-30;5,671;-1,606;4,065;848;1,348;3,484;2,147;8,542;6,299;2,136;30,453;3,348;377;229;6,579;7;8,669;740;-251;608.00
2013-09-30;5,391;-1,583;3,807;594;2,659;3,023;2,085;9,39;6,206;2,105;30,879;3,25;34;221;6,308;56;8,242;1,116;-258;608.00
2013-12-31;5,391;-1,583;3,807;594;2,659;3,023;2,085;9,39;6,206;2,105;30,879;3,25;34;221;6,308;56;8,242;1,116;-258;608.00
2014-03-31;5,587;-1,575;4,011;848;4,143;3,577;2,217;12,027;6,942;2,158;34,074;3,253;2,884;251;9,138;60;11,16;755;-242;585.24
2014-06-30;5,587;-1,575;4,011;848;4,143;3,577;2,217;12,027;6,942;2,158;34,074;3,253;2,884;251;9,138;60;11,16;755;-242;585.24
2014-09-30;5,678;-1,675;4,004;541;1,917;3,298;2,263;8,775;7,526;2,715;32,059;3,453;2,343;178;9,266;42;11,866;1,177;-261;585.24
2014-12-31;5,678;-1,675;4,004;541;1,917;3,298;2,263;8,775;7,526;2,715;32,059;3,453;2,343;178;9,266;42;11,866;1,177;-261;585.24
2015-03-31;6,409;-1,815;4,594;940;1,765;3,98;2,447;9,726;8,181;2,902;35,368;3,688;2,821;267;10,086;46;12,455;777;-256;564.89
2015-06-30;6,409;-1,815;4,594;940;1,765;3,98;2,447;9,726;8,181;2,902;35,368;3,688;2,821;267;10,086;46;12,455;777;-256;564.89
2015-09-30;5,735;-1,682;4,053;683;1,4;3,628;2,441;9,254;8,152;2,943;33,711;3,929;563;178;8,174;17;10,097;1,324;-310;564.89
2015-12-31;5,735;-1,682;4,053;683;1,4;3,628;2,441;9,254;8,152;2,943;33,711;3,929;563;178;8,174;17;10,097;1,324;-310;564.89
2016-03-31;6,248;-1,724;4,524;751;1,341;4,091;2,64;9,61;7,722;2,82;33,398;3,962;1,436;216;9,059;11;11,417;961;-287;564.51
2016-06-30;6,248;-1,724;4,524;751;1,341;4,091;2,64;9,61;7,722;2,82;33,398;3,962;1,436;216;9,059;11;11,417;961;-287;564.51
2016-09-30;6,21;-1,81;4,399;790;1,746;3,942;2,699;10,046;8,793;3,179;35,63;4,135;1,017;217;9,207;11;11,128;1,391;-380;564.51
2016-12-31;6,21;-1,81;4,399;790;1,746;3,942;2,699;10,046;8,793;3,179;35,63;4,135;1,017;217;9,207;11;11,128;1,391;-380;564.51
2017-03-31;6,706;-1,89;4,815;1,032;1,686;4,238;2,638;11,272;9,064;2,694;37,282;3,997;2,961;202;11,005;9;12,684;1,113;-321;563.53
2017-06-30;6,706;-1,89;4,815;1,032;1,686;4,238;2,638;11,272;9,064;2,694;37,282;3,997;2,961;202;11,005;9;12,684;1,113;-321;563.53
2017-09-30;6,306;-1,789;4,516;881;3,047;3,923;2,495;11,019;8,872;2,579;35,339;4,141;1,029;132;9,173;9;10,523;1,466;-311;563.53
2017-12-31;6,306;-1,789;4,516;881;3,047;3,923;2,495;11,019;8,872;2,579;35,339;4,141;1,029;132;9,173;9;10,523;1,466;-311;563.53
2018-03-31;6,695;-1,799;4,896;1,136;2,014;4,334;2,689;10,507;9,551;2,885;35,488;4,397;1,476;162;9,919;9;11,141;1,174;-390;563.10
2018-06-30;6,695;-1,799;4,896;1,136;2,014;4,334;2,689;10,507;9,551;2,885;35,488;4,397;1,476;162;9,919;9;11,141;1,174;-390;563.10
2018-09-30;6,773;-1,866;4,906;811;3,992;3,983;2,822;12,466;9,597;3,087;38,458;4,55;1,112;115;10,112;10;11,529;1,471;-318;563.10
