date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2006-03-31;1335;-882;453;29;282;883;40;1,607;108;-;1,998;-;-;196;1,341;189;1,539;57;-;13.77;2006-05-10
2006-06-30;1314;-858;456;34;158;926;68;1,608;153;-;2,043;-;-;151;1,367;198;1,591;95;-;13.77;2006-08-24
2006-09-30;1204;-774;430;34;198;1,011;70;1,663;259;-;2,104;-;-;103;1,375;204;1,614;113;-;13.77;2006-11-09
2006-12-31;1504;-1,092;412;37;150;1,111;39;1,634;194;-;2,155;-;-;214;267;166;1,621;-41;-;13.77;2007-02-09
2007-03-31;1347;-800;547;34;78;1,084;29;1,518;191;-;2,033;-;-;69;1,284;176;1,502;57;-;13.77;2007-05-10
2007-06-30;1299;-850;449;40;208;837;26;1,486;193;-;2,007;-;-;126;1,252;179;1,487;75;-;13.77;2007-08-24
2007-09-30;1335;-828;507;46;172;968;27;1,735;190;-;2,261;-;-;184;1,458;178;1,712;-69;-;13.77;2007-11-09
2007-12-31;1558;-920;638;56;136;1,255;65;1,972;244;-;2,553;-;-;159;1,765;130;1,983;315;-;13.77;2008-02-09
2008-03-31;1317;-1246;71;35;107;1,154;42;1,847;241;-;2,427;-;-;156;1554;156;1821;-35;-;69.35;2008-05-10
2008-06-30;1529;-1451;78;45;75;1,265;91;1,971;-;258;2,617;-;-;216;1761;144;2,03;64;-;69.35;2008-08-24
2008-09-30;1508;-1404;104;49;97;1,407;92;1,984;-;432;2,859;-;-;278;1959;101;2,211;240;-;69.35;2008-11-09
2008-12-31;1562;-1398;164;90;130;1,549;99;2,168;-;475;3,194;-;-;352;2133;110;2,453;133;-;69.35;2009-02-09
2009-03-31;1258;-1187;71;35;93;1,345;87;1,917;-;464;3,026;-;-;214;1944;97;2265;238;-;70.50;2009-05-10
2009-06-30;1385;-1286;99;53;79;1,317;109;1,857;-;471;3,052;-;-;296;1979;77;2,306;104;-;70.50;2009-08-24
2009-09-30;1278;-1167;111;94;126;1,363;65;1,831;-;459;3,145;-;-;173;1934;92;2,313;234;-;70.50;2009-11-09
2009-12-31;1479;-1343;136;87;223;1,187;76;1,764;-;458;3,061;-;-;63;1834;32;2,146;366;-;70.50;2010-02-09
2010-03-31;1423;-1314;109;65;251;1,114;83;1,71;-;457;3,024;-;-;54;1720;21;2,042;84;-;71.12;2010-05-10
2010-06-30;1456;-1351;105;58;228;1,175;67;1,742;-;456;3,064;-;-;52;1781;18;2,117;82;-;71.12;2010-08-24
2010-09-30;1399;-1297;102;60;227;1,098;72;1,625;-;457;2,997;-;-;42;1673;17;1,984;44;-;71.12;2010-11-09
2010-12-31;1550;-770;780;94;622;1,103;93;2,034;-;467;3,013;-;-;23;1683;49;2,046;50;-;71.12;2011-02-09
2011-03-31;1467;-1388;79;43;790;1,242;88;2,334;-;466;3,304;-;-;16;1804;37;2,157;67;-;80.81;2011-05-10
2011-06-30;1701;-1603;98;61;637;1,306;81;2,253;-;462;3,212;-;-;18;1986;17;2,325;203;-;80.81;2011-08-24
2011-09-30;1718;-1107;611;47;591;1,477;113;2,449;-;460;3,409;-;-;43;2148;13;2,478;-62;-;80.81;2011-11-09
2011-12-31;2,471;-1,602;869;153;458;1,781;118;2,701;-;1,3;4,591;-;-;39;2690;90;3,325;413;-;80.81;2012-02-09
2012-03-31;2,313;-1,435;878;54;269;1,892;122;2,579;-;1,298;4,477;-;-;41;2545;97;3,171;-124;-;81.38;2012-05-10
2012-06-30;2,503;-1,692;811;86;135;2,086;137;2,523;-;1,298;4,4;-;-;84;2758;89;3,312;54;-;81.38;2012-08-24
2012-09-30;2,306;-1,516;790;4;134;2,349;157;2,809;-;1,313;4,677;-;-;64;3033;87;3,692;38;-;81.38;2012-11-09
2012-12-31;2,709;-1,692;1,017;83;322;2,352;134;2,982;-;1,31;4,919;-;-;73;3128;68;3,717;225;-;81.38;2013-02-09
2013-03-31;2,376;-1,446;930;72;133;2,701;138;3,13;-;1,312;5,133;-;-;60;3250;67;3,947;-120;-;82.33;2013-05-10
