date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2008-03-31;-;-2;-2;-8;140;5;-;197;-;9;263;8;2;-;10;92;101;68;4;64.95;2008-04-25
2008-06-30;18;-5;13;-1;118;5;-;203;-;6;267;17;3;-;20;95;115;-26;2;64.95;2008-07-25
2008-09-30;19;-7;12;1;83;0;-;178;-;6;234;23;4;-;27;66;96;-22;-1;64.95;2008-10-25
2008-12-31;53;-7;47;35;211;84;2;359;124;218;751;14;-;-;61;-;220;105;-111;64.95;2009-02-09
2009-03-31;8;-7;1;1;275;5;2;351;128;257;821;18;-;-;83;-;271;49;78;66.06;2009-04-25
2009-06-30;10;-7;3;-12;210;15;2;289;134;282;855;18;-;-;83;-;291;-23;-50;66.06;2009-07-25
2009-09-30;11;-6;5;-12;166;6;3;248;150;347;979;13;-;-;117;-;364;-60;-1;66.06;2009-10-25
2009-12-31;13;-5;8;-67;272;5;3;707;120;382;1,331;45;188;-;350;71;667;155;-155;66.06;2010-02-09
2010-03-31;17;-7;10;-30;151;6;2;576;117;408;1,316;27;226;-;367;68;697;-201;130;66.06;2010-04-25
2010-06-30;14;-6;8;-17;68;10;3;478;103;452;1,349;53;280;-;423;63;799;-7;-143;66.06;2010-07-25
2010-09-30;13;-7;6;-13;188;4;3;619;114;537;1,668;20;503;-;637;71;1,073;-31;-45;66.06;2010-10-25
2010-12-31;17;-8;9;-56;136;10;2;632;102;500;1,326;38;191;72;429;-;783;331;-78;66.06;2011-02-09
2011-03-31;18;-9;9;-44;151;6;8;679;103;515;1,473;10;301;56;478;106;948;-328;284;115.06;2011-04-25
2011-06-30;18;-11;6;-8;142;32;7;689;103;572;1,606;18;403;59;570;109;1,073;-45;-63;115.06;2011-07-25
2011-09-30;15;-9;6;-7;141;9;6;633;94;598;1,63;14;371;54;551;100;1,066;29;-106;115.06;2011-10-25
2011-12-31;27;-9;18;-6;139;24;6;498;88;551;1,291;46;64;-;180;98;676;349;-66;115.06;2012-02-09
2012-03-31;17;-9;7;-18;155;27;5;514;92;531;1,456;49;158;-;326;103;828;-242;228;128.65;2012-04-25
2012-06-30;12;-8;4;-37;186;29;5;515;75;448;1,517;42;267;-;478;135;953;50;-165;128.65;2012-07-25
2012-09-30;8;-8;0;-100;127;13;7;513;68;467;1,438;89;314;-;595;241;955;-26;-237;128.65;2012-10-25
2012-12-31;21;-13;7;-8;205;18;4;524;70;511;1,504;46;102;-;306;340;832;203;-186;128.65;2013-02-09
2013-03-31;14;-8;7;-4;124;15;4;425;66;498;1,505;39;166;-;332;350;869;-291;562;140.71;2013-04-25
2013-06-30;49;-15;34;-7;136;60;6;457;64;504;1,606;27;210;-;364;451;1;-50;-100;140.71;2013-07-25
2013-09-30;54;-10;44;-26;201;28;8;512;64;492;1,778;63;162;-;392;632;1,193;97;-160;140.71;2013-10-25
2013-12-31;43;-17;26;-56;278;22;7;628;53;444;1,733;74;79;-;312;741;1,209;157;-102;140.71;2014-02-09
