date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2009-03-31;3,504;-2,598;906;38;297;2,347;468;3,583;2,338;214;6,55;1,442;-;889;3,799;12;3,935;113;-16;91.79;2009-04-25
2009-06-30;3,785;-2,879;907;58;132;2,566;461;3,55;2,379;202;6,549;1,54;-;798;3,79;12;3,924;75;-36;91.79;2009-07-21
2009-09-30;2,89;-2,123;767;54;140;2,078;390;2,974;2,317;181;5,906;1,177;-;839;3,177;11;3,303;4;-18;91.79;2009-10-21
2009-12-31;4,409;-3,397;1,012;233;195;3,211;393;4,14;2,324;231;7,186;2,162;-;404;4,236;12;4,377;534;-67;91.79;2010-02-09
2010-03-31;3,571;-2,65;921;74;226;2,33;539;3,406;2,378;241;6,521;1,605;-;564;3,5;10;3,625;27;-17;94.14;2010-04-25
2010-06-30;4,042;-3,084;959;67;76;2,936;557;3,957;2,432;234;7,119;2,135;-;577;4,135;15;4,258;71;-26;94.14;2010-07-21
2010-09-30;3,558;-2,689;870;48;185;2,52;670;3,799;2,565;246;7,097;1,791;-;915;4,005;9;4,161;-67;-36;94.14;2010-10-21
2010-12-31;5,96;-4,707;1,253;309;404;4,362;484;5,851;2,758;341;9,63;3,12;-;721;6,028;21;6,292;555;-47;94.14;2011-02-09
2011-03-31;4,648;-3,468;1,18;88;168;2,874;615;4,238;2,787;335;8,04;1,939;-;658;4,303;14;4,575;-70;-32;99.55;2011-04-25
2011-06-30;4,948;-3,716;1,232;111;51;3,159;531;4,289;2,758;316;8,042;2,184;-;412;4,33;2;4,589;238;-40;99.55;2011-07-21
2011-09-30;4,113;-3,092;1,021;75;93;2,865;608;4,196;2,805;315;8,009;1,867;-;724;4,171;2;4,448;-165;-53;99.55;2011-10-21
2011-12-31;6,519;-5,098;1,421;327;485;4,615;557;6,304;2,834;335;10,224;3,593;-;218;6,078;15;6,398;1,043;-54;99.55;2012-02-09
2012-03-31;4,819;-3,577;1,243;79;145;3,096;655;4,571;2,81;323;8,52;2,204;-;450;4,343;22;4,641;-422;-51;101;2012-04-25
2012-06-30;5,34;-4,074;1,266;67;21;3,662;643;5,069;2,838;328;9,036;2,603;-;861;5,301;28;5,58;64;-57;101;2012-07-21
2012-09-30;4,451;-3,321;1,129;78;162;3,073;596;4,517;2,849;320;8,455;2,028;-;1,019;4,662;27;4,933;40;-49;101;2012-10-21
2012-12-31;6,321;-4,86;1,461;285;180;4,438;509;5,736;2,833;330;9,81;3,616;-;67;5,679;65;5,994;1,13;-93;101;2013-02-09
2013-03-31;5,085;-3,826;1,259;53;164;3,273;578;4,72;2,951;345;8,965;2,483;-;357;4,612;73;4,989;-224;-77;103;2013-04-25
2013-06-30;5,502;-4,177;1,325;39;283;3,675;533;5,244;3,011;348;9,582;2,78;-;144;4,83;911;6,058;158;-57;103;2013-07-21
2013-09-30;4,664;-3,474;1,19;50;-;3,318;496;4,538;3,079;339;8,943;2,255;-;1;4,003;957;5,299;-97;-45;103;2013-10-21
2013-12-31;6,846;-5,3;1,545;198;746;4,751;463;6,651;3,132;326;11,187;3,847;-;146;6,405;1,019;7,655;1,037;-109;103;2014-02-09
2014-03-31;5,885;-4,507;1,378;71;509;3,212;565;5,106;3,091;302;9,576;2,635;-;139;4,785;1,002;6,002;-149;-57;105;2014-04-25
2014-06-30;5,981;-4,603;1,378;55;462;3,715;600;5,569;3,112;296;10,049;3,258;-;-;5,747;1,016;6,991;424;-49;105;2014-07-21
2014-09-30;5,174;-3,901;1,273;88;288;3,176;597;4,861;3,045;276;9,263;2,712;-;30;4,973;1,015;6,191;-104;-49;105;2014-10-21
