date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2013-03-31;2,263;-;2,263;299;3,93;-;587;6,876;-;162;30,177;-;-;1,663;6,001;10,218;23,557;-3,25;3,127;32.3;2013-05-05
2013-06-30;2,607;-;2,607;794;3,663;-;609;6,757;-;170;31,365;-;-;1,703;6,258;10,305;24,498;764;-552;32.3;2013-07-15
2013-09-30;2,648;-;2,648;494;5,098;-;668;7,926;-;184;32,855;-;-;1,835;6,366;11,127;25,387;1,1;-487;32.3;2013-10-25
2013-12-31;2,74;-;2,74;-114;5,379;-;714;8,238;-;417;32,297;-;-;2,291;7,803;10,251;25,203;981;-746;32.3;2014-02-14
2014-03-31;2,7;-;2,7;132;6,137;-;820;9,124;-;403;33,678;-;-;2,509;6,08;13,311;26,593;-2,781;-810;32.3;2014-05-05
2014-06-30;2,771;-;2,771;130;5,862;-;811;9,007;-;915;35,974;-;-;2,588;7,835;14,197;28,917;990;-1,363;32.3;2014-07-15
2014-09-30;3,411;-;3,411;-38;6,741;-;872;10,079;-;926;37,704;-;-;1,886;6,751;16,568;30,486;290;-1,237;32.3;2014-10-25
2014-12-31;3,44;-;3,44;273;5,673;-;995;9,25;-;1,06;41,416;-;-;1,148;7,409;17,602;33,485;1,202;-1,219;32.3;2015-02-14
2015-03-31;3,707;-;3,707;614;5,501;-;1,152;9,374;-;1,078;44,106;-;-;1,995;8,551;17,531;35,532;-2,032;5,736;32.3;2015-05-05
2015-06-30;3,918;-;3,918;-2,39;8,952;-;1,111;12,987;-;1,126;44,698;-;-;3,37;10,468;17,3;35,884;1,789;-1,271;32.3;2015-07-15
2015-09-30;3,402;-;3,402;70;8,637;-;1,172;12,278;-;1,191;46,657;-;-;3,533;10,838;17,82;37,295;1,11;-1,303;32.3;2015-10-25
2015-12-31;3,602;-;3,602;-1,098;8,34;-;1,18;13,586;-;1,1;41,806;-;-;3,431;6,984;17,581;32,705;1,264;-1,119;32.3;2016-02-14
2016-03-31;3,289;-;3,289;211;7,647;-;1,071;12,329;-;1,078;38,263;-;-;3,718;6,718;15,04;27,675;1,167;-291;42.5;2016-05-05
2016-06-30;3,151;-;3,151;-1,012;6,878;-;1,077;11,763;-;1,05;35,482;-;-;2,59;5,392;14,878;25,776;915;-372;42.5;2016-07-15
2016-09-30;3,346;-;3,346;-251;8,098;-;1,027;11,275;-;924;32,893;-;-;2,295;4,601;13,925;23,693;2,472;-289;42.5;2016-10-25
2016-12-31;2,584;-;2,584;48;7,228;-;1,091;10,361;-;923;32,521;-;-;1,142;3,554;13,956;23,059;982;-461;42.5;2017-02-14
2017-03-31;2,353;-;2,353;-148;6,997;-;1,119;9,899;-;928;31,465;-;-;1,492;3,789;12,863;22,11;620;-167;42.5;2017-05-05
2017-06-30;2,036;-;2,036;-812;8,136;-;1,121;10,726;-;936;30,825;-;-;1,485;3,848;13,287;21,901;757;-21;42.5;2017-07-15
2017-09-30;2,18;-;2,18;-338;8,351;-;1,029;10,945;-;906;29,824;-;-;2,206;5,079;11,828;21,295;792;-141;42.5;2017-10-25
2017-12-31;2,064;-;2,064;-479;8,593;-;1,028;11,216;-;919;30,459;-;-;2,293;5,303;12,201;21,945;286;-307;42.5;2018-02-14
2018-03-31;1,411;-;1,411;-167;6,716;-;966;9,168;-;908;27,145;-;-;2,451;4,877;10,265;19,256;-273;-94;42.5;2018-05-05
2018-06-30;1,662;-;1,662;-26;8,302;-;852;10,682;-;942;27,73;-;-;6,973;9,495;7,145;20,024;8;-349;42.5;2018-07-15
2018-09-30;1,861;-;1,861;102;7,562;-;787;10,123;-;1,062;26,595;-;-;7,679;10,1;6,227;19,397;-181;-321;42.5;2018-10-25
2018-12-31;1,851;-;1,851;62;5,913;-;224;7,868;-;1,099;19,487;-;-;1,939;4,212;6,639;13,154;658;250;42.5;2019-02-14
2019-03-31;1,688;-;1,688;-200;7,596;-;279;9,546;-;1,206;21,205;-;-;1,4;4,628;8,855;15,159;435;-107;42.5;2019-05-05
2019-06-30;2,023;-;2,023;-11;6,208;-;456;8,157;-;1,207;19,807;-;-;1,462;3,979;8,193;13,874;296;-508;42.5;2019-07-15
2019-09-30;2,233;-;2,233;30;6,447;-;329;8,44;-;1,345;20,249;-;-;1,295;3,918;8,563;14,255;301;66;42.5;2019-10-25
2019-12-31;1,891;-;1,891;-162;6,188;-;195;8,035;-;1,207;19,894;-;-;1,966;4,587;7,935;14,236;83;-212;42.5;2020-02-14
2020-03-31;1,967;-;1,967;118;6,64;-;186;8,718;-;1,219;21,954;-;-;2,087;4,966;8,782;15,751;172;-130;42.5;2020-05-05
2020-06-30;1,263;-;1,263;-632;5,561;-;211;7,503;-;1,157;20,218;-;-;1,418;3,793;9,183;14,142;-588;-470;42.5;2020-07-15
2020-09-30;1,371;-;1,371;-398;5,205;-;204;7,228;-;1,227;20,567;-;-;1,335;3,498;10,258;15,541;-217;-996;42.5;2020-10-25
2020-12-31;1,574;-;1,574;-289;3,725;-;169;6,352;-;1,056;19,159;-;-;1,611;3,729;9,179;14,699;-100;-139;42.5;2021-02-14
2021-03-31;1,338;-;1,338;-35;4,206;-;187;6,237;-;1,039;18,672;-;-;1,457;3,638;9,177;14,597;143;-130;42.5;2021-05-05
2021-06-30;1,611;-;1,611;-11;3,645;-;171;6,189;-;1,051;18,736;-;-;1,51;4,005;9,011;14,068;-61;-136;42.5;2021-07-15
2021-09-30;1,88;-;1,88;-157;3,932;-;168;6,189;-;1,05;18,659;-;-;1,448;3,921;9,146;14,266;441;-161;42.5;2021-10-25
2021-12-31;2,713;-;2,713;637;3,425;-;199;6,465;-;1,074;19,118;-;-;1,645;4,261;8,78;14,496;941;-379;42.5;2022-02-14
2022-03-31;2,476;-;2,476;430;4,509;-;191;6,784;-;1,065;19,3;-;-;2,006;4,958;8,169;14,741;1,078;-378;42.5;2022-05-05
2022-06-30;2,386;-;2,386;161;3,776;-;301;6,5;-;1,114;19,836;-;-;1,658;4,856;8,622;15,266;238;-430;42.5;2022-07-15
2022-09-30;3,212;-;3,212;393;5,252;-;303;8,272;-;1,116;21,459;-;-;1,77;4,783;8,568;16,108;358;-300;42.5;2022-10-25
2022-12-31;3,359;-;3,359;718;4,846;-;291;8,696;-;1,128;21,753;-;-;1,389;4,416;8,788;16,034;855;67;42.5;2023-02-14
2023-03-31;2,999;-;2,999;565;6,263;-;365;9,2;-;1,194;23,494;-;-;1,342;4,787;9,321;17,133;1,516;-467;42.5;2023-05-05
2023-06-30;2,834;-;2,834;555;6,222;-;406;9,2;-;1,25;24,51;-;-;1,569;5,146;9,421;17,824;465;-251;42.5;2023-07-15
2023-09-30;3,197;-;3,197;172;5,998;-;408;9,28;-;1,186;23,462;-;-;2,413;5,889;8,202;16,905;348;-248;42.5;2023-10-25
2023-12-31;3,531;-;3,531;287;5,46;-;549;9,457;-;1,223;23,476;-;-;2,363;5,997;7,717;16,799;1;-294;42.5;2024-02-14
2024-03-31;2,973;-;2,973;304;6,545;2,839;556;9,94;-;1,261;24,581;-;-;2,209;6,166;8,275;16,377;1,337;-342;42.53;2024-04-29
2024-06-30;4,283;-;4,283;694;6,802;2,715;392;9,91;-;1,255;24,222;-;-;2,167;6,164;7,662;15,759;1,313;-243;42.53;2024-07-08
