date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2012-12-31;925;-;925;44;134;-;579;1,411;-;39;3,466;-;-;6;604;992;1,775;176;-117;100.0;2013-02-09
2013-03-31;950;-;950;66;122;-;604;1,453;-;38;3,531;-;-;11;644;930;1,801;92;-59;100.0;2013-04-25
2013-06-30;952;-;952;89;104;-;622;1,452;-;38;3,574;-;-;9;703;970;1,885;122;-90;100.0;2013-07-25
2013-09-30;1,016;-;1,016;116;155;-;569;1,515;-;41;3,602;-;-;1;695;890;1,799;180;-33;100.0;2013-10-25
2013-12-31;886;-;886;60;39;-;545;1,277;-;57;3,427;-;-;6;656;774;1,58;132;-106;100.0;2014-02-09
2014-03-31;992;-;992;65;35;-;533;1,341;-;54;3,494;-;-;5;622;755;1,531;59;-51;100.0;2014-04-25
2014-06-30;993;-;993;90;48;-;556;1,363;-;58;3,496;-;-;95;673;763;1,588;69;-32;100.0;2014-07-25
2014-09-30;1,003;-;1,003;110;79;-;548;1,34;-;69;3,489;-;-;7;565;746;1,461;227;-79;100.0;2014-10-25
2014-12-31;951;-;951;67;168;-;610;1,485;-;77;3,748;-;-;8;819;784;1,807;245;-151;100.0;2015-02-09
2015-03-31;1,007;-;1,007;73;51;-;640;1,517;-;72;3,78;-;-;67;786;770;1,766;-82;-53;100.0;2015-04-25
2015-06-30;1,054;-;1,054;92;51;-;613;1,524;-;75;3,849;-;-;23;711;871;1,787;146;-106;100.0;2015-07-25
2015-09-30;1,069;-;1,069;111;125;-;600;1,591;-;89;3,902;-;-;9;769;850;1,902;198;-71;100.0;2015-10-25
2015-12-31;1,034;-;1,034;108;169;-;676;1,683;-;137;4,169;-;-;9;898;802;2,113;301;-200;100.0;2016-02-09
2016-03-31;1,113;-;1,113;120;39;-;684;1,731;-;131;4,276;-;-;31;737;791;1,9;-69;-71;100.0;2016-04-25
2016-06-30;1,167;-;1,167;154;163;-;671;1,815;-;127;4,408;-;-;9;900;784;2,023;433;-142;100.0;2016-07-25
2016-09-30;1,102;-;1,102;156;385;-;660;1,983;-;123;4,643;-;-;9;881;769;1,966;339;-115;100.0;2016-10-25
2016-12-31;1,11;-;1,11;123;265;-;626;1,839;-;125;4,671;-;-;61;1,134;525;1,992;378;-294;100.0;2017-02-09
2017-03-31;1,136;-;1,136;147;182;-;687;1,818;-;121;4,711;-;-;41;1,038;526;1,903;82;-159;100.0;2017-04-25
2017-06-30;1,256;-;1,256;181;75;-;661;1,802;-;118;4,836;-;-;106;1,06;765;2,194;158;-215;100.0;2017-07-25
2017-09-30;1,089;-;1,089;145;199;-;712;1,81;-;112;5,061;-;-;71;987;775;2,138;364;-255;100.0;2017-10-25
2017-12-31;1,137;-;1,137;85;180;-;734;1,885;-;111;5,333;-;-;283;1,317;743;2,444;176;-339;100.0;2018-02-09
2018-03-31;1,217;-;1,217;132;92;-;718;1,869;-;105;5,412;-;-;279;1,154;757;2,321;31;-177;100.0;2018-04-25
2018-06-30;1,199;-;1,199;123;90;-;784;1,878;-;103;5,517;-;-;273;1,141;1,011;2,539;179;-187;100.0;2018-07-25
2018-09-30;1,15;-;1,15;105;231;-;846;2,029;-;99;5,775;-;-;270;1,243;1,061;2,666;278;-185;100.0;2018-10-25
2018-12-31;1,219;-;1,219;65;86;-;856;1,898;-;100;5,951;-;-;272;1,244;1,115;2,828;70;-213;100.0;2019-02-09
