date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2014-03-31;830;-511;319;-31;67;213;884;1,217;1,579;548;3,516;285;-;286;749;1,696;2,576;-186;-10;166.97;2014-04-25
2014-06-30;1,077;-606;471;51;-;196;913;1,179;1,58;529;3,471;363;-;218;700;1,554;2,396;117;-25;166.97;2014-07-15
2014-09-30;1,054;-622;433;37;158;202;1,066;1,499;-;2,089;3,777;586;-;119;959;1,551;2,665;187;-22;166.97;2014-10-25
2014-12-31;1,192;-685;507;92;245;230;984;1,566;1,58;420;3,768;482;-;273;967;1,481;2,563;177;-27;166.97;2015-02-04
2015-03-31;964;-559;404;6;16;224;1,24;1,579;1,581;416;3,802;587;-;314;1,002;1,479;2,592;-190;-36;166.97;2015-04-25
2015-06-30;1,122;-607;514;10;77;210;1,126;1,458;1,582;412;3,67;381;-;136;680;1,647;2,403;59;-19;166.97;2015-07-15
2015-09-30;1,135;-640;495;75;173;212;1,251;1,7;1,582;408;3,924;559;-;-;831;1,644;2,582;131;-30;166.97;2015-10-25
2015-12-31;1,409;-763;646;187;447;240;1,109;1,853;1,582;428;4,094;445;-;-;855;1,648;2,566;297;-33;166.97;2016-02-04
2016-03-31;1,016;-605;411;9;176;228;1,307;1,748;1,586;424;3,993;453;-;-;739;1,647;2,455;-253;-16;166.97;2016-04-25
2016-06-30;1,248;-701;547;126;167;198;1,149;1,567;1,586;420;3,825;370;-;-;637;1,647;2,395;259;-32;166.97;2016-07-15
2016-09-30;1,218;-717;500;69;157;243;1,346;1,81;1,586;416;4,064;548;-;-;790;1,646;2,565;8;-17;166.97;2016-10-25
2016-12-31;1,499;-879;620;209;577;203;1,324;2,171;1,589;428;4,436;556;-;-;1,034;1,647;2,728;454;-25;166.97;2017-02-04
2017-03-31;1,11;-661;448;-1;155;194;1,667;2,062;1,598;423;4,345;524;-;-;946;1,646;2,638;-369;-25;166.97;2017-04-25
2017-06-30;1,406;-808;599;129;16;166;1,456;1,692;1,598;419;4,009;405;-;-;774;1,645;2,507;227;-32;166.97;2017-07-15
2017-09-30;1,278;-741;537;65;204;166;1,458;1,895;1,599;415;4,211;506;-;-;892;1,645;2,644;211;-18;166.97;2017-10-25
2017-12-31;1,536;-908;627;197;582;208;1,368;2,221;1,599;430;4,548;581;-;-;1,085;1,649;2,784;403;-29;166.97;2018-02-04
2018-03-31;1,199;-712;488;8;259;162;1,572;2,043;1,602;428;4,375;520;-;-;901;1,652;2,603;-298;-21;165.76;2018-04-25
2018-06-30;1,427;-793;634;136;136;141;1,454;1,794;1,603;432;4,331;449;-;-;969;1,647;2,706;191;-22;165.76;2018-07-15
2018-09-30;1,352;-770;582;61;93;154;1,761;2,088;1,606;435;4,625;683;-;-;1,228;1,646;2,982;24;-18;165.76;2018-10-25
2018-12-31;1,76;-1,023;736;224;427;186;1,573;2,288;1,606;435;4,757;554;-;-;1,274;1,649;2,968;434;-18;165.76;2019-02-04
2019-03-31;1,237;-732;505;-24;10;156;1,881;2,114;1,607;433;6,525;576;-;395;1,52;1,649;4,763;-300;-24;161.83;2019-04-25
2019-06-30;1,622;-938;684;103;4;139;1,716;1,937;1,611;433;6,875;546;-;2,143;3,187;-;5,309;349;-49;161.83;2019-07-15
2019-09-30;1,477;-814;663;85;27;130;1,823;2,068;1,611;432;6,915;628;-;2,043;3,212;-;5,264;257;-26;161.83;2019-10-25
2019-12-31;1,821;-1,06;760;212;568;182;1,55;2,377;1,611;433;7,316;617;-;2,056;3,288;-;5,338;726;-58;161.83;2020-02-04
