date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2001-03-31;5,71;-2,55;3,161;497;1,794;-;435;7,706;-;-;24,823;-;-;279;6,997;3,954;17,149;1,532;-538;2076.18
2001-06-30;6,238;-3,382;2,855;697;381;961;475;6,293;-;-;22,914;1,022;-;623;5,717;4,726;18,103;2,46;-575;2076.18
2001-09-30;6,97;-3,99;2,981;471;1,632;198;459;7,309;-;-;24,424;1,002;-;577;6,554;4,519;18,921;448;-143;2076.18
2001-12-31;5,847;-4,588;1,259;33;491;171;590;5,439;-;-;22,323;1,136;-;739;5,279;3,933;16,535;-78;-598;2076.18
2002-03-31;6,17;-3,617;2,552;342;849;118;645;6,113;-;-;23,036;813;-;685;5,717;3,854;16,974;828;-439;2165.42
2002-06-30;7,686;-4,804;2,882;746;397;225;611;5,46;-;-;25,003;747;-;711;5,192;4,319;18,24;397;-528;2165.42
2002-09-30;7,935;-4,97;2,965;437;1,55;269;553;6,782;-;-;26,61;766;-;521;6,076;4,447;19,379;1,704;-577;2165.42
2002-12-31;8,842;-5,332;3,51;624;967;273;783;8,4;-;-;29,65;815;-;624;5,762;4,735;21,421;84;-701;2165.42
2003-03-31;9,44;-5,6;3,84;527;2,355;301;411;9,137;-;-;31,028;766;-;188;6,447;4,973;22,357;2,407;-717;2166.14
2003-06-30;7,783;-4,641;3,142;635;1,743;322;712;7,439;-;-;28,511;710;-;216;4,707;5,212;19,783;117;-750;2166.14
2003-09-30;8,525;-5,294;3,231;594;3,234;370;629;9,217;-;-;30,98;751;-;195;5,935;5,141;21,553;2,329;-806;2166.14
2003-12-31;9,396;-5,619;3,777;626;1,097;321;749;8,872;-;-;33,227;917;-;643;5,927;4,947;22,705;-499;-847;2166.14
2004-03-31;9,565;-5,597;3,968;695;3,035;357;768;9,462;-;-;34,054;866;-;745;7,122;4,866;23,025;2,963;-794;2166.14
