date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2001-09-30;1,443;-;1,443;22;22;-;-;2,896;1,202;-;5,526;-;-;-;2,642;1,454;4,096;-60;-;116.8;2001-10-25
2001-12-31;1,802;-;1,802;227;315;-;-;3,011;1,187;-;5,629;-;-;-;2,551;1,555;4,106;523;-;116.8;2002-02-09
2002-03-31;1,803;-;1,803;41;105;-;-;3,167;1,179;-;5,784;-;-;-;2,884;1,293;4,177;-339;-;118;2002-04-25
2002-06-30;1,92;-;1,92;65;144;-;-;3,209;1,153;-;5,798;-;-;-;2,901;1,228;4,129;139;-;118;2002-07-14
2002-09-30;1,415;-;1,415;52;115;-;-;3,188;1,189;-;5,805;-;-;-;2,808;1,276;4,084;-2;-;118;2002-10-25
2002-12-31;1,842;-;1,842;58;182;-;-;2,952;1,213;-;5,597;-;-;-;2,337;1,566;3,903;466;-;118;2003-02-09
2003-03-31;1,639;-;1,639;-6;143;-;-;3,006;1,192;-;5,668;-;-;-;2,965;951;3,916;44;-;118.8;2003-04-25
2003-06-30;1,679;-;1,679;45;33;-;-;3,022;1,189;-;5,694;-;-;-;2,757;1,15;3,907;-223;-;118.8;2003-07-14
2003-09-30;1,307;-;1,307;33;74;-;-;3,187;1,172;-;5,84;-;-;-;2,572;1,447;4,019;-114;-;118.8;2003-10-25
2003-12-31;2,026;-;2,026;53;106;-;-;3,306;1,194;-;6,008;-;-;-;2,913;1,265;4,178;376;-;118.8;2004-02-09
2004-03-31;1,526;-;1,526;46;50;-;-;3,276;-;1,215;5,758;-;-;-;2,118;2,146;4,294;-107;-;119.2;2004-04-25
2004-06-30;1,125;-;1,125;-97;29;-;-;3,274;-;1,214;5,752;-;-;1;2,189;1,371;4,387;7;-;119.2;2004-07-14
2004-09-30;1,269;-;1,269;61;136;-;-;3,257;-;1,213;5,72;-;-;2;2,057;1,414;4,299;90;-;119.2;2004-10-25
2004-12-31;2,169;-;2,169;82;162;-;-;3,454;1,212;35;5,933;-;-;2;2,28;1,261;4,48;338;-;119.2;2005-02-09
2005-03-31;1,428;-;1,428;16;76;-;-;3,944;-;1,252;6,411;-;-;2;2,491;1,282;4,828;-66;-;119.88;2005-04-25
2005-06-30;1,401;-;1,401;22;97;-;-;3,768;-;1,251;6,261;-;-;2;2,425;1,226;4,704;183;-;119.88;2005-07-14
2005-09-30;1,428;-;1,428;85;176;-;-;3,91;-;1,043;6,161;-;-;2;2,333;1,106;4,515;265;-102;119.88;2005-10-25
2005-12-31;1,471;-;1,471;92;736;-;-;4,196;-;1,135;6,586;-;-;2;2,873;1,016;5,091;249;-14;119.88;2006-02-09
2006-03-31;1,683;-;1,683;52;597;-;-;4,247;-;1,131;6,646;-;-;-;2,89;1,016;5,066;-81;-;120.04;2006-04-25
2006-06-30;1,567;-;1,567;62;433;-;-;4,113;-;1,335;6,738;-;-;-;2,821;1,017;5,119;167;-;120.04;2006-07-14
2006-09-30;1,402;-;1,402;78;344;-;-;4,273;-;1,357;6,92;-;-;-;3,034;1,016;5,326;-41;-117;120.04;2006-10-25
2006-12-31;2,068;-;2,068;60;711;-;-;4,55;-;1,358;7,356;-;-;-;3,301;1,005;5,682;578;-104;120.04;2007-02-09
2007-03-31;1,853;-;1,853;89;335;-;-;4,454;-;1,709;7,633;-;-;-;3,302;1,069;5,842;-87;-49;119.6;2007-04-25
2007-06-30;2,271;-;2,271;114;233;-;-;4,771;-;1,741;8,08;-;-;-;3,474;1,171;6,173;18;-94;119.6;2007-07-14
2007-09-30;1,967;-;1,967;141;542;-;-;5,21;-;1,743;8,71;-;-;-;4,045;771;6,505;926;-106;119.6;2007-10-25
2007-12-31;2,468;-;2,468;642;947;-;-;5,739;-;1,761;9,214;-;-;-;4,314;705;6,467;180;-183;119.6;2008-02-09
2008-03-31;2,353;-;2,353;126;754;1,502;1,811;5,893;-;1,843;9,495;-;-;-;4,457;705;6,676;72;-128;120.0;2008-04-25
2008-06-30;2,752;-;2,752;179;392;1,457;1,994;5,952;-;2,252;10,182;-;-;-;4,796;956;7,339;215;-245;120.0;2008-07-14
2008-09-30;2,561;-;2,561;94;142;-;-;6,623;-;2,326;10,969;-;-;-;5,346;1,411;8,296;-469;-211;120.0;2008-10-25
2008-12-31;3,39;-;3,39;188;283;2,097;2,693;7,787;-;2,38;12,451;-;-;-;8,004;1,722;10,572;156;-232;120.0;2009-02-09
2009-03-31;3,33;-;3,33;146;443;2,13;2,796;7,916;-;2,321;12,562;-;-;-;7,135;1,724;9,927;290;-42;120.0;2009-04-25
2009-06-30;3,259;-;3,259;153;559;1,684;2,772;7,642;-;2,285;12,118;-;-;-;6,198;1,831;9,33;146;-188;120.0;2009-07-14
2009-09-30;3,346;-;3,346;218;873;1,54;2,725;7,758;-;2,221;12,151;-;-;-;6,328;825;8,721;1,475;-92;120.0;2009-10-25
2009-12-31;3,881;-;3,881;311;1,463;1,428;2,587;7,902;-;2,209;12,366;-;-;-;6,719;829;8,662;758;-139;120.0;2010-02-09
2010-03-31;3,739;-;3,739;294;1,779;1,427;2,835;8,384;-;2,224;12,909;-;-;-;6,952;830;8,976;442;-109;120.0;2010-04-25
2010-06-30;3,958;-;3,958;306;1,578;1,314;2,863;8,509;-;2,298;13,151;-;-;-;7,134;831;9,214;124;-73;120.0;2010-07-14
2010-09-30;3,786;-;3,786;365;1,521;1,695;2,949;8,321;-;2,404;13,099;-;-;-;6,378;828;8,741;169;-99;120.0;2010-10-25
2010-12-31;4,014;-;4,014;535;2,66;1,694;3,034;9,129;-;2,436;13,977;-;-;-;7,172;847;9,12;1,283;-143;120.0;2011-02-09
2011-03-31;3,744;-;3,744;354;2,812;1,373;2,615;9,489;-;2,406;14,335;-;-;-;7,075;856;9,165;282;-104;120.0;2011-04-25
2011-06-30;4,041;-;4,041;339;1,341;1,635;2,901;8,867;-;2,409;13,777;-;-;-;6,505;853;8,724;-846;-115;120.0;2011-07-14
2011-09-30;3,46;-;3,46;384;1,611;1,468;3,483;8,877;-;2,65;14,095;-;-;-;6,403;883;8,822;489;-117;120.0;2011-10-25
2011-12-31;3,883;-;3,883;353;3,083;1,854;3,274;10,186;-;2,744;15,618;-;322;-;8,258;570;10,154;1,718;-98;120.0;2012-02-09
2012-03-31;3,836;-;3,836;314;1,902;1,896;3,327;9,163;-;2,737;14,618;-;-;-;6,893;568;8,806;-666;-102;120.0;2012-04-25
2012-06-30;3,932;-;3,932;308;1,059;2,1;3,357;9,28;-;2,777;14,854;-;-;-;7,093;568;9,214;-240;-132;120.0;2012-07-14
2012-09-30;3,675;-;3,675;383;1,88;1,951;3,563;10,367;-;2,743;15,941;-;-;-;6,818;1,313;9,838;229;-124;120.0;2012-10-25
2012-12-31;4,209;-;4,209;299;2,509;2,559;3,465;10,642;-;2,75;16,274;-;-;-;7,114;1,311;10,011;884;-165;120.0;2013-02-09
2013-03-31;4,033;-;4,033;271;2,144;2,417;3,138;10,607;-;3,138;16,639;-;-;-;7,242;1,313;10,192;77;-66;120.0;2013-04-25
2013-06-30;4,097;-;4,097;285;2,63;2,316;2,948;11,011;-;3,133;17,072;-;-;-;7,871;1,311;10,872;1,019;-99;120.0;2013-07-14
2013-09-30;3,448;-;3,448;294;2,376;2,131;3,004;10,781;-;3,117;16,808;-;-;-;7,273;1,309;10,544;-179;-60;120.0;2013-10-25
2013-12-31;4,745;-;4,745;375;3,272;2,238;2,943;11,348;-;3,137;17,435;-;-;526;8,029;811;10,786;1,066;-131;120.0;2014-02-09
2014-03-31;3,941;-;3,941;243;4,618;2,13;2,827;12,811;-;3,118;18,664;-;-;501;8,751;826;11,668;1,499;-76;120.0;2014-04-25
2014-06-30;4,263;-;4,263;243;3,775;2,17;2,852;12,638;-;3,109;18,556;-;-;-;9,018;841;11,932;369;-94;120.0;2014-07-14
2014-09-30;3,991;-;3,991;362;3,9;1,998;3,053;13,058;-;3,111;18,957;-;-;-;9,078;855;12,074;169;-63;120.0;2014-10-25
2014-12-31;4,357;-;4,357;32;4,424;3,284;3,264;14,37;-;2,881;20,273;-;-;-;11,096;873;14,02;278;-92;120.0;2015-02-09
2015-03-31;4,234;-;4,234;280;3,761;2,718;3,449;14,439;-;2,964;20,469;-;-;-;11,076;887;14,032;-524;-84;120.0;2015-04-25
2015-06-30;4,222;-;4,222;193;2,908;2,437;3,242;13,224;-;2,914;19,252;-;-;-;10,212;882;13,328;333;-75;120.0;2015-07-14
2015-09-30;4,009;-;4,009;218;2,181;2,365;3,742;13,371;-;2,934;19,454;-;-;-;10,575;882;13,6;-655;-75;120.0;2015-10-25
2015-12-31;4,567;-;4,567;64;1,807;4,056;3,675;13,218;-;2,655;19,121;-;-;-;10,469;866;13,035;-241;-129;120.0;2016-02-09
2016-03-31;4,34;-;4,34;227;1,368;2,758;4,081;12,92;-;2,619;18,901;-;-;-;9,449;864;12,195;-112;-189;120.0;2016-04-25
2016-06-30;4,125;-;4,125;306;1,436;2,792;4,539;12,895;-;2,633;21,557;-;-;-;8,915;4,103;14,972;64;-185;120.0;2016-07-14
2016-09-30;3,428;-;3,428;-144;1,249;2,305;4,66;12,492;-;2,687;21,329;-;-;258;8,906;3,773;14,678;119;-107;120.0;2016-10-25
2016-12-31;3,952;-;3,952;262;1,888;3,354;4,666;12,289;-;2,746;21,196;-;-;263;8,821;3,82;14,505;738;-160;120.0;2017-02-09
2017-03-31;3,721;-;3,721;147;2,192;2,383;4,804;12,486;-;2,772;21,482;-;-;749;9,422;3,341;14,628;520;-90;120.0;2017-04-25
2017-06-30;3,733;-;3,733;63;2,257;1,811;4,948;12,099;-;2,78;21,056;-;-;557;9,04;3,342;14,271;826;-89;120.0;2017-07-14
2017-09-30;3,279;-;3,279;79;1,639;1,93;4,808;11,735;-;2,779;20,577;-;-;300;8,414;3,33;13,691;-196;-44;120.0;2017-10-25
2017-12-31;3,757;-;3,757;270;2,956;2,755;1,873;11,653;-;2,803;20,676;-;-;-;7,891;3,34;13,345;1,749;-105;120.0;2018-02-09
2018-03-31;3,554;-;3,554;116;2,739;2,621;1,976;11,466;-;2,778;20,35;-;-;-;7,615;3,34;13,075;-5;-46;126.0;2018-04-25
2018-06-30;3,525;-;3,525;89;2,63;3,047;2,122;11,305;-;2,83;20,085;-;-;-;7,662;3,337;13,074;408;-64;126.0;2018-07-14
2018-09-30;3,154;-;3,154;155;2,99;2,745;2,18;11,427;-;2,849;20,203;-;-;307;7,994;3,019;13,079;462;-43;126.0;2018-10-25
2018-12-31;4,158;-;4,158;344;10,038;2,802;2,174;18,65;-;2,889;27,658;-;-;312;9,042;4,02;15,052;1,324;-88;126.0;2019-02-09
2019-03-31;3,462;-;3,462;140;10,389;2,345;2,279;19,052;-;2,869;29,527;-;-;1,081;9,866;3,469;16,754;590;-89;180.0;2019-04-25
2019-06-30;6,012;-;6,012;40;4,522;4,001;4,143;18,488;-;6,428;34,575;-;-;1,2;14,606;3,469;22,272;-461;-115;180.0;2019-07-14
2019-09-30;5,833;-;5,833;71;3,667;4,126;4,298;19,255;-;6,436;35,331;-;-;944;15,194;3,47;22,756;-483;-108;180.0;2019-10-25
2019-12-31;7,328;-;7,328;238;5,654;6,363;3,964;22,843;-;6,487;39,022;-;-;968;18,411;3,469;26,269;2,237;-232;180.0;2020-02-09
2020-03-31;6,678;-;6,678;198;9,537;5,455;4,064;27,461;-;5,28;42,713;-;-;422;20,187;3,473;27,796;940;-115;179.80;2020-04-25
2020-06-30;5,983;-;5,983;273;8,61;5,125;4,182;25,345;-;5,311;40,153;-;-;1,409;19,211;2,474;25,78;-199;-128;179.80;2020-07-14
2020-09-30;5,802;-;5,802;444;8,098;4,369;4,305;24,529;-;5,264;39,359;-;-;1,337;17,859;2,473;24,48;381;-119;179.80;2020-10-25
