date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2008-03-31;397;-303;94;-61;55;-;717;1,025;408;689;2,681;-;167;-;430;674;1,251;76;-21;347.8;2008-05-10
2008-06-30;402;-272;130;3;58;-;684;980;408;689;2,642;-;164;-;386;671;1,204;54;-32;347.8;2008-08-23
2008-09-30;415;-250;165;-25;88;-;762;1,074;259;676;2,574;-;169;-;476;700;1,329;53;-25;347.8;2008-11-09
2008-12-31;451;-282;169;-69;38;-;690;979;231;610;2,342;-;141;-;568;695;1,355;-1;-18;347.8;2009-02-16
2009-03-31;368;-230;138;24;30;-;693;930;245;647;2,338;-;145;-;439;679;1,225;44;-16;353.60;2009-05-10
2009-06-30;415;-250;165;25;29;-;663;912;243;640;2,264;-;140;-;438;558;1,11;126;-20;353.60;2009-08-23
2009-09-30;412;-258;154;72;24;-;700;930;255;658;2,33;-;147;-;448;480;1,049;89;-16;353.60;2009-11-09
2009-12-31;450;-234;215;62;21;-;735;1,024;258;669;2,458;-;294;-;310;617;1,082;12;-22;353.60;2010-02-16
2010-03-31;426;-209;217;77;29;-;745;1,034;265;699;2,535;-;321;-;562;224;1,009;99;-25;357.49;2010-05-10
2010-06-30;450;-270;180;79;34;-;797;1,101;267;728;2,667;-;49;-;331;573;1,147;112;-33;357.49;2010-08-23
2010-09-30;457;-195;262;84;34;-;910;1,22;265;697;2,754;-;56;-;405;623;1,306;76;-29;357.49;2010-11-09
2010-12-31;574;-289;285;133;41;-;1,034;1,417;271;716;3,021;-;55;-;391;656;1,416;34;-36;357.49;2011-02-16
2011-03-31;504;-264;240;41;48;291;967;1,306;270;700;2,913;-;53;-;309;590;1,299;131;-34;358.10;2011-05-10
2011-06-30;562;-367;194;88;71;-;857;1,209;270;713;2,811;-;137;-;452;676;1,491;206;-37;358.10;2011-08-23
