date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2010-03-31;29;-13;16;5;22;24;10;57;-;5;67;7;-;-;17;-;20;-6;-3;168.74;2010-04-20
2010-06-30;42;-20;22;9;29;28;14;73;-;5;83;8;-;-;34;-;37;9;-2;168.74;2010-07-14
2010-09-30;35;-19;16;6;30;23;16;71;-;5;81;8;-;-;25;-;29;11;-1;168.74;2010-10-20
2010-12-31;35;-18;17;6;32;26;23;81;-;4;92;10;-;-;31;-;34;3;0;168.74;2011-02-04
2011-03-31;33;-18;15;5;20;30;28;81;-;4;91;7;-;-;25;-;28;-12;-1;167.62;2011-04-20
2011-06-30;38;-22;17;5;25;33;28;89;-;3;99;8;-;-;39;-;43;6;-1;167.62;2011-07-14
2011-09-30;38;-20;18;7;13;37;25;78;-;3;87;5;-;-;25;-;28;6;0;167.62;2011-10-20
2011-12-31;29;-15;15;2;24;22;25;73;-;2;85;3;-;6;25;-;38;12;0;167.62;2012-02-04
2012-03-31;32;-15;17;5;23;25;22;73;-;3;84;6;-;3;20;-;31;3;-1;163.40;2012-04-20
2012-06-30;39;-19;20;7;24;32;19;78;-;3;89;6;-;-;18;-;29;5;-1;163.40;2012-07-14
2012-09-30;34;-17;17;5;28;33;19;83;-;4;95;6;-;-;19;-;29;6;-2;163.40;2012-10-20
2012-12-31;28;-15;13;1;40;26;12;80;-;5;94;2;-;-;19;-;28;17;-2;163.40;2013-02-04
2013-03-31;25;-13;12;0;32;24;13;74;-;8;90;5;-;-;19;-;27;-1;-4;161.27;2013-04-20
2013-06-30;29;-15;14;2;19;29;19;71;-;9;92;9;-;-;18;-;27;-7;-6;161.27;2013-07-14
2013-09-30;35;-18;17;4;28;24;19;75;-;9;97;6;-;-;19;-;27;11;-2;161.27;2013-10-20
2013-12-31;36;-17;19;3;26;30;21;80;-;11;103;6;-;-;21;-;32;0;-2;161.27;2014-02-04
2014-03-31;31;-15;16;1;34;27;24;88;-;12;112;9;-;-;22;-;32;4;-3;162.38;2014-04-20
2014-06-30;41;-21;20;4;19;39;25;87;-;12;111;8;-;8;26;-;36;-10;-2;162.38;2014-07-14
2014-09-30;49;-26;23;5;24;41;21;89;-;12;113;9;-;-;21;-;30;15;-2;162.38;2014-10-20
2014-12-31;45;-22;23;6;34;39;25;101;-;11;127;13;-;-;31;-;42;11;-1;162.38;2015-02-04
