date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2006-03-31;201;-120;82;118;6;69;538;616;-;228;1,391;-;-;99;275;401;858;-20;-;100.0
2006-06-30;302;-110;192;232;5;135;687;839;-;384;1,823;-;-;281;423;375;1,065;7;-;100.0
2006-09-30;309;-114;195;-30;4;121;604;764;-;373;1,71;-;-;240;446;329;983;60;-;100.0
2006-12-31;436;-177;259;125;7;110;754;923;-;768;2,27;-;-;150;422;623;1,385;199;-;100.0
2007-03-31;424;-195;229;108;16;154;724;919;-;872;2,391;-;-;114;332;706;1,399;73;-;100.0
2007-06-30;339;-135;204;-22;126;130;638;933;-;870;2,429;-;-;125;288;690;1,345;27;-;103.0
2007-09-30;462;-237;225;112;126;128;737;1,032;-;870;2,527;-;-;61;300;672;1,34;96;-;103.0
2007-12-31;453;-239;214;155;48;147;970;1,203;-;1,043;2,86;-;-;88;344;765;1,574;102;-;103.0
2008-03-31;349;-165;183;-57;44;113;826;1,029;-;1,078;2,744;-;-;93;267;753;1,484;51;-;103.0
2008-06-30;415;-214;201;30;8;166;780;985;-;1,078;2,716;-;-;215;336;738;1,538;-16;-;103.0
2008-09-30;395;-177;218;37;8;130;902;1,081;-;1,144;2,898;-;-;236;415;797;1,676;11;-;103.0
2008-12-31;556;-271;285;159;24;149;1,069;1,276;-;1,111;3,068;-;-;184;442;824;1,754;167;-;103.0
2009-03-31;476;-267;209;30;12;150;944;1,121;-;1,111;2,949;-;-;137;315;811;1,611;92;-;103.0
2009-06-30;456;-206;250;242;18;132;1,14;1,33;-;1,111;3,251;-;-;146;402;798;1,686;139;-;103.0
2009-09-30;688;-288;401;57;14;296;1,061;1,429;-;1,125;3,355;-;-;193;506;802;1,794;20;-;103.0
2009-12-31;757;-376;381;141;148;252;1,115;1,589;-;1,141;3,55;-;-;118;532;814;1,851;262;-;103.0
2010-03-31;618;-305;313;284;78;265;1,305;1,726;-;1,142;3,778;-;-;-;494;808;1,802;144;-;103.0
2010-06-30;660;-324;336;155;32;257;1,353;1,769;-;1,145;3,87;-;-;181;656;803;1,954;86;-;103.0
2010-09-30;1,002;-477;525;178;46;448;1,624;2,26;-;1,595;4,977;-;-;256;927;1,25;2,898;66;-;103.0
2010-12-31;1,15;-424;725;341;107;410;1,71;2,363;-;1,688;5,807;-;-;51;705;1,869;3,456;235;-;103.0
2011-03-31;1,005;-468;537;246;312;361;1,607;2,35;-;1,738;5,976;-;-;44;556;1,897;3,373;310;-;103.0
2011-06-30;682;-320;362;-156;109;299;1,542;2,103;-;1,888;5,831;-;-;402;829;2,023;3,815;-93;-;103.0
2011-09-30;1,077;-573;504;41;48;473;1,666;2,327;-;1,918;6,222;-;-;539;1,046;2,166;4,142;2;-;103.0
2011-12-31;1,07;-617;453;17;48;505;1,649;2,347;-;1,917;6,316;-;-;502;1,16;2,029;4,224;76;-;103.0
2012-03-31;809;-446;364;98;32;421;1,652;2,301;-;2,138;6,522;-;-;286;1,005;2,148;4,047;48;-;111.58
2012-06-30;843;-420;424;90;40;454;1,851;2,528;-;2,138;6,796;-;-;288;1,124;2,22;4,234;122;-;111.58
2012-09-30;1,227;-713;514;27;47;650;1,952;2,85;-;2,136;7,181;-;-;469;1,507;2,197;4,601;41;-;111.58
2012-12-31;1,325;-746;579;267;55;661;2,29;3,252;-;2,136;7,627;-;-;596;1,563;2,098;4,795;-24;-;111.58
2013-03-31;1,277;-630;646;235;63;635;2,259;3,155;-;2,135;7,574;-;-;531;1,329;2,163;4,467;228;-;113.30
2013-06-30;1,433;-659;774;741;388;579;2,659;3,859;-;2,448;8,502;-;-;218;1,118;2,301;4,702;476;-;113.30
2013-09-30;1,695;-823;872;266;346;739;2,775;4,02;-;2,448;8,998;-;-;627;1,425;2,128;4,903;-43;-;113.30
2013-12-31;1,841;-939;902;661;1,071;662;3,249;5,199;-;2,464;9,932;-;-;397;1,225;1,975;5,209;446;-;113.30
2014-03-31;1,626;-655;971;237;1,087;649;3,034;4,968;-;2,468;9,813;-;-;244;896;2,35;4,859;447;-;113.30
2014-06-30;1,745;-750;995;234;368;533;2,912;4,043;-;2,906;9,452;-;-;356;1,141;2,31;5,149;723;-;113.30
2014-09-30;1,806;-843;963;454;200;703;3,24;4,505;-;2,819;9,795;-;-;685;1,394;2,154;5,047;-27;-;113.30
2014-12-31;2,009;-926;1,082;290;167;888;3,321;4,669;-;2,899;10,124;-;-;277;1,533;1,78;5,048;504;-;113.30
2015-03-31;1,615;-723;892;218;86;780;3,143;4,157;-;2,906;9,679;-;-;315;1,559;1,528;4,362;676;-;112.26
2015-06-30;1,799;-891;908;188;109;842;3,032;4,202;-;2,922;9,864;-;-;325;1,677;2,516;5,463;359;-;112.26
2015-09-30;1,877;-932;945;336;96;891;3,582;4,804;-;2,93;10,515;-;-;333;1,952;2,453;5,764;171;-;112.26
2015-12-31;2,035;-1,017;1,018;387;274;816;3,634;4,982;-;2,914;10,935;-;-;140;1,724;2,371;5,788;417;-;112.26
2016-03-31;2,003;-847;1,157;605;210;734;3,714;4,972;-;2,912;11,118;-;-;140;2,088;1,999;5,417;1,001;-;112.55
2016-06-30;2,288;-911;1,377;402;199;774;3,638;4,939;-;2,913;11,57;-;-;321;2,845;2,489;6,599;1,027;-;112.55
2016-09-30;2,262;-1,023;1,239;627;420;485;4,287;5,598;-;2,912;12,417;-;-;140;3,313;2,231;6,833;937;-;112.55
2016-12-31;2,476;-1,221;1,256;1,017;274;596;5,222;6,393;-;2,911;13,402;-;-;199;2,786;2,079;6,803;-241;-;112.55
2017-03-31;2,43;-1,08;1,35;443;218;553;4,75;5,8;-;2,928;12,958;-;-;163;2,536;1,884;5,918;733;-;112.67
2017-06-30;2,93;-1,223;1,707;564;224;547;4,35;5,419;-;2,93;12,83;-;-;216;2,814;2,32;6,553;1,145;-;112.67
2017-09-30;2,677;-1,156;1,521;990;194;552;4,905;5,877;-;2,929;13,438;-;-;345;3,219;1,464;6,19;970;-;112.67
2017-12-31;2,781;-1,263;1,518;301;177;501;4,395;5,316;-;2,925;12,926;-;-;244;2,74;811;5,346;526;-;112.67
