date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2014-03-31;57;0;57;10;971;-;-;1,15;20;-;3,896;446;-;269;934;2,381;3,731;-182;909;72.81;2014-05-05
2014-06-30;93;-1;91;26;919;-;-;1,093;21;-;4,173;355;-;448;1,112;2,494;4,064;2;-252;72.81;2014-08-04
2014-09-30;130;-1;129;7;666;-;-;862;20;-;4,063;71;-;78;431;2,975;3,965;-258;-129;72.81;2014-11-04
2014-12-31;175;-;175;5;1,049;-;-;1,261;22;-;5,012;70;-;113;396;3,337;4,382;41;-137;72.81;2015-02-04
2015-03-31;225;-;225;47;1,198;-;-;1,546;21;-;6,142;408;-;196;820;3,823;5,509;553;254;93.82;2015-05-05
2015-06-30;185;-;185;21;842;-;-;1,242;22;-;6,937;416;-;128;783;4,564;6,279;103;-1,159;93.82;2015-08-04
2015-09-30;202;-;202;8;797;-;-;1,269;23;-;7,205;232;-;207;756;4,847;6,475;25;-209;93.82;2015-11-04
2015-12-31;255;-;255;59;1,465;-;-;2,14;24;-;7,984;154;-;167;715;5,293;7,176;-79;-475;93.82;2016-02-04
2016-03-31;228;-;228;-23;1,055;-;-;1,682;23;-;7,726;22;-;256;666;5,171;7,01;9;-422;93.96;2016-05-05
2016-06-30;214;-;214;6;771;-;-;1,251;23;-;7,633;40;-;222;654;5,176;6,98;312;-333;93.96;2016-08-04
2016-09-30;281;-;281;11;732;-;-;1,192;22;-;7,537;20;-;303;696;5,075;6,923;196;-102;93.96;2016-11-04
2016-12-31;290;-;290;77;1,019;-;-;1,484;22;-;7,075;29;-;279;509;4,8;6,39;215;-27;93.96;2017-02-04
2017-03-31;277;-;277;31;1,474;-;-;1,863;22;-;7,492;25;-;359;671;4,836;6,459;262;-57;101.29;2017-05-05
2017-06-30;279;-;279;1;1,221;-;-;1,575;23;-;7,246;29;-;305;473;4,717;6,246;215;-118;101.29;2017-08-04
2017-09-30;280;-;280;407;1,073;-;-;1,551;23;-;7,468;31;-;354;657;4,417;6,095;191;-156;101.29;2017-11-04
2017-12-31;286;-;286;-1;2,805;-;-;3,661;24;-;10,24;216;-;317;935;6,905;8,93;176;-341;101.29;2018-02-04
2018-03-31;283;-;283;12;2,457;-;-;3,133;24;-;10,647;512;-;442;1,506;6,819;9,42;700;-925;109.1;2018-05-05
2018-06-30;273;-;273;102;2,356;-;-;3,174;23;-;11,289;425;-;341;1,497;6,672;9,434;304;-805;109.1;2018-08-04
2018-09-30;283;-;283;36;1,994;-;-;2,844;23;-;11,475;261;-;428;1,454;6,708;9,61;61;-717;109.1;2018-11-04
2018-12-31;312;-;312;76;3,236;-;-;4,442;24;-;14,857;162;-;364;1,8;9,386;12,973;183;-1,118;109.1;2019-02-04
2019-03-31;331;-;331;12;2,731;-;-;4,19;24;-;15,876;228;-;455;2,1;9,986;14,037;159;-1,224;126.3;2019-05-05
2019-06-30;382;-;382;21;2,336;-;-;4,681;24;-;17,492;234;-;389;2,41;11,353;15,866;-278;-1,229;126.3;2019-08-04
2019-09-30;532;-;532;67;3,386;-;-;5,908;24;-;20,435;557;-;527;2,392;12,606;17,314;343;-1,275;126.3;2019-11-04
2019-12-31;565;-;565;55;2,746;-;-;4,495;24;-;21,578;888;-;837;2,75;12,973;18,601;1,636;-2,774;126.3;2020-02-04
2020-03-31;630;-;630;299;2,987;-;-;4,865;25;-;24,408;829;-;912;3,286;14,184;21,026;729;-730;135.9;2020-05-05
2020-06-30;722;-;722;-81;4,004;-;-;5,67;25;-;24,302;867;-;1,315;3,223;12,622;19,25;200;-648;135.9;2020-08-04
2020-09-30;731;-;731;-24;3,918;-;-;5,455;25;-;23,919;806;-;1,545;3,433;12,202;19,066;581;-140;135.9;2020-11-04
2020-12-31;688;-;688;-561;7,701;-;-;9,074;25;-;26,663;760;748;913;3,495;11,35;17,869;161;-256;135.9;2021-02-04
2021-03-31;693;-;693;41;4,681;-;-;6,369;239;-;33,553;748;-;1,88;4,156;17,647;24,628;239;-149;159.7;2021-05-05
2021-06-30;736;-;736;110;4,121;-;-;5,751;240;-;33,213;783;-;844;2,48;18,686;24,206;757;-622;159.7;2021-08-04
2021-09-30;846;-;846;169;4,269;-;-;6,012;245;-;33,347;769;-;908;2,605;18,699;24,355;444;-186;159.7;2021-11-04
2021-12-31;762;-;762;135;4,08;-;-;5,645;-;797;33,03;812;-;1,147;2,913;17,972;23,76;632;-10;159.7;2022-02-04
2022-03-31;724;-;724;-1,061;4,116;-;-;5,474;-;699;31,758;719;-;1,708;3,385;17,764;23,618;441;-170;158.9;2022-05-05
2022-06-30;720;-;720;-68;3,714;-;-;5,205;-;759;34,019;820;-;1,807;3,53;19,212;25,549;286;-208;158.9;2022-08-04
2022-09-30;784;-;784;335;5,253;-;-;7,913;-;810;39,28;1,063;-;2,039;4,382;22,671;30,08;391;-631;158.9;2022-11-04
2022-12-31;773;-;773;-432;3,909;-;-;6,512;-;758;36,73;594;-;2,194;4,039;21,515;28,467;-362;-977;158.9;2023-02-04
2023-03-31;841;-;841;-98;3,435;-;-;8,001;-;806;39,962;453;373;2,269;6,955;21,096;31,191;1,034;-1,951;158.9;2023-05-05
2023-06-30;848;-;848;402;3,786;-;-;7,452;-;833;43,271;3,04;284;2,13;8,232;22,716;34,35;3,285;-4,481;158.9;2023-08-04
2023-09-30;804;-;804;94;3,918;-;-;7,043;-;814;44,11;2,28;384;2,456;8,33;23,198;35,37;1,199;-1,631;158.9;2023-11-04
2023-12-31;906;-;906;723;3,101;-;-;5,087;-;717;41,795;294;1,132;1,931;5,635;23,22;33,109;-3,346;918;158.9;2024-02-04
