date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2001-03-31;2,033;-452;1,581;-36;476;-;96;1,775;-;922;7,196;1,972;-;-;1,972;1,861;4,581;-130;-;68.69;2001-04-25
2001-06-30;2,011;-403;1,608;-61;679;-;99;1,931;-;923;7,13;1,714;-;-;1,714;2,179;4,653;159;-;68.69;2001-07-18
2001-09-30;1,851;-397;1,454;-268;458;-;100;1,687;-;893;6,745;1,695;-;-;1,695;2,179;4,558;-38;-;68.69;2001-10-25
2001-12-31;2,077;-503;1,574;-58;608;-;99;1,783;-;933;6,816;1,964;-;-;1,964;2,042;4,769;307;-;68.69;2002-02-09
2002-03-31;1,989;-445;1,544;16;351;-;99;1,536;-;911;6,657;1,813;-;-;1,813;2,059;4,594;-19;-;68.20;2002-04-25
2002-06-30;1,965;-433;1,532;98;313;-;105;1,449;-;882;6,464;1,489;-;-;1,489;2,112;4,337;115;-;68.20;2002-07-18
2002-09-30;1,863;-385;1,478;-21;369;-;107;1,518;-;859;6,492;1,444;-;-;1,444;2,112;4,387;128;-;68.20;2002-10-25
2002-12-31;2,055;-467;1,588;63;587;-;103;1,716;-;880;6,402;1,83;-;-;1,83;1,712;4,382;365;-;68.20;2003-02-09
2003-03-31;2,029;-421;1,608;86;378;-;109;1,599;-;887;6,34;2,051;-;-;2,051;1,358;4,236;80;-;67.85;2003-04-25
2003-06-30;2,169;-450;1,719;204;304;-;113;1,535;-;902;6,329;1,693;-;-;1,693;1,455;3,997;306;-;67.85;2003-07-18
2003-09-30;2,031;-399;1,632;71;330;-;115;1,619;-;884;6,395;1,911;-;-;1,911;1,203;3,985;196;-;67.85;2003-10-25
2003-12-31;2,326;-504;1,822;123;810;-;110;2,08;-;1,02;6,916;2,047;-;-;2,047;1,624;4,57;372;-;67.85;2004-02-09
2004-03-31;2,27;-465;1,805;105;384;-;111;1,754;-;1,403;6,677;2,015;-;-;2,015;1,537;4,323;111;-;67.93;2004-04-25
2004-06-30;2,324;-437;1,887;126;542;-;112;2,04;-;1,532;7,023;-;-;218;2,209;1,661;4,768;282;-;67.93;2004-07-18
2004-09-30;2,336;-439;1,897;185;606;-;116;2,127;-;1,567;7,272;-;-;234;2,211;1,65;4,844;244;-;67.93;2004-10-25
2004-12-31;2,76;-553;2,207;-103;532;-;106;2,112;-;1,604;7,415;-;-;287;2,495;1,544;5,124;449;-;67.93;2005-02-09
2005-03-31;2,432;-493;1,939;358;586;-;105;2,097;-;1,172;7,534;-;-;242;2,346;1,356;4,839;56;-;67.73;2005-04-25
2005-06-30;2,497;-483;2,014;255;676;-;94;2,238;-;1,144;7,49;-;-;232;2,31;1,389;4,795;363;-;67.73;2005-07-18
2005-09-30;2,26;-439;1,821;158;671;-;85;2,188;-;1,145;7,472;-;-;102;2,119;1,355;4,609;215;-;67.73;2005-10-25
2005-12-31;2,643;-493;2,15;175;676;-;94;2,268;-;1,406;7,935;-;-;493;2,764;1,078;5,001;350;-;67.73;2006-02-09
2006-03-31;2,557;-494;2,063;188;589;-;87;2,346;-;1,413;7,983;-;-;465;2,702;1,287;5,125;-97;-;65.90;2006-04-25
2006-06-30;2,697;-484;2,213;215;856;-;99;2,772;-;1,569;8,542;-;-;402;2,935;1,758;5,816;449;-;65.90;2006-07-18
2006-09-30;2,907;-515;2,392;82;763;-;120;3,046;-;7,772;15,206;-;-;4,98;7,936;1,573;12,372;243;-;65.90;2006-10-25
2006-12-31;3,487;-633;2,854;1,74;2,24;-;125;4,661;-;8,049;16,549;-;-;5,27;8,328;740;11,674;226;-;65.90;2007-02-09
2007-03-31;3,359;-571;2,788;160;1,011;-;119;3,514;-;7,96;15,27;-;-;4,336;7,443;365;10,346;180;-;66.72;2007-04-25
2007-06-30;3,45;-521;2,929;384;796;-;122;3,262;-;7,934;15,245;-;-;4,117;7,159;573;10,265;315;-;66.72;2007-07-18
2007-09-30;3,179;-506;2,673;52;754;-;121;3,146;-;7,742;15,335;-;-;3,724;6,809;1,116;10,378;339;-;66.72;2007-10-25
2007-12-31;3,622;-611;3,011;141;842;-;123;3,434;-;8,093;15,991;-;-;4,206;7,462;757;11,221;311;-;66.72;2008-02-09
2008-03-31;3,256;-400;2,856;887;657;-;128;3,314;-;8,183;15,682;-;-;3,082;6,274;743;10,207;115;-;64.97;2008-04-25
2008-06-30;3,398;-386;3,012;181;750;-;129;3,438;-;8,326;16,277;-;-;3,05;6,164;1,725;11,05;327;-;64.97;2008-07-18
2008-09-30;2,966;-343;2,623;16;728;-;143;3,352;-;8,627;16,802;-;-;2,731;5,85;2,468;11,589;258;-;64.97;2008-10-25
2008-12-31;3,231;-377;2,854;-1,993;747;-;164;3,699;-;7,617;16,391;-;-;726;5,56;5,418;12,774;57;-;64.97;2009-02-09
2009-03-31;2,919;-330;2,589;-53;671;-;133;3,211;-;6,698;14,766;-;-;642;4,729;4,883;11,304;116;-;76.50;2009-04-25
2009-06-30;2,996;-318;2,678;-63;1,286;-;150;4,656;-;7,94;16,738;-;-;902;5,878;4,539;13,009;56;-;76.50;2009-07-18
2009-09-30;3,264;-338;2,926;188;865;-;145;4,111;-;7,63;15,763;-;-;459;4,643;3,508;10,644;143;-;76.50;2009-10-25
2009-12-31;3,566;-385;3,181;113;1,255;-;138;4,368;-;7,222;15,22;-;-;404;4,311;3,405;10,383;665;-;76.50;2010-02-09
2010-03-31;3,258;-305;2,953;171;623;-;128;3,695;-;6,999;14,252;-;-;334;4,148;2,684;9,371;176;-;103.44;2010-04-25
2010-06-30;3,515;-295;3,22;759;690;-;127;3,891;-;7,041;14,092;-;-;333;4,456;1,865;8,806;437;-;103.44;2010-07-18
2010-09-30;3,288;-268;3,02;235;644;-;136;4,203;-;6,532;13,876;-;-;1,279;5,115;725;8,442;427;-;103.44;2010-10-25
2010-12-31;3,707;-324;3,383;1,766;650;-;139;3,719;-;9,728;16,509;-;-;572;5,064;1,906;9,832;901;-;103.44;2011-02-09
2011-03-31;3,496;-288;3,208;194;659;-;135;3,857;-;9,771;16,696;-;-;581;5,103;2,076;9,866;131;-;104.14;2011-04-25
2011-06-30;3,758;-306;3,452;367;841;-;136;3,962;-;9,699;16,668;-;-;578;5,005;2,589;10,109;509;-;104.14;2011-07-18
2011-09-30;3,38;-284;3,096;229;847;-;139;3,89;-;9,865;16,724;-;-;506;4,919;2,619;10,312;375;-;104.14;2011-10-25
2011-12-31;3,744;-281;3,463;42;778;-;143;3,827;-;9,611;16,327;-;-;523;5,178;1,907;10,003;601;-;104.14;2012-02-09
2012-03-31;3,603;-266;3,337;175;1,035;-;138;4,123;-;9,6;16,553;-;-;271;4,859;2,441;10,22;125;-;107.12;2012-04-25
2012-06-30;3,825;-258;3,567;281;591;-;138;3,727;-;9,555;16,051;-;-;48;4,537;2,41;9,917;284;-;107.12;2012-07-18
2012-09-30;3,524;-253;3,271;219;819;-;137;3,819;-;9,442;16,082;-;-;333;4,793;2,031;9,824;370;-;107.12;2012-10-25
2012-12-31;3,811;-280;3,531;-481;1,031;-;117;3,598;-;9,113;15,35;-;-;347;5,005;2,124;9,486;496;-;107.12;2013-02-09
2013-03-31;3,587;-230;3,357;61;541;-;103;3,405;-;9,221;15,405;-;-;577;5,076;1,941;9,33;-380;-;107.33;2013-04-25
2013-06-30;3,87;-241;3,629;204;1,066;-;104;3,925;-;9,561;16,254;-;-;592;5,018;2,712;10,006;235;-;107.33;2013-07-18
2013-09-30;3,581;-201;3,38;-78;473;-;51;3,215;-;9,958;15,756;-;-;549;4,349;2,561;9,671;326;-;107.33;2013-10-25
2013-12-31;3,832;-178;3,654;850;1,202;-;51;3,767;-;10,212;16,451;-;-;346;4,631;1,971;9,126;535;-;107.33;2014-02-09
2014-03-31;3,71;-172;3,538;-24;307;-;52;3,017;-;10,24;15,59;-;-;137;4,096;1,941;8,411;-61;-;107.40;2014-04-25
2014-06-30;3,834;-179;3,655;28;458;-;54;3,239;-;10,366;15,956;-;-;90;4,245;2,551;9,059;409;-;107.40;2014-07-18
2014-09-30;3,557;-167;3,39;60;831;-;58;3,592;-;10,074;15,814;-;-;13;4,189;2,495;9,395;417;-;107.40;2014-10-25
2014-12-31;3,874;-178;3,696;-191;745;-;56;3,598;-;11,906;17,874;-;-;696;5,311;2,132;11,314;465;-;107.40;2015-02-09
2015-03-31;3,694;-161;3,533;734;285;-;55;3,196;-;11,493;17,694;-;-;844;5,589;1,908;10,682;-18;-;218.47;2015-04-25
2015-06-30;3,803;-144;3,659;268;469;-;14;3,367;-;11,855;18,075;-;-;1,162;5,789;2,334;11,145;380;-;218.47;2015-07-18
2015-09-30;3,673;-129;3,544;812;2,854;-;13;5,915;-;14,511;23,025;-;-;719;5,704;3,012;11,83;328;-;218.47;2015-10-25
2015-12-31;3,947;-141;3,806;-423;1,891;-;14;4,833;-;14,292;21,616;-;-;318;5,418;2,365;10,84;303;-;218.47;2016-02-09
2016-03-31;3,883;-129;3,754;75;1,624;-;-;4,596;-;14,054;21,023;-;-;557;5,659;1,856;10,347;168;-153;226.31;2016-04-25
2016-06-30;4,114;-129;3,985;193;1,411;-;-;4,19;-;13,92;20,489;-;-;541;5,56;1,838;10,213;633;-192;226.31;2016-07-18
2016-09-30;3,798;-118;3,68;197;1,388;-;-;4,192;-;13,47;20,146;-;-;540;5,366;1,822;10,268;200;-166;226.31;2016-10-25
2016-12-31;4,059;-124;3,935;94;1,268;-;-;3,982;-;14,1;20,408;-;-;528;5,607;1,814;10,173;505;-187;226.31;2017-02-09
2017-03-31;4,001;-107;3,893;42;751;-;-;3,61;-;14,835;20,747;-;-;28;5,268;2,313;10,353;159;-198;227.80;2017-04-25
2017-06-30;4,327;-110;4,217;1,383;495;-;-;3,553;-;16,456;25,974;-;-;626;5,958;5,51;14,336;192;-215;227.80;2017-07-18
2017-09-30;4,161;-102;4,059;553;783;-;-;3,873;-;16,084;25,86;-;-;626;6,124;5,203;14,31;602;-207;227.80;2017-10-25
2017-12-31;4,455;-113;4,342;208;1,626;-;-;4,767;-;16,983;27,617;-;-;28;5,764;4,212;12,824;337;-245;227.80;2018-02-09
2018-03-31;4,357;-102;4,255;169;1,805;-;-;4,767;-;16,637;26,995;-;-;328;5,98;3,906;12,598;335;-172;238.56;2018-04-25
2018-06-30;4,602;-101;4,501;316;1,688;-;-;4,604;-;16,284;26,092;-;-;366;5,86;3,855;12,363;551;-200;238.56;2018-07-18
2018-09-30;4,358;-97;4,261;430;1,974;-;-;4,948;-;16,303;26,313;-;-;361;5,825;3,852;12,323;565;-179;238.56;2018-10-25
2018-12-31;4,742;-109;4,633;-198;1,844;280;-;5,322;-;16,521;27,325;-;-;389;6,43;3,837;12,914;330;-266;238.56;2019-02-09
2019-03-31;4,576;-102;4,474;320;727;-;-;3,743;-;16,287;27,489;-;-;88;5,191;3,83;13,314;778;-202;237.74;2019-04-25
2019-06-30;4,798;-102;4,696;354;4,578;-;-;7,818;-;16,459;31,715;-;-;1,079;6,128;4,246;20,592;487;-229;237.74;2019-07-18
2019-09-30;4,6;-101;4,499;402;4,403;-;-;7,47;-;16,748;32,374;-;-;1,436;6,118;4,286;21,689;820;-201;237.74;2019-10-25
2019-12-31;5,101;-111;4,99;121;3,866;224;-;7,294;-;17,369;32,778;-;-;1,441;6,582;4,729;22,279;759;-276;237.74;2020-02-09
2020-03-31;4,818;-93;4,725;-385;3,977;226;-;7,401;-;19,773;35,857;-;-;1,528;7,492;4,958;25,044;538;-258;234.37;2020-04-25
