date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2001-06-30;10,017;-2,355;7,662;-1,598;12,087;-;-;22,477;30,988;-;86,055;-;-;159;18,467;22,794;44,688;3,343;-;1774.09
2001-09-30;10,016;-2,199;7,817;0;2,364;-;-;13,546;10,483;-;82,614;-;-;468;18,038;18,254;40,923;1,786;-;1774.09
2001-12-31;10,874;-2,524;8,35;916;5,839;9,701;513;16,528;9,6;-;82,623;-;-;672;17,294;18,497;40,479;1,864;-11,558;1774.09
2002-03-31;11,518;-2,963;8,555;126;3,115;-;-;16,037;17,346;-;92,188;-;-;920;18,63;26,644;50,116;2,128;-2,066;1774.64
2002-06-30;11,939;-3,066;8,873;1,156;3,305;-;-;15,292;17,895;-;91,203;-;-;1,115;17,556;27,908;50,476;3,02;-2,309;1774.64
2002-09-30;12,209;-3,046;9,163;-959;3,688;-;-;14,708;18,312;-;93,107;-;-;3,306;19,616;28,027;53,474;3,472;-1,769;1774.64
2002-12-31;13,002;-2,843;10,159;-4,979;5,264;8,868;632;15,296;15,045;-;89,458;-;-;3,591;21,716;28,805;55,773;4,238;-2,954;1774.64
2003-03-31;12,602;-3,008;9,594;660;6,228;-;-;16,806;15,116;-;90,966;-;-;3,527;21,748;28,84;56,127;2,987;-1,406;1775.76
2003-06-30;13,147;-3,161;9,986;1,781;5,305;-;-;16,037;9,691;6,399;87,979;-;-;3,27;18,447;27,352;51,697;943;-1,272;1775.76
2003-09-30;13,469;-3,269;10,2;1,329;5,614;-;-;16,273;9,69;6,074;86,42;-;-;618;15,829;26,58;48,64;4,831;-1,481;1775.76
2003-12-31;13,671;-3,085;10,586;1,28;7,644;9,232;504;17,764;9,224;5,536;86,11;-;-;386;17,452;25,376;48,873;4,915;-2,377;1775.76
2004-03-31;14,245;-3,501;10,744;3,423;8,858;-;-;21,025;16,08;9,223;96,518;-;-;1,365;18,805;27,543;55,143;4,435;-1,551;1749.33
2004-06-30;15,226;-3,793;11,433;2,072;5,465;7,036;-;18,69;16,206;10,992;95,015;-;14,281;4,602;22,627;23,543;55,051;4,375;-3,34;1749.33
2004-09-30;15,608;-4,066;11,542;2,062;4,405;6,748;-;17,086;16,303;10,933;93,448;-;13,263;2,679;19,73;23,045;51,962;5,189;-3,324;1749.33
2004-12-31;15,512;-4,007;11,505;-144;5,081;11,487;596;18,215;13,354;11,076;91,396;-;431;3,991;20,673;21,175;51,274;4,992;-3,398;1749.33
2005-03-31;15,27;-3,874;11,396;1,97;8,187;6,078;-;21,315;13,378;10,809;97,12;-;14,649;3,681;23,23;21,492;55,184;5,207;-2,271;1711.84
2005-06-30;16,542;-4,169;12,373;2,328;10,9;6,523;-;24,652;12,816;10,229;100,16;-;15,482;7,269;27,222;22,915;59,851;4,518;-3,267;1711.84
2005-09-30;17,641;-4,42;13,221;2,649;6,444;7,146;-;21,795;18,273;11,389;104,943;-;16,609;6,592;28,603;22,948;62,229;6,456;-3,54;1711.84
2005-12-31;19,474;-4,544;14,93;2,191;6,806;13,852;695;25,749;20,7;21,245;124,257;-;2,21;11,908;37,106;27,719;77,858;6,159;-5,135;1711.84
2006-03-31;21,284;-5,1;16,184;4,217;9,813;7,404;-;27,343;22,648;23,178;134,71;-;19,98;20,024;46,452;25,987;87,127;6,772;-4,097;1686.70
2006-06-30;22,003;-5,377;16,626;2,832;8,101;8,191;-;26,565;22,969;22,735;132,897;-;20,451;20,069;47,092;27,237;88,538;6,315;-4,465;1686.70
2006-09-30;23,255;-5,544;17,711;4,355;17,255;9,16;-;37,252;31,415;27,613;162,177;-;21,993;13,418;42,815;52,769;111,237;8,477;-4,911;1686.70
2006-12-31;24,535;-5,973;18,562;6,976;4,628;10,996;-;25,868;30,583;27,331;148,608;-;20,005;9,952;37,793;40,211;90,615;5,856;-5,751;1686.70
2007-03-31;22,446;-6,263;16,183;2,936;5,693;8,598;-;27,348;30,189;27,541;149,629;-;20,74;9,714;37,814;39,73;90,142;6,428;-4,588;1681.68
2007-06-30;23,155;-6,513;16,642;3,346;7,089;9,044;-;28,709;29,973;26,888;156,125;-;21,862;11,196;41,586;43,447;97,855;6,106;-3,96;1681.68
2007-09-30;23,135;-6,5;16,635;3,552;8,735;9,78;-;29,618;29,112;25,031;153,051;-;23,497;9,43;41,186;40,897;94,564;7,772;-4,765;1681.68
2007-12-31;23,737;-6,689;17,048;7,969;7,363;10,996;-;29,474;29,672;26,476;160,832;-;22,736;7,524;38,304;40,799;92,035;3,39;-5,75;1681.68
2008-03-31;23,157;-6,107;17,05;5,049;11,98;8,706;-;31,652;30,339;24,936;160,323;-;20,644;8,642;36,582;39,276;89,787;6,373;-4,421;1670.39
2008-06-30;23,717;-6,293;17,424;4,109;6,994;8,879;-;27,954;30,911;26,059;160,72;-;-;10,575;38,785;38,517;91,592;5,877;-4,692;1670.39
2008-09-30;23,433;-6,16;17,273;3,491;8,373;8,769;-;27,953;32,001;27,579;169,937;-;-;12,507;42,542;35,633;93,816;7,851;-3,233;1670.39
2008-12-31;25,86;-6,752;19,108;2,394;8,925;20,909;1,357;32,374;34,227;31,153;187,172;-;-;15,581;48,197;40,452;106,225;5,528;-5,119;1670.39
2009-03-31;24,614;-6,353;18,261;2,116;11,235;8,851;-;31,379;31,368;31,483;175,15;-;-;12,803;44,056;39,865;102,816;9,099;-3,804;1657.83
2009-06-30;20,949;-5,897;15,052;1,901;16,191;8,972;-;36,665;31,023;31,214;177,833;-;-;12,358;42,995;40,663;102,474;8,865;-3,231;1657.83
2009-09-30;22,767;-6,161;16,606;4,249;15,42;8,642;-;35,154;29,448;28,577;170,26;-;-;11,106;43,348;34,754;95,946;7,87;-2,887;1657.83
2009-12-31;22,418;-6,099;16,319;2,489;11,479;17,47;884;31,173;28,873;28,12;166,031;-;-;6,383;39,503;32,959;90,055;4,788;-3,092;1657.83
2010-03-31;22,339;-6,037;16,302;1,271;16,439;8,125;-;35,881;28,785;28,524;171,252;-;-;3,67;37,943;35,461;93,076;8,881;-3,757;1652.37
2010-06-30;23,55;-6,443;17,107;9,697;14,628;8,744;-;34,68;28,547;29,587;185,22;-;-;8,144;44,161;33,465;96,644;4,928;-3,301;1652.37
2010-09-30;24,096;-6,455;17,641;2,051;13,361;8,026;-;31,697;24,716;27,175;172,666;-;-;7,936;42,481;26,867;85,827;7,232;-2,942;1652.37
2010-12-31;24,858;-7,304;17,554;2,204;13,606;8,591;-;32,209;24,472;27,007;172,731;-;-;8,751;42,962;25,701;84,863;5,424;-3,422;1652.37
2011-03-31;24,092;-6,714;17,378;3,004;15,207;7,754;-;36,594;24,541;25,664;173,091;-;-;10,206;43,425;25,07;83,825;7,435;-2,926;1614.60
2011-06-30;24,359;-6,702;17,657;4,602;11,082;7,795;-;31,39;24,299;24,506;165,865;-;-;13,358;45,295;23,708;82,401;5,179;-3,028;1614.60
2011-09-30;24,631;-6,625;18,006;2,904;11,728;15,38;1,169;31,237;24,184;24,8;169,506;-;-;8,556;43,624;24,749;82,036;8,64;-2,487;1614.60
2011-12-31;25,433;-7,501;17,932;-3,294;12,899;17,554;992;34,316;22,145;21,774;166,339;-;-;10,767;47,588;23,157;82,346;5,839;-4,82;1614.60
2012-03-31;25,119;-7,148;17,971;-390;12,687;16,818;1,212;36,575;21,879;20,96;162,947;-;-;11,898;44,898;26,078;81,344;6,299;-3,043;1567.45
2012-06-30;25,357;-7,126;18,231;2,423;13,945;17,654;1,138;37,2;21,938;21,126;169,019;-;-;14,522;51,141;33,191;97,716;6,013;-3,371;1567.45
2012-09-30;25,253;-6,961;18,292;4,049;8,908;16,998;1,15;29,655;21,855;22,858;162,751;-;-;9,597;45,481;32,504;90,656;6,864;-3,661;1567.45
2012-12-31;25,99;-7,952;18,038;2,947;8,805;18,209;1,198;29,941;17,682;28,818;167,869;-;-;10,275;43,933;39,826;94,514;4,826;-6,907;1567.45
2013-03-31;24,716;-6,751;17,965;4,209;9,838;18,042;1,317;31,339;18,124;29,985;171,616;-;-;8,78;43,431;38,805;93,269;8,098;-2,707;1525.23
2013-06-30;25,747;-7,034;18,713;3,823;16,944;19,051;1,182;38,639;18,607;29,379;177,321;-;-;9,126;47,614;47,033;106,026;11,843;-3,003;1525.23
2013-09-30;22,342;-5,306;17,036;4,455;13,63;18,666;1,073;34,644;21,241;32,558;183,148;-;-;9,522;48,144;48,436;108,315;9,911;-4,287;1525.23
2013-12-31;26,333;-7,484;18,849;-557;11,978;19,701;1,587;34,83;21,442;32,271;180,971;-;-;7,291;44,362;51,001;107,606;7,138;-5,615;1525.23
2014-03-31;25,319;-6,626;18,693;4,618;15,058;19,23;1,344;38,169;20,955;34,237;183,795;-;-;7,433;43,785;51,425;107,936;8,943;-5,938;1505.39
2014-06-30;25,657;-6,571;19,086;3,279;11,948;19,039;1,329;33,312;21,226;35,389;180,574;-;-;10,293;48,626;53,293;114,764;8,179;-4,215;1505.39
2014-09-30;26,463;-6,948;19,515;2,27;13,237;18,946;1,178;34,283;20,707;35,957;181,224;-;-;9,366;48,819;52,858;115,471;10,693;-4,723;1505.39
2014-12-31;34,004;-10,685;23,319;2,591;12,35;21,226;2,052;38,035;22,493;39,982;193,755;-;-;7,474;52,605;61,113;130,01;6,036;-5,817;1505.39
2015-03-31;31,446;-8,99;22,456;4,817;14,126;20,967;2,028;38,467;22,535;41,516;199,522;-;-;7,779;54,344;59,345;130,911;8,394;-4,898;1501.45
2015-06-30;31,406;-8,626;22,78;4,328;12,691;20,999;1,96;37,041;22,28;38,943;196,409;-;-;10,055;55,581;57,555;128,839;9,786;-4,741;1501.45
2015-09-30;31,836;-7,974;23,862;-1,049;20,039;22,252;1,55;46,089;23,565;39,732;208,488;-;-;11,885;61,347;64,049;142,44;10,984;-4,863;1501.45
2015-12-31;33,487;-9,557;23,93;-1,393;13,956;23,877;2,271;42,313;23,968;40,495;204,909;-;-;12,626;64,978;63,802;146,443;7,943;-6,666;1501.45
2016-03-31;31,494;-8,042;23,452;8,236;13,996;23,717;2,069;42,652;25,829;37,956;205,009;-;-;8,644;59,292;66,372;143,034;11,216;-6,223;1501.45
2016-06-30;30,926;-7,748;23,178;2,024;13,327;22,574;1,864;40,358;25,783;40,085;204,238;-;-;23,178;72,227;57,913;147,331;8,881;-6,685;1501.45
2016-09-30;31,249;-7,78;23,469;67;27,573;22,345;1,427;54,267;25,04;33,763;202,042;-;-;25,742;74,064;58,508;148,937;10,492;-4,057;1501.45
2016-12-31;31,726;-8,977;22,749;3,051;23,085;24,876;1,802;52,991;24,519;33,057;206,319;-;-;25,97;77,618;60,391;155,44;9,189;-6,762;1501.45
2017-03-31;27,596;-6,713;20,883;4,275;26,135;24,156;1,71;58,837;24,786;31,682;209,515;-;-;32,452;84,727;53,041;154,702;8,858;-5,921;1499.76
2017-06-30;28,332;-6,571;21,761;113;20,635;25,129;1,727;50,871;27,406;31,732;202,38;-;-;26,626;84,894;51,38;151,576;11,292;-5,178;1499.76
2017-09-30;27,463;-6,266;21,197;6,126;29,782;22,847;1,504;57,89;27,023;30,214;202,472;-;-;25,777;81,678;49,768;146,873;11,729;-4,445;1499.76
2017-12-31;19,406;-4,519;14,887;1,079;22,546;24,749;1,773;53,468;26,446;30,601;201,765;-;-;22,71;76,683;51,587;144,269;8,843;-5,182;1499.76
2018-03-31;27,15;-6,187;20,963;5,5;20,959;19,582;1,464;73,572;13,833;25,292;196,475;-;-;20,101;72,698;46,648;135,983;8,607;-5,557;1472.86
2018-06-30;27,503;-6,478;21,025;2,906;18,578;19,84;1,124;70,654;13,65;24,125;192,917;-;-;25,569;81,925;45,542;145,75;8,755;-4,35;1472.86
2018-09-30;27,566;-6,059;21,507;4,358;32,706;21,505;995;61,493;13,73;22,419;186,553;-;-;15,53;76,438;43,694;138,027;10,823;-3,769;1472.86
2018-12-31;23,704;-5,215;18,489;-1,088;18,492;21,685;1,703;44,264;14,403;36,371;191,272;-;-;15,74;67,456;55,926;141,826;8,209;-7,335;1472.86
2019-03-31;26,588;-6,19;20,398;4,413;13,867;25,773;1,485;46,858;27,451;11,37;248,899;-;-;24,056;73,032;83,987;210,846;9,466;-6,879;1440.18
2019-06-30;26,917;-6,271;20,646;3,354;42,373;20,426;1,154;66,071;14,137;6,289;234,267;-;-;29,863;81,363;62,769;194,769;6,084;-4,618;1440.18
2019-09-30;28,424;-6,781;21,643;-103;31,915;26,657;1,358;62,275;31,036;11,528;268,94;-;-;34,61;90,345;84,939;232,224;11,677;-6,452;1440.18
2019-12-31;28,597;-7,094;21,503;3,422;13,867;25,773;1,485;46,858;27,451;11,37;248,899;-;-;24,056;73,032;83,987;210,846;6,996;-4,725;1440.18
2020-03-31;29,131;-7,164;21,967;1,137;18,064;27,479;1,554;53,335;31,167;12,396;279,596;-;-;18,627;68,765;107,035;237,948;10,37;-5,494;1407.76
2020-06-30;28,978;-7,023;21,955;3,317;16,699;26,508;1,283;46,766;30,031;11,76;264,39;-;-;22,197;74,062;102,52;236,569;11,218;-5,026;1407.76
2020-09-30;28,408;-6,757;21,651;5,176;17,483;26,181;1,255;46,851;30,165;11,664;260,64;-;-;18,59;67,792;103,188;228,117;10,926;-3,613;1407.76
2020-12-31;23,977;-7,534;16,443;7,279;20,577;26,359;1,313;50,065;28,947;11,222;256,529;-;-;16,594;60,536;98,627;218,205;11,305;-4,867;1407.76
2021-03-31;27,518;-7,31;20,208;3,596;22,785;23,576;1,59;50,058;27,534;10,544;237,849;-;-;15,57;58,039;93,303;203,784;10,834;-5,702;1399.46
2021-06-30;27,158;-6,893;20,265;2,91;19,733;23,576;1,294;49,472;27,946;10,5;235,933;-;-;22,131;70,96;88,889;212,285;9,845;-4,675;1399.46
2021-09-30;27,411;-6,852;20,559;3,018;21,997;23,238;1,127;51,93;27,853;10,313;233,645;-;-;18,145;67,699;88,834;207,466;13,071;-4,134;1399.46
2021-12-31;15,066;-4,535;10,531;-809;15,223;21,739;1,563;43,843;27,448;10,195;225,74;-;-;16,253;62,167;87,811;199,446;8,523;-4,936;1399.46
2022-03-31;27,009;-7,173;19,836;7,596;20,798;21,354;1,562;45,853;26,22;9,859;226,64;-;-;15,669;58,474;85,291;192,735;9,414;-4,491;1399.46
2022-06-30;28,036;-7,345;20,691;605;9,412;22,851;1,672;36,174;27,679;10,309;224,251;-;-;13,057;61,305;90,352;202,474;9,589;-5,665;1399.46
2022-09-30;28,428;-7,267;21,161;2,176;16,224;22,688;1,84;42,981;28,43;10,414;233,58;-;-;17,753;67,056;89,408;208,851;10,854;-4,428;1399.46
2022-12-31;15,48;-4,619;10,861;3,269;9,929;18,842;1,559;32,182;27,334;9,689;239,249;-;-;15,843;53,777;82,724;179,111;9,366;-9,177;1399.46
2023-03-31;19,187;-4,668;14,519;-239;14,35;16,406;1,283;33,168;25,529;9,532;234,052;-;-;14,882;45,579;68,775;148,264;6,102;-4,763;1399.46
2023-06-30;20,224;-4,679;15,545;1,571;12,523;15,58;1,247;30,927;26,053;9,69;233,264;-;-;17,295;52,61;74,936;159,938;5,693;-3,604;1399.46
2023-09-30;20,108;-4,525;15,583;2,912;9,71;14,859;1,064;27,358;25,228;9,194;223,459;-;-;10,019;44,831;72,273;149,208;8,406;-3,191;1399.46
2023-12-31;20,934;-5,185;15,749;-7,479;19,556;15,524;955;39,756;25,232;9,279;218,376;-;-;15,896;45,99;75,686;153,893;8,92;-3,17;1399.46
