date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2001-09-30;31;-2;29;8;36;38;-;79;4;65;167;17;0;-;25;15;51;17;-2;103.32;2001-10-25
2001-12-31;41;-2;39;14;30;58;-;92;4;97;212;44;0;-;56;15;80;-6;0;103.32;2002-02-09
2002-03-31;27;-1;26;9;35;43;-;80;4;96;202;21;0;-;32;13;57;7;-;106;2002-05-10
2002-06-30;4;0;4;1;20;46;-;68;18;100;208;16;0;-;28;13;50;-3;-;106;2002-08-09
2002-09-30;21;0;21;0;16;48;-;67;17;118;218;19;0;-;33;14;54;-2;0;106;2002-10-25
2002-12-31;28;-1;27;4;18;58;-;81;17;118;230;15;7;-;44;14;60;-4;0;106;2003-02-09
2003-03-31;31;0;30;8;18;44;-;68;16;121;218;17;0;-;30;8;43;12;0;105.92;2003-05-10
2003-06-30;28;0;28;6;19;42;-;66;15;126;220;17;0;-;24;9;40;1;0;105.92;2003-08-09
2003-09-30;32;-1;31;5;20;47;-;72;15;128;226;19;0;-;28;6;41;3;0;105.92;2003-10-25
2003-12-31;46;-1;45;10;18;66;-;88;16;133;250;29;1;-;39;6;54;2;0;105.92;2004-02-09
2004-03-31;29;0;28;5;28;41;-;73;16;148;248;24;0;-;33;4;45;12;0;107.48;2004-05-10
2004-06-30;41;-2;39;8;47;58;-;112;15;157;295;22;0;-;27;44;84;-19;0;107.48;2004-08-09
2004-09-30;43;0;43;9;46;65;-;117;21;161;314;23;0;-;33;44;94;10;-1;107.48;2004-10-25
2004-12-31;58;-1;57;16;62;87;-;154;20;149;345;23;0;-;45;50;106;102;-89;107.48;2005-02-09
2005-03-31;39;0;39;9;97;58;-;159;20;152;351;19;0;-;30;47;92;45;-20;104.54;2005-05-10
2005-06-30;55;0;55;15;110;76;-;189;20;151;379;28;0;-;43;46;107;28;-13;104.54;2005-08-09
2005-09-30;71;0;71;21;122;92;-;219;20;156;418;28;0;-;46;46;118;39;-34;104.54;2005-10-25
2005-12-31;75;0;75;20;134;126;-;264;20;161;465;33;-;-;74;44;144;39;-30;104.54;2006-02-09
2006-03-31;90;-2;88;33;216;73;-;294;27;166;509;32;-;-;74;46;148;115;-30;106.40;2006-05-10
2006-06-30;83;0;82;30;193;110;-;318;27;173;541;39;-;-;64;48;148;13;-35;106.40;2006-08-09
2006-09-30;100;-1;99;38;219;110;-;341;27;188;577;38;-;-;64;46;152;77;-48;106.40;2006-10-25
2006-12-31;124;-4;120;50;48;150;-;429;28;199;681;51;-;-;119;48;204;81;-30;106.40;2007-02-09
2007-03-31;95;-1;95;34;330;105;-;440;28;208;710;42;-;-;107;49;195;98;-44;106.09;2007-05-10
2007-06-30;89;-7;82;25;37;121;-;380;48;259;729;47;-;-;106;51;200;38;-34;106.09;2007-08-09
2007-09-30;100;-11;90;27;59;128;-;398;51;264;756;57;-;-;127;55;234;79;-46;106.09;2007-10-25
2007-12-31;168;-12;157;49;82;213;-;500;46;265;853;84;-;-;191;56;285;55;-27;106.09;2008-02-09
