date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2011-12-31;935;-25;960;130;178;-;627;1,817;-;1,294;3,999;205;-;226;1,195;515;1,858;132;-83;147.91
2012-03-31;836;-433;403;80;216;-;645;1,807;-;1,408;3,953;-;-;227;1,187;513;1,815;25;-40;147.91
2012-06-30;948;-487;461;113;92;-;669;1,836;-;1,405;4,028;-;-;-;1,084;727;1,929;-113;-52;147.91
2012-09-30;1,102;-598;504;114;96;-;826;2,195;-;2,328;5,346;-;-;-;1,43;1,641;3,229;181;-46;147.91
2012-12-31;1,188;-46;1,142;170;177;-;789;2,044;-;2,168;5,159;-;-;6;1,102;1,546;2,876;235;-83;147.91
2013-03-31;966;-539;427;58;153;-;885;2,184;-;2,334;5,312;-;-;18;1,161;1,543;2,899;11;-40;147.91
2013-06-30;1,177;-682;495;102;135;-;917;2,312;-;2,396;5,572;-;-;-;1,22;1,735;3,165;120;-62;147.91
2013-09-30;1,231;-708;523;133;147;-;903;2,421;-;2,45;5,724;-;-;500;1,799;1,154;3,15;202;-58;147.91
2013-12-31;1,047;-30;1,077;127;164;-;874;2,262;-;2,353;5,623;322;-;552;1,628;1,004;2,882;234;-114;147.91
2014-03-31;1,022;-577;445;53;79;-;936;2,293;-;2,485;5,661;-;-;505;1,741;989;2,929;12;-62;147.91
2014-06-30;1,139;-651;488;93;197;-;956;2,511;-;2,528;5,944;-;-;-;1,312;1,74;3,262;136;-68;147.91
2014-09-30;1,188;-681;507;127;172;-;923;2,583;-;2,479;5,963;-;-;-;1,403;1,565;3,173;236;-68;147.91
2014-12-31;1,262;-61;1,201;181;436;-;913;3,012;-;2,467;6,625;440;-;90;1,449;1,558;3,381;312;-116;147.91
2015-03-31;1,107;-634;473;50;293;-;1,05;2,811;-;2,583;6,412;-;-;314;1,78;1,045;3,095;50;-64;147.82
2015-06-30;1,472;-850;622;152;339;-;1,113;3,188;-;2,61;6,782;-;-;536;2,26;1,029;3,566;137;-64;147.82
2015-09-30;1,748;-1,031;717;202;396;-;1,158;3,471;-;2,816;7,318;-;-;286;2,23;1,154;3,67;384;-53;147.82
2015-12-31;1,816;-234;1,582;250;313;-;1,209;3,273;-;2,671;7,317;-;-;-;1,731;1,206;3,372;343;-221;147.82
2016-03-31;1,36;-785;574;89;345;-;1,278;3,193;-;2,858;7,152;-;-;-;1,763;1,14;3,237;118;-71;147.78
2016-06-30;1,77;-1,012;758;222;393;-;1,275;3,434;-;2,81;7,355;-;-;-;1,824;1,252;3,509;239;-69;147.78
2016-09-30;1,715;-976;739;246;334;-;1,235;3,384;-;2,745;7,206;-;-;-;2,013;980;3,281;348;-86;147.78
2016-12-31;1,766;-56;1,71;195;399;-;1,127;3,222;-;2,532;7,115;-;-;-;1,731;760;2,923;390;-138;147.78
2017-03-31;1,564;-931;633;90;526;-;1,21;3,545;-;3,177;7,927;-;-;-;2,148;1,174;3,626;122;-78;147.65
2017-06-30;1,972;-1,138;834;206;499;-;1,22;3,695;-;3,364;8,26;-;-;-;2,104;1,48;3,985;170;-68;147.65
2017-09-30;1,855;-1,057;799;200;474;-;1,204;3,745;-;3,314;8,214;-;-;-;2,216;1,214;3,889;375;-99;147.65
2017-12-31;2,041;-118;1,924;161;594;-;1,197;3,678;-;3,412;8,437;-;-;-;2,045;1,28;3,843;356;-311;147.65
2018-03-31;1,754;-1,033;722;81;597;-;1,276;3,79;-;3,673;8,808;-;-;-;2,344;1,668;4,315;120;-139;147.66
2018-06-30;2,128;-1,211;916;191;339;-;1,29;3,769;-;3,662;8,849;-;-;571;2,819;1,275;4,486;127;-168;147.66
2018-09-30;2,247;-1,252;995;270;286;-;1,401;4,008;-;3,653;9,117;-;-;568;3,167;919;4,541;432;-172;147.66
2018-12-31;2,467;-118;2,349;237;397;408;1,448;4,158;-;3,524;9,595;-;-;651;3,066;874;4,518;346;-260;147.66
2019-03-31;2,081;-1,207;874;112;476;-;1,563;4,306;-;3,45;10,695;624;-;558;3,248;985;5,636;229;-137;147.76
2019-06-30;2,319;-1,277;1,041;217;316;-;1,619;4,358;-;3,425;10,76;541;-;1,19;3,619;1,018;6,179;45;-113;147.76
2019-09-30;2,378;-1,316;1,062;256;368;-;1,663;4,708;-;3,472;11,284;525;-;1,1;3,807;908;6,311;438;-127;147.76
2019-12-31;2,569;-175;2,744;273;460;-;1,596;4,344;-;3,481;10,867;-;-;292;2,444;2,69;5,791;600;-197;147.76
2020-03-31;2,302;-1,329;973;-25;444;-;1,943;4,923;-;3,882;12,25;649;-;155;3,184;1,784;6,532;265;-107;147.58
2020-06-30;2,319;-1,324;995;194;459;-;1,941;5,08;-;3,739;12,036;554;-;618;3,431;1,43;6,342;123;-100;147.58
2020-09-30;2,578;-1,401;1,177;302;638;-;1,819;5,324;-;3,756;12,264;568;-;476;3,314;1,434;6,292;432;-129;147.58
2020-12-31;2,742;-225;2,966;328;532;-;1,492;4,408;-;3,586;10,977;553;-;261;2,623;1,414;5,548;890;-196;147.58
2021-03-31;2,291;-1,317;973;121;454;-;1,571;4,444;-;3,476;10,806;572;-;-;2,809;1,3;5,405;269;-115;147.68
2021-06-30;2,686;-1,475;1,211;297;514;-;1,673;4,852;-;3,541;11,281;565;-;-;2,94;1,654;5,971;286;-105;147.68
2021-09-30;2,883;-1,607;1,276;349;477;-;1,795;5,066;-;3,533;11,414;619;-;-;3,132;1,154;5,735;596;-97;147.68
2021-12-31;3,05;-55;3,105;366;632;-;1,883;5,255;-;3,548;11,589;644;-;400;3,485;604;5,596;627;-98;147.68
2022-03-31;2,501;-1,504;996;146;620;-;1,921;5,422;-;3,496;11,821;580;-;410;3,702;769;5,747;166;-233;295.24
2022-06-30;3,054;-1,776;1,279;252;775;-;2,203;6,392;-;3,686;13,242;667;-;456;4,181;1,656;7,334;310;-140;295.24
