date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2010-12-31;4055;-3854;201;70;152;2,471;2,224;4,847;558;38;8,071;-;-;2;1,923;563;6036;508;-145;133.7;2011-02-09
2011-03-31;3441;-3454;-13;-70;174;2,569;2,338;5,081;589;77;8,373;-;-;2;2,086;915;6,449;-204;-81;133.7;2011-05-10
2011-06-30;4315;-4159;156;274;176;3,194;3,587;6,957;543;37;9,993;-;-;1;2,508;1,32;8,16;-556;-184;133.7;2011-08-14
2011-09-30;4539;-4256;283;199;200;3,766;3,63;7,596;545;37;10,635;-;-;1;2,7;1,523;8,653;-546;-268;133.7;2011-11-09
2011-12-31;5432;-5128;304;257;276;2,641;3,526;6,857;546;34;9,925;-;-;2;3,241;803;7630;344;-313;133.7;2012-02-09
2012-03-31;4036;-4090;-54;-74;177;2,707;3,751;6,635;543;34;9,853;-;-;102;2,547;1,275;7,706;-269;-31;133.7;2012-05-10
2012-06-30;4971;-4774;197;102;261;3,436;4,115;7,812;589;59;11,169;-;-;1;2,685;2,167;9,72;-320;-154;133.7;2012-08-14
2012-09-30;5259;-4961;298;179;178;4,649;4,122;8,949;617;58;12,381;-;-;14;3,104;2,488;10,774;-606;-265;133.7;2012-11-09
2012-12-31;5574;-5209;365;249;206;2,914;3,954;7,55;631;46;11,185;-;-;218;3,837;1,856;9,067;-393;-340;133.7;2013-02-09
2013-03-31;4234;-4247;-13;-59;139;3,413;3,823;7,375;641;46;11,01;-;-;617;7,252;1,198;8,922;206;-35;133.7;2013-05-10
2013-06-30;5453;-5305;148;73;118;4,247;3,858;8,223;646;45;11,919;-;-;716;8,061;1,505;10,087;216;-110;133.7;2013-08-14
2013-09-30;5511;-5112;399;268;120;4,631;4,016;8,767;656;56;12,578;-;-;713;8,209;1,673;10,433;-115;-17;133.7;2013-11-09
2013-12-31;6582;-6168;414;273;764;3,174;3,456;7,676;775;104;11,666;-;-;672;7,802;803;9,262;1648;-137;133.7;2014-02-09
2014-03-31;5306;-5218;88;31;219;3,355;3,182;7,405;762;101;11,416;-;-;472;7,252;1,094;9,007;234;-72;133.7;2014-05-10
2014-06-30;6218;-5957;261;199;213;3,937;2,863;7,663;784;97;11,94;-;-;468;7,511;1,513;9,787;399;-229;133.7;2014-08-14
2014-09-30;5784;-5394;390;295;728;4,126;2,952;8,455;768;92;12,759;-;-;465;7,775;1,826;10,341;674;-307;133.7;2014-11-09
2014-12-31;6718;-6290;428;334;435;4,068;3,052;7,966;804;110;12,382;-;-;55;7,967;823;9,709;1746;-404;133.7;2015-02-09
2015-03-31;4967;-4951;16;-10;312;4,068;3,204;8,001;792;121;12,451;-;-;441;8,098;822;9,828;-351;-86;133.7;2015-05-10
2015-06-30;6339;-5992;347;230;317;5,193;2,998;8,928;799;110;13,349;-;-;1,194;9,248;826;10,952;-494;-160;133.7;2015-08-14
2015-09-30;5548;-5177;371;242;322;5,782;3,696;10,207;913;110;14,946;-;-;1,14;10,552;830;12,244;-274;-236;133.7;2015-11-09
2015-12-31;7370;-6920;450;321;402;5,171;3,665;9,238;1,151;104;14,788;-;-;43;9,26;1,267;11,715;771;-463;133.7;2016-02-09
