date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2012-03-31;159;-18;141;89;236;-;-;417;-;6;3,148;-;-;-;209;1,367;1,864;-114;298;222.0;2012-05-05
2012-06-30;160;-20;140;70;256;-;-;407;-;6;3,217;-;-;-;205;1,399;1,888;110;-73;222.0;2012-08-14
2012-09-30;168;-20;148;214;483;-;-;648;-;6;3,507;-;-;-;221;1,446;1,964;83;-49;222.0;2012-11-04
2012-12-31;138;-20;118;38;344;-;-;511;-;6;3,407;-;-;-;161;1,417;1,863;27;1;222.0;2013-02-14
2013-03-31;125;-22;103;55;320;-;-;503;-;6;3,393;-;-;-;146;1,377;1,797;-245;213;222.0;2013-05-05
2013-06-30;137;-20;117;91;181;-;-;447;-;6;3,362;-;-;-;137;1,446;1,824;79;-20;222.0;2013-08-14
2013-09-30;130;-20;110;60;197;-;-;472;-;6;3,408;-;-;-;137;1,438;1,808;35;-;222.0;2013-11-04
2013-12-31;115;-19;96;66;157;-;-;436;-;6;3,388;-;-;-;229;1,32;1,756;56;-19;222.0;2014-02-14
2014-03-31;106;-20;86;31;162;-;-;478;-;6;3,419;-;-;-;230;1,308;1,75;-157;39;222.0;2014-05-05
2014-06-30;110;-16;94;25;189;-;-;484;-;6;3,451;-;-;-;259;1,308;1,793;69;-13;222.0;2014-08-14
2014-09-30;117;-17;100;54;219;-;-;520;-;6;3,507;-;-;-;262;1,309;1,798;29;-9;222.0;2014-11-04
2014-12-31;104;-17;87;56;140;-;-;398;-;6;3,353;-;-;-;145;1,236;1,646;79;-5;222.0;2015-02-14
2015-03-31;110;-17;93;56;176;-;-;469;-;6;3,464;-;-;-;176;1,231;1,703;-175;-33;222.0;2015-05-05
2015-06-30;119;-16;103;70;160;-;-;439;-;6;3,519;-;-;-;187;1,277;1,713;73;-73;222.0;2015-08-14
2015-09-30;-95;-17;-112;-213;132;-;-;402;-;6;3,302;-;-;-;201;1,239;1,714;35;-10;222.0;2015-11-04
2015-12-31;106;-14;92;82;108;-;-;373;-;6;3,299;-;-;-;285;1,135;1,644;46;-3;222.0;2016-02-14
2016-03-31;171;-15;156;104;87;-;-;403;-;6;3,38;-;-;-;270;1,125;1,618;39;-13;222.0;2016-05-05
2016-06-30;81;-15;66;392;150;-;-;427;-;6;3,186;-;-;-;300;1,245;1,756;116;-129;222.0;2016-08-14
