date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares;real_date
2002-03-31;135;-67;68;9;132;-;-;325;34;-;1,259;-;-;-;131;615;783;1;-;47.65;2002-05-05
2002-06-30;149;-74;75;14;161;-;-;365;33;-;1,275;-;-;-;146;595;786;47;-;47.65;2002-08-14
2002-09-30;147;-77;70;10;181;-;-;394;32;-;1,318;-;-;-;174;598;816;47;-;47.65;2002-11-04
2002-12-31;149;-84;65;21;209;-;-;468;27;-;1,489;-;-;-;222;712;985;10;-;47.65;2003-02-14
2003-03-31;144;-76;68;6;155;-;-;390;25;-;1,406;-;-;-;211;638;897;39;-;47.82;2003-05-05
2003-06-30;164;-84;80;26;197;-;-;435;23;-;1,446;-;-;-;199;658;910;51;-;47.82;2003-08-14
2003-09-30;160;-84;76;12;168;-;-;422;23;-;1,411;-;-;-;207;598;861;30;-;47.82;2003-11-04
2003-12-31;173;-91;82;22;190;-;-;443;23;-;1,44;-;-;-;212;597;864;53;-;47.82;2004-02-14
2004-03-31;50;-11;39;25;97;-;-;269;21;-;1,336;-;-;-;166;452;716;22;-;47.93;2004-05-05
2004-06-30;59;-10;49;46;91;-;-;269;23;-;1,36;-;-;-;178;439;712;34;-;47.93;2004-08-14
2004-09-30;169;-11;158;52;121;-;-;320;23;-;1,435;-;-;-;228;425;757;56;-;47.93;2004-11-04
2004-12-31;98;-11;87;48;143;-;-;358;25;-;1,598;-;-;-;225;544;864;32;-;47.93;2005-02-14
2005-03-31;92;-9;83;69;172;-;-;433;25;-;1,743;-;-;-;276;571;951;44;-;48.0;2005-05-05
2005-06-30;106;-13;93;59;265;-;-;502;27;-;1,828;-;-;-;304;606;1,015;92;-;48.0;2005-08-14
2005-09-30;187;-61;126;46;227;-;72;659;155;-;2,223;-;-;-;419;822;1,367;-28;-;48.0;2005-11-04
2005-12-31;192;-64;128;17;185;-;73;619;155;-;2,262;-;-;-;508;758;1,436;51;-;48.0;2006-02-14
2006-03-31;195;-65;130;76;156;-;72;580;156;-;2,294;-;-;-;325;874;1,362;-19;-;47.94;2006-05-05
2006-06-30;210;-76;134;35;175;-;78;637;162;-;2,465;-;-;-;386;971;1,522;113;-;47.94;2006-08-14
2006-09-30;206;-72;134;-2;209;-;76;665;158;-;2,532;-;-;-;362;1,07;1,603;-12;-;47.94;2006-11-04
2006-12-31;220;-78;142;120;203;-;91;857;171;-;2,734;-;-;-;423;1,075;1,705;98;-;47.94;2007-02-14
2007-03-31;232;-88;144;37;292;-;99;805;176;-;2,696;-;-;-;383;1,033;1,628;58;-;47.15;2007-05-05
2007-06-30;241;-92;149;62;211;-;300;785;181;-;2,76;-;-;-;534;928;1,682;27;-;47.15;2007-08-14
2007-09-30;247;-93;154;76;294;-;109;945;196;-;2,941;-;-;-;573;965;1,786;13;-;47.15;2007-11-04
2007-12-31;263;-105;158;-167;230;-;112;866;197;-;2,837;-;-;-;537;941;1,895;48;-;47.15;2008-02-14
2008-03-31;319;-147;172;-;260;-;114;940;310;-;3,15;-;-;254;616;1,072;2,189;11;-;46.50;2008-05-05
