date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets;total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2006-03-31;333;-;333;-;-;-314;-1;19;-4;23;52;75;136;244;0;429;-;132;941;-;123;-;898;1,135;2,156;3,097;165;269;-;167;154;754;881;-;2063;56;512;394;-;0;963;72;1,034;-;-;-;-;-;-;-;-;25;25;-;36;36;-51;-;-;-;-51;-;10;203
2006-06-30;422;-;422;-;-;-384;7;46;-6;40;89;129;889;652;10;1,268;-;165;2,985;-;122;-;1,367;2,547;4,036;7,021;496;1,169;-;250;62;1,977;1,265;-;4029;88;2,115;645;-;0;2,849;143;2,992;-;-;-;-;-;-;-;-;1;1;-;-875;-875;1,627;-;-;-;1,627;-;753;203
2006-09-30;1,09;-;1,09;-;-;-1,034;-33;23;-3;20;-39;-19;716;563;10;688;-;160;2,137;-;164;-;1,388;2,492;4,045;6,181;243;308;-;515;223;1,289;1,203;-;3261;79;2,056;678;-;0;2,813;107;2,92;-;-;-;-;-;-;-;-;551;551;-;-124;-124;-600;-;-;-;-600;-;-173;203
2006-12-31;887;-;887;-;-;-776;-5;106;-31;76;4;80;1,411;429;10;659;-;188;2,699;-;171;-;1,385;2,591;4,147;6,846;367;381;-;234;205;1,187;1,354;-;3209;89;2,799;666;-;-;3,554;83;3,637;-;-;-;-;20;99;-;-;358;358;-;-34;-34;379;-;-;-;379;-9;695;203
2007-03-31;848;-;848;-;-;-765;7;90;-39;51;312;363;1,422;484;13;977;-;257;3,152;-;1,827;-;1,385;2,504;5,716;8,868;450;379;-;682;183;1,693;2,369;-;4615;92;3,081;994;-;-;4,167;85;4,252;-;-;-;-;-;-;-;-;-404;-404;-;-1,098;-1,098;1,512;-;-;-;1,512;-;10;203
2007-06-30;886;-;886;-;-;-669;-72;145;-56;90;-4;85;1,446;684;17;1,083;-;184;3,415;-;1,759;-;1,361;2,519;5,639;9,054;441;616;-;562;233;1,85;2,363;-;4739;92;3,081;1,058;-;-;4,231;83;4,314;-;-;-;-;-;-;-;-;89;89;-;-104;-104;39;-;-;-;39;-;24;203
2007-09-30;1,015;-799;215;-66;-;-141;-21;-13;-12;-1;-1;-2;1,417;505;-;574;-;196;2,691;-;2,033;-;1,318;2,418;5,769;8,46;272;230;-;569;280;1,351;2,426;-;4281;92;3,081;908;-;0;4,082;97;4,179;-;-;-;-;-;-;-;-;558;558;-;-324;-324;-263;-;-;-;-263;-;-30;203
2007-12-31;720;-;720;-;-;-751;24;-7;-51;44;9;53;1,041;390;-;528;-;202;2,161;-;2,385;-;1,612;2,655;6,652;8,813;268;285;-;937;161;1,651;2,381;-;4584;92;3,084;965;-;0;4,141;87;4,229;-;-;-;-;-;-;-;-;33;33;-;-669;-669;264;-;-;-;264;-4;-376;203
2008-03-31;742;-452;290;-97;-;-177;-21;-5;-7;-12;0;-12;865;492;-;689;-;222;2,268;-;2,416;-;1,583;2,639;6,638;8,906;387;374;-;647;177;1,584;2,599;-;4714;92;3,084;928;-;0;4,104;88;4,191;-;-;-;-;-;-;-;-;-63;-63;-;-129;-129;15;-;-;-;15;-;-176;203
2008-06-30;860;-413;448;-95;-;-176;-135;42;-17;25;-1;24;567;491;-;836;-;158;2,052;-;2,37;-;1,573;2,556;6,499;8,551;253;441;-;424;192;1,311;2,582;-;4399;92;3,084;863;-;0;4,039;112;4,151;-;-;-;-;-;-;-;-;-63;-63;-;-58;-58;-177;-;-;-;-177;-;-298;203
2008-09-30;934;-571;362;-82;-;-143;-53;84;-36;47;-6;41;543;604;-;649;-;176;1,972;-;2,398;-;1,714;2,788;6,901;8,872;277;327;-;265;216;1,085;2,782;-;4429;92;3,084;1,13;-;0;4,306;137;4,443;-;-;-;-;-;-;-;-;336;336;-;-32;-32;-328;-;-;-;-328;-;-24;203
2008-12-31;1,552;-856;696;-199;-;-231;-103;164;-61;103;-33;70;644;1,406;-;2,555;-;446;5,05;-;581;-;5,843;4,51;10,934;15,985;722;907;-;545;620;2,793;5,433;-;10364;92;3,084;1,452;-;0;4,628;992;5,62;-;-;-;-;-;-;-;-;203;203;-;-1,229;-1,229;1,105;-;-;-;1,105;22;101;203
2009-03-31;2,483;-1,596;887;-288;-;-404;-64;130;-23;108;-23;85;669;1,277;-;2,564;-;349;4,859;-;557;-;5,869;4,261;10,687;15,546;725;1,087;-;620;539;2,972;4,867;-;9988;92;3,084;1,375;-;0;4,551;1,007;5,558;-;-;-;-;-;-;-;-;397;397;-;-46;-46;-326;-;-;-;-326;-;26;203
2009-06-30;2,901;-1,747;1,154;-275;-;-261;-27;592;-155;438;-99;338;727;1,355;-;2,821;-;375;5,279;-;548;-;5,693;4,313;10,553;15,832;748;1,178;-;620;486;3,032;4,61;-;9567;92;3,084;1,512;-;0;4,688;1,576;6,264;-;-;-;-;-;-;-;-;306;306;-;275;275;-523;-;-;-;-523;-;58;203
2009-09-30;2,74;-1,802;938;-287;-;-449;-48;154;-47;107;-35;72;1,474;1,146;-;2,652;-;333;5,605;-;511;-;5,617;4,127;10,255;15,86;810;774;-;632;473;2,689;4,409;-;9057;101;3,714;1,46;-;0;5,275;1,529;6,803;-;-;-;-;-;-;-;-;622;622;-;-30;-30;154;-;-;-;154;-;746;203
2009-12-31;3,201;-2,058;1,143;-425;-;-230;-34;454;-119;335;-107;229;1,624;1,476;-;2,697;-;354;6,151;-;533;-;5,599;4,008;10,14;16,291;881;697;-;617;677;2,873;4,509;-;9195;101;3,714;1,701;-;0;5,516;1,58;7,095;-;-;-;-;-;-;-;-;353;353;-;25;25;-213;-;-;-;-213;-16;150;203
2010-03-31;2,746;-1,745;1;-294;-;-127;9;588;-142;446;-151;294;1,745;1,275;-;3,114;-;398;6,532;-;582;-;5,646;4,031;10,259;16,79;921;680;-;542;647;2,79;4,449;-;9171;101;3,714;2,058;-;0;5,873;1,746;7,619;122;-;-;-329;55;58;-;-;37;418;-70;15;-55;-58;-;-;-186;-243;1;121;203
2010-06-30;3,166;-1,967;1,199;-284;-;-454;-35;427;-122;304;-88;217;1,527;1,573;-;3,078;-;393;6,571;-;569;-;5,751;4,137;10,457;17,028;808;985;-;856;674;3,323;4,024;-;9325;101;3,714;2,222;-;0;6,037;1,665;7,702;121;-;-;220;126;-;-;-;-607;160;-74;8;-65;-57;-392;-;118;-331;19;-218;203
2010-09-30;3,329;-2,072;1,258;-321;-;-394;-9;533;-150;383;-107;276;1,327;1,329;-;2,89;-;360;5,907;-;895;-;5,624;3,938;10,457;16,364;916;248;-;859;678;2,701;3,896;-;8564;101;3,714;2,239;-;0;6,054;1,745;7,799;123;-;-;-184;39;-;-;-;575;1,047;-143;-258;-402;-47;-1;-;-777;-826;-20;-200;203
2010-12-31;3,504;-2,035;1,469;-354;-;-415;-22;678;-45;633;-198;435;2,811;1,341;-;3,465;-;467;8,084;-;993;-;6,025;3,941;10,959;19,042;841;383;-;771;1,034;3,03;4,895;-;9931;101;3,714;2,682;-;0;6,497;2,614;9,111;132;-;-;-139;5;-;-;-;-186;485;-168;170;2;-1;3;-;997;1;-3;1,484;203
2011-03-31;2,952;-1,693;1,259;-350;-;-374;-15;521;-139;383;-154;229;2,493;1,308;-;3,762;-;514;8,078;-;1,031;-;5,97;3,852;10,854;18,931;889;585;-;1,006;1,076;3,556;3,995;-;9569;101;3,714;2,777;-;-;6,592;2,77;9,362;125;-;-;-87;72;-;-;-;-289;271;-145;-4;-149;-36;-;-;-393;-429;-11;-317;203
2011-06-30;3,648;-2,176;1,472;-363;-;-978;-41;89;-43;46;28;74;2,147;1,667;-;3,251;-;475;7,539;-;977;-;5,966;3,9;10,842;18,382;869;869;-;912;809;3,459;4,249;-;9571;101;3,714;2,495;-;0;6,31;2,5;8,81;126;-;-;636;361;-;-;-;-846;5;-205;-51;-256;-59;-526;-;486;-99;4;-346;203
2011-09-30;2,951;-1,9;1,051;-356;-;-569;-79;48;-25;23;-4;19;2,329;1,24;-;3,045;-;481;7,095;-;1,075;-;6,034;3,875;10,983;18,078;830;232;-;885;906;2,854;4,314;-;9028;101;3,714;2,742;-;-;6,557;2,492;9,049;125;-;-;213;-13;-;-;-;268;654;-174;101;-74;-45;-9;-;-351;-406;7;182;203
2011-12-31;2,61;-1,671;939;-388;-;-426;-11;114;-39;75;-27;48;2,383;1,189;-;3,285;-;402;7,259;-;1,207;-;6,083;4,026;11,315;18,574;843;525;-;902;952;3,221;4,286;-;9374;101;3,714;2,871;-;0;6,686;2,514;9,2;131;-;-;-5;70;-;-;-;-140;101;-212;-83;-295;-48;-11;-;305;245;3;54;203
2012-03-31;2,989;-1,869;1,12;-380;-;-381;-43;316;-87;228;-53;175;2,666;1,417;-;3,224;-;455;7,761;-;1,217;-;6,146;4,038;11,401;19,162;912;640;-;626;840;3,019;4,791;-;9749;101;3,714;2,927;-;0;6,742;2,672;9,413;132;-;-;-12;175;-;-;-;-111;325;-155;-153;-307;-81;-;-;354;273;-7;283;203
2012-06-30;2,593;-1,774;819;-300;-;-470;-31;18;-12;7;-6;1;2,006;1,307;-;3,159;-;454;6,926;-;1,194;-;6,203;4,199;11,597;18,522;873;633;-;648;592;2,745;4,674;-;9344;101;3,714;2,828;-;0;6,643;2,536;9,178;139;-;-;125;305;-;-;-;-201;97;-244;73;-171;-56;-358;-;-178;-592;6;-660;203
2012-09-30;2,857;-1,948;909;-359;-;-449;-23;79;-36;42;1;44;2,081;1,215;-;2,994;-;1,541;7,831;-;647;-;5,989;3,791;10,428;18,259;895;711;-;598;576;2,779;4,46;-;9136;101;3,714;2,779;-;-;6,594;2,529;9,123;110;-;-;108;-23;195;-;-;-33;248;-127;60;-68;-58;-1;-;13;-47;-2;132;203
2012-12-31;2,566;-1,883;683;-345;-;84;-19;403;-98;305;-99;206;2,169;1,154;-;3,493;-;1,618;8,433;-;416;1,567;5,215;4,388;11,586;20,019;921;-;-;1,541;592;3,055;4,62;-;9249;101;3,714;3,295;-35;0;7,074;3,046;10,12;127;-;-;-328;22;74;-;-;25;227;-193;59;-134;-75;-5;-;75;-5;-8;81;203
2013-03-31;2,755;-1,652;1,103;-328;-;-206;-26;543;-132;412;-153;258;2,204;1,171;-;3,456;-;1,735;8,565;-;669;-;5,97;3,959;10,598;19,164;873;402;-;950;674;2,9;4,316;-;10878;101;3,714;3,113;-;0;6,928;2,989;9,917;127;-;-;-192;67;64;-;-;14;491;-168;-32;-200;-64;-4;-;-190;-258;8;42;203
2013-06-30;2,749;-1,628;1,121;-293;-;-321;-53;454;-122;332;-220;112;1,753;1,233;-;3,712;-;1,738;8,436;-;881;-;5,974;4,034;10,888;19,324;927;625;-;940;709;3,201;4,28;-;11111;101;3,714;3,151;-;0;6,966;2,854;9,819;128;-;-;-76;50;64;-;-;-285;222;-199;-186;-385;-64;-401;-;158;-308;2;-469;203
2013-09-30;3,283;-1,992;1,291;-381;-;-756;-21;133;-47;86;-283;-197;1,867;1,297;-;3,515;-;2,291;8,97;-;936;-;5,97;4,132;11,038;20,007;1,075;477;-;957;925;3,434;4,962;-;10309;101;3,714;2,951;-;0;6,766;2,932;9,698;134;-;-;338;33;69;-;-;-21;584;-283;-673;-956;-69;-4;-;562;489;14;132;203
2013-12-31;3,756;-2,207;1,549;-477;-;238;24;1,335;-322;1,013;-487;526;1,443;1,745;-;4,707;-;2,417;10,313;-;809;-;6,853;4,71;12,372;22,684;1,191;660;-;638;1,026;3,515;5,259;-;10524;101;3,714;3,877;-35;0;7,657;3,808;11,464;190;-;-;-792;39;63;-;-;-537;196;-292;-13;-305;-67;-18;-;-236;-320;-1;-430;203
2014-03-31;3,642;-2,102;1,54;-371;-;-1,069;27;127;-9;118;-22;96;1,993;1,515;-;4,093;-;495;8,096;-;1,627;-;7,03;4,384;13,041;21,138;1,009;313;-;738;993;3,053;4,323;-;9687;101;3,714;3,89;-35;0;7,669;3,781;11,45;151;-;-;494;81;49;-;-;75;848;-169;1,11;941;-49;-30;-;-1,157;-1,236;-4;550;203
2014-06-30;3,606;-2,128;1,479;-353;-;-768;-37;320;-87;233;-100;133;1,618;1,563;-;3,932;-;514;7,626;-;1,634;-;7,049;4,498;13,18;20,806;985;508;-;711;831;3,035;4,267;-;9579;101;3,714;3,799;-35;0;7,578;3,649;11,227;151;-;-;258;296;53;-;-;-384;345;-231;39;-192;-53;-564;-;82;-535;7;-375;203
2014-09-30;3,391;-2,135;1,257;-425;-;-804;-14;14;-19;34;15;48;1,992;1,462;-;4,027;-;600;8,082;-;1,408;-;7,287;4,685;13,379;21,461;1,095;476;-;631;850;3,052;4,855;-;10155;101;3,714;3,899;-35;0;7,679;3,626;11,305;159;-;-;244;18;56;-;-;-327;90;-243;147;-96;-57;0;-;436;379;1;375;203
2014-12-31;3,691;-2,118;1,573;-494;-;-148;-96;835;-251;584;-311;273;2,198;1,638;-;4,722;-;692;9,25;-;1,597;1,98;5,589;5,186;14,352;23,602;1,173;622;-;741;1,06;3,596;4,811;-;11241;101;3,714;4,541;-35;-;8,321;4,039;12,36;170;-;-;-607;44;81;-;-;64;512;-352;73;-279;-81;0;-;21;-60;33;206;203
