date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets;total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2004-03-31;4,498;-3,838;660;-170;-38;23;-127;348;-41;307;-;307;1,107;-;-;2,376;-;2,648;6,131;-;176;-;2,996;12,122;15,294;21,425;-;-;-;1,041;2,706;3,747;8,64;1,422;13,809;-;-;-;-;7,616;7,616;-;7,616;-;-;-;-;-;-;-;-;476;476;-349;-133;-482;-271;-;-;-;-271;6;-271;245
2004-06-30;4,547;-3,927;620;-185;-47;42;-80;350;-27;323;-;323;1,161;-;-;2,21;-;1,27;4,641;-;179;-;2,968;12,16;15,307;19,948;-;-;-;102;2,234;2,336;8,361;1,393;12,09;-;-;-;-;7,858;7,858;-;7,858;-;-;-;-;-;-;-;-;434;434;-402;9;-393;16;-;-;-;16;-3;54;245
2004-09-30;4,265;-3,639;626;-202;-36;17;-90;315;-17;298;-;298;1,117;-;-;2,694;-;1,317;5,128;-;186;-;2,928;12,052;15,166;20,294;-;-;-;91;2,416;2,507;8,276;1,458;12,241;-;-;-;-;8,053;8,053;-;8,053;-;-;-;-;-;-;-;-;347;347;-358;-1;-359;-30;-;-;-;-30;-2;-44;245
2004-12-31;4,618;-3,994;624;-172;-48;32;-84;352;-60;292;-;292;874;-;-;2,679;-;1,396;4,949;-;250;-;2,915;12,062;15,227;20,176;-;-;-;514;2,39;2,904;6,623;1,531;11,058;-;-;-;-;9,118;9,118;-;9,118;-;-;-;-;51;411;-;-;295;295;-425;151;-274;-264;-;-;-;-264;-;-243;245
2005-03-31;4,458;-3,869;589;-185;-39;32;-44;353;-97;256;-;256;733;-;-;3,146;-;1,453;5,332;-;137;-;3,013;12,138;15,288;20,62;-;-;-;509;2,977;3,486;6,412;1,543;11,441;-;-;-;-;9,179;9,179;-;9,179;-;-;-;-;-;-;-;-;249;249;-223;147;-76;-314;-;-;-;-314;-1;-142;289
2005-06-30;4,686;-4,098;588;-194;-61;21;-86;268;-102;166;-;166;1,031;-;-;3,206;-;1,131;5,368;-;123;-;3,216;12,462;15,801;21,169;-;-;-;1,573;3,283;4,856;5,468;1,57;11,894;-;-;-;-;9,275;9,275;-;9,275;-;-;-;-;-;-;-;-;712;712;-326;65;-261;-152;-;-;-;-152;1;300;289
2005-09-30;4,924;-4,062;862;-160;-43;27;-76;610;-175;435;-;435;1,075;-;-;3,097;-;1,396;5,568;-;124;-;3,19;12,405;15,719;21,287;-;-;-;1,627;3,539;5,166;5,065;1,547;11,778;-;-;-;-;9,509;9,509;-;9,509;-;-;-;-;-;-;-;-;632;632;-309;41;-268;-321;-;-;-;-321;-;43;289
2005-12-31;6,373;-4,457;1,916;-258;-56;21;-42;1,581;-392;1,189;-;1,189;1,52;-;-;3,984;-;1,83;7,334;-;76;-;3,189;12,319;15,584;22,918;-;-;-;1,446;4,364;5,81;5,118;1,701;12,629;-;-;-;-;10,289;10,289;-;10,289;-;-;-;-;61;237;-;-;947;947;-477;100;-377;-125;-;-;-;-125;-;445;289
2006-03-31;7,337;-5,364;1,973;-208;-46;44;-65;1,698;-459;1,239;-;1,239;858;-;-;4,697;-;2,909;8,464;-;76;-;3,185;12,456;15,717;24,181;-;-;-;1,211;6,201;7,412;4,116;1,745;13,273;-;-;-;-;10,908;10,908;-;10,908;-;-;-;-;-;-;-;-;999;999;-441;-;-441;-1,22;-;-;-;-1,22;-;-662;289
2006-06-30;8,85;-6,179;2,671;-186;-55;48;-114;2,364;-626;1,738;-;1,738;1,176;-;-;5,192;-;3,037;9,405;-;59;-;3,15;12,128;15,337;24,742;-;-;-;1,61;7,017;8,627;2,652;1,699;12,978;-;-;-;-;11,764;11,764;-;11,764;-;-;-;-;-;-;-;-;2,383;2,383;-404;-;-404;-1,081;-579;-;-;-1,66;-1;318;289
