date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets;total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2013-03-31;638;-20;658;-;-;-460;-29;169;-39;130;-3;127;56;494;49;164;30;229;1,022;4,527;1,3;197;114;676;6,814;7,836;304;74;114;359;81;932;3,395;1,339;5,666;1,659;3;865;-;-357;2,17;260;2,43;78;-;29;-71;3;39;-;-;-74;92;-64;-113;-177;31;-50;15;111;106;4;25;132
2013-06-30;507;-11;496;-;-;-414;-33;49;-6;55;-6;49;41;420;39;189;46;253;988;4,643;1,309;204;116;734;7,006;7,994;291;5;111;66;80;553;3,649;1,429;5,631;1,674;3;861;-;-175;2,363;278;2,641;81;-;-3;5;5;53;-;-;4;141;-81;-34;-115;-4;-49;137;-135;-51;5;-20;132
2013-09-30;491;-8;484;-;-;-398;-39;46;-7;39;-5;34;90;373;143;212;35;196;1,049;4,664;1,3;200;115;744;7,023;8,072;276;69;128;161;74;708;3,581;1,429;5,718;1,689;3;844;-;-182;2,354;282;2,636;75;-;-3;18;14;43;-;-;73;202;-83;-31;-114;2;-53;15;91;56;-4;140;132
2013-12-31;594;-14;581;-;-;-518;-28;34;-3;31;-5;27;57;548;44;246;24;244;1,163;5,328;1,301;207;118;760;7,714;8,877;383;441;139;328;239;1,53;3,364;1,375;6,269;1,703;4;817;-;84;2,608;289;2,897;80;-;-14;110;-45;54;-;-;-78;129;-90;-427;-516;-9;-53;14;298;251;5;-131;132
2014-03-31;1,05;-10;1,041;-;-;-722;-38;280;-67;213;-5;208;126;664;54;230;47;291;1,412;5,415;1,318;214;119;812;7,878;9,29;430;453;130;330;176;1,519;3,196;1,489;6,204;1,963;4;966;-;153;3,086;294;3,38;90;-;38;-72;38;46;-;-;-123;146;-81;-2;-83;-8;-56;260;-184;12;4;79;143
2014-06-30;567;-37;530;-;-;-474;-26;30;-5;35;-5;30;72;439;58;239;69;309;1,186;5,273;1,525;207;117;762;7,884;9,07;309;436;141;327;148;1,361;2,984;1,479;5,824;1,978;5;943;-;320;3,246;292;3,538;85;-;-12;50;16;45;-;-;105;264;-55;-196;-251;-4;-58;211;-203;-54;-7;-49;143
2014-09-30;562;-32;531;-;-;-469;-14;48;-2;49;-6;43;105;418;176;270;52;249;1,27;5,426;1,542;217;122;830;8,137;9,407;298;326;142;272;271;1,309;3,272;1,572;6,153;1,994;10;860;-;390;3,254;301;3,555;81;-;-26;28;-111;49;-;-;43;175;-117;48;-69;1;-59;11;84;37;8;151;143
2014-12-31;793;-23;770;-;-;-532;-29;209;-54;155;-4;151;160;486;61;295;25;385;1,412;5,93;1,597;222;134;558;8,441;9,853;371;259;162;95;236;1,123;3,66;1,672;6,455;2,016;9;1,012;-;362;3,399;307;3,706;85;-;40;-81;122;45;-;-;-22;177;-176;-131;-308;-5;-63;22;110;64;6;-60;143
2015-03-31;889;-3;891;-;-;-657;2;236;-61;174;-6;168;236;603;70;283;54;400;1,646;5,826;1,368;242;140;970;8,546;10,192;384;8;145;93;275;905;3,8;1,795;6,5;2,035;9;1,116;-;532;3,692;322;4,014;86;-;12;7;-;-;-;-;-159;120;-83;278;196;-17;-48;3;-197;-259;28;84;146
2015-06-30;527;-28;499;-;-;-463;-15;21;-1;22;-5;18;107;427;69;293;49;361;1,306;5,832;1,415;238;157;939;8,581;9,887;306;9;154;92;245;806;3,614;1,788;6,208;2,056;10;1,068;-;545;3,679;321;4;87;-;-13;79;-;-;-;-;55;230;-107;-25;-132;-5;-46;2;-173;-222;-5;-129;146
