date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets;total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2008-03-31;350;-209;141;-40;-;-153;-26;-79;-23;-56;-;-56;183;144;-;953;-;54;1,334;-;13;138;837;666;1,654;2,988;146;345;6;55;33;585;955;257;1,797;306;811;74;-;0;1,191;-;1,191;-;-;-;-;-;-;-;-;59;59;-;645;645;-546;-;-;-;-546;-;158;112
2008-06-30;344;-181;163;-39;-;-24;-29;70;-19;51;-;51;81;170;-;1,046;-;46;1,343;-;12;133;880;759;1,785;3,127;172;343;7;51;43;616;990;279;1,886;306;811;125;-;0;1,242;-;1,242;-;-;-;-;-;-;-;-;46;46;-;-153;-153;5;-;-;-;5;-;-102;112
2008-09-30;436;-238;198;-36;-;-157;-;5;-4;1;-;1;83;198;-;1,106;-;58;1,445;-;10;133;892;833;1,869;3,314;194;433;10;60;49;746;997;304;2,047;306;811;149;-;0;1,267;-;1,267;-;-;-;-;-;-;-;-;-12;-12;-;-82;-82;95;-;-;-;95;-;2;112
2008-12-31;358;-223;134;-50;-;-524;-;-439;-98;-340;-;-340;68;158;-;1,118;-;57;1,401;-;12;88;840;799;1,738;3,139;215;497;14;843;146;1,714;235;261;2,21;306;622;1;-;0;929;-;929;-;-;-;-;-9;-111;-;-;15;15;-;-33;-33;3;-;-;-;3;0;-15;112
2009-03-31;284;-115;169;-42;-;17;27;171;-47;124;-;124;64;123;-;1,247;-;42;1,475;-;12;88;826;786;1,711;3,186;134;486;9;53;129;812;1,043;306;2,161;306;622;98;-;0;1,025;-;1,025;-;-;-;-;-;-;-;-;13;13;-;-35;-35;21;-;-;-;21;-2;-4;112
2009-06-30;474;-207;267;-50;-;63;-9;272;-79;192;-;192;255;160;-;1,544;-;56;2,014;-;12;88;838;830;1,768;3,782;179;486;17;74;157;914;1,016;386;2,316;391;947;128;-;0;1,466;-;1,466;-;-;-;-;-;-;-;-;41;41;-;-53;-53;203;-;-;-;203;1;191;112
2009-09-30;385;-172;213;-51;-;-431;26;-242;-69;-174;-;-174;115;134;-;1,315;-;57;1,62;-;8;88;823;807;1,726;3,346;172;453;3;91;96;816;936;308;2,059;447;906;-66;-;0;1,287;-;1,287;-;-;-;-;-;-;-;-;-109;-109;-;-27;-27;-4;-;-;-;-4;-1;-141;112
2009-12-31;478;-248;230;-51;-;-66;4;117;-29;88;-;88;140;188;-;1,416;-;77;1,821;-;15;88;824;821;1,747;3,569;233;483;14;123;82;935;923;336;2,194;447;717;211;-;-;1,374;-;1,374;-;-;-;-;-;-;-;-;122;122;-;-46;-46;-52;-;-;-;-52;1;25;112
2010-03-31;619;-301;318;-55;-;94;0;357;-99;258;-;258;287;224;-;1,516;-;55;2,08;-;15;88;827;856;1,786;3,866;131;481;53;131;74;869;914;434;2,217;447;717;486;-;0;1,65;-;1,65;-;-;-;-;-;-;-;-;247;247;-;-55;-55;-46;-;-;-;-46;2;147;112
2010-06-30;581;-169;413;-55;-;-173;5;189;-51;138;-;138;238;201;-;1,625;-;56;2,121;-;22;91;849;912;1,874;3,995;204;311;57;88;136;796;898;491;2,185;447;-;1,363;-;0;1,81;-;1,81;56;-;-;-111;-;-;-;-;-244;245;-98;50;-47;14;-28;-;-234;-248;2;-48;112
2010-09-30;586;-254;332;-58;-;-307;16;-18;-4;-14;0;-14;147;203;-;1,485;-;61;1,897;-;23;91;857;905;1,876;3,773;241;240;56;130;78;746;839;451;2,036;447;-;1,286;-;4;1,737;-;1,737;31;-;-;22;-;-;-;-;39;58;-85;1;-84;-9;-;-;-54;-63;-3;-91;112
2010-12-31;670;-219;451;-70;-;-49;-3;329;-81;248;0;248;144;265;-;1,622;-;43;2,075;-;34;91;929;929;1,983;4,058;253;260;25;121;43;702;830;543;2,075;447;-;1,536;-;-;1,982;-;1,982;-;-;-;-;-;-;-;-;553;44;-;-259;-76;-288;-;-;-;27;1;-3;112
2011-03-31;509;-154;355;-60;-;-28;18;285;-71;214;-;214;174;163;-;1,81;-;42;2,189;-;27;102;987;943;2,059;4,249;159;244;67;122;44;636;807;625;2,068;447;-;1,734;-;-;2,18;-;2,18;34;-;-;-110;-;-;-;-;22;216;-67;-44;-111;-74;-;-;-;-74;-1;30;112
2011-06-30;568;-197;371;-53;-;-662;-12;-355;-97;-259;-;-259;114;211;-;1,339;-;65;1,729;-;31;105;978;1,001;2,116;3,844;216;360;49;118;41;783;795;524;2,102;447;-;1,301;-5;-;1,742;-;1,742;34;-;-;423;-;-;-;-;0;115;-80;-20;-100;26;-151;-;49;-76;0;-60;112
2011-09-30;467;-255;212;-58;-;-307;-15;-168;-47;-121;-;-121;174;190;-;1,344;-;78;1,787;-;33;105;985;1,068;2,192;3,979;358;500;52;121;40;1,071;798;480;2,348;447;-;1,189;-5;-;1,631;-;1,631;34;-;-;106;-;-;-;-;33;22;-89;0;-88;-5;-;-;132;127;0;60;112
2011-12-31;515;-284;231;-67;-;-138;17;43;-1;43;-;43;153;224;-;67;-;1,471;1,914;-;39;105;992;1,128;2,264;4,179;303;700;23;125;56;1,207;614;668;2,488;447;-;1,265;-5;-17;1,69;-;1,69;39;-;-;-37;6;-;-;-;-172;-138;-84;-2;-86;383;-;-;-181;202;1;-22;112
2012-03-31;540;-298;242;-65;-;-166;-21;-9;-10;1;-;1;212;176;-;1,345;-;58;1,791;-;42;105;987;1,155;2,289;4,08;206;700;85;71;33;1,094;840;478;2,412;447;-;1,227;-5;0;1,668;-;1,668;38;-;-;-26;-;-;-;-;141;168;-75;0;-75;-25;-;-;-7;-33;-1;60;112
2012-06-30;518;-244;274;-62;-;-201;-16;-5;-2;-3;-;-3;272;148;-;1,333;-;53;1,806;-;47;105;992;1,175;2,32;4,126;235;700;74;104;40;1,154;806;481;2,441;447;-;1,243;-5;-;1,685;-;1,685;40;-;-;52;-;-;-;-;25;133;-50;0;-50;-25;-;-;1;-24;1;60;112
2012-09-30;424;-246;178;-70;-;-227;-32;-150;-38;-113;-;-113;120;127;-;1,389;-;56;1,692;-;49;105;989;1,168;2,311;4,003;375;600;59;128;53;1,216;777;445;2,438;447;-;1,123;-5;-;1,565;-;1,565;41;-;-;34;-;-;-;-;58;17;-36;0;-36;-30;-;-;-104;-133;-1;-153;112
2012-12-31;568;-415;153;-79;-;-84;-28;-38;-6;-32;-;-32;240;125;-;66;-;1,361;1,792;-;51;105;981;1,142;2,279;4,07;246;500;20;154;68;988;976;593;2,557;447;-;1,118;-5;-47;1,513;-;1,513;43;-;-;-171;-3;-;-;-;21;-116;-27;-1;-29;-36;-;-;302;266;-1;120;112
2013-03-31;517;-220;297;-69;-;-103;-23;101;-26;76;-;76;221;128;-;1,382;-;59;1,79;-;55;105;981;1,126;2,267;4,057;164;604;88;-;45;901;1,098;465;2,465;447;-;1,15;-5;-;1,592;-;1,592;34;-;-;-49;-5;-;-;-;-5;107;-19;1;-18;-25;-;-;-83;-107;0;-19;112
2013-06-30;624;-246;378;-66;-;-167;-13;131;-44;88;-;88;289;173;-;1,409;-;59;1,93;-;41;105;986;1,151;2,284;4,214;227;583;74;-;45;930;22;1,569;2,52;447;-;1,252;-5;0;1,693;-;1,693;34;-;-;-26;0;-;-;-;3;158;-51;15;-35;-22;-;-;-33;-56;1;68;112
2013-09-30;574;-227;347;-76;-;-191;-12;68;-15;52;-;52;227;117;-;1,55;-;79;1,973;-;42;106;995;1,173;2,316;4,288;330;482;72;-;50;935;1,054;532;2,52;447;-;1,326;-5;-;1,768;-;1,768;33;-;-;2;0;-;-;-;19;134;-37;1;-36;-18;-;-;-141;-159;-1;-62;112
2013-12-31;689;-275;414;-90;-;-62;-17;244;-29;215;-;215;182;442;-;75;-;1,867;2,566;-;29;107;999;1,206;2,341;4,907;418;606;23;157;98;1,303;875;742;2,919;447;-;1,549;-5;-2;1,988;14;2,002;35;-;-;-189;0;-;-;-;-189;-81;-57;0;-57;-21;-;-;95;73;1;-63;112
2014-03-31;1,015;-610;405;-80;-;-235;-19;72;-15;56;0;56;286;369;-;60;-;1,824;2,539;-;32;107;993;1,204;2,335;4,875;278;852;-;-;117;1,247;1,024;581;2,851;447;-;1,581;-5;0;2,023;14;2,037;32;-;-;29;4;-;-;-;-54;99;-41;0;-41;-20;-;-;65;45;1;104;112
2014-06-30;1,138;-704;435;-82;-;-422;-10;-80;-19;-60;3;-57;240;557;-;63;-;1,673;2,534;-;33;108;1,005;1,227;2,372;4,906;354;420;-;-;159;932;1,394;579;2,906;447;-;1,559;-5;0;2;17;2,017;33;-;-;209;4;-;-;-;-115;58;-31;0;-32;-10;-;-;-63;-73;1;-46;112
2014-09-30;956;-467;488;-95;-;-453;-16;-76;-17;-59;-10;-69;196;396;-;92;-;1,644;2,328;-;34;108;1,004;1,265;2,41;4,738;433;304;-;-;128;864;1,371;568;2,804;447;-;1,493;-5;0;1,935;21;1,956;34;-;-;11;-;-;-;-;198;186;-77;10;-67;-20;-;-;-139;-159;-5;-44;112
2014-12-31;990;-513;478;-101;-;-121;1;256;-49;207;2;209;181;504;-;91;-;1,937;2,714;-;22;109;1,078;1,429;2,638;5,352;360;736;-;-;232;1,328;1,219;582;3,13;447;-;1,78;-5;-;2,222;19;2,241;41;-;-;-416;1;-;-;-;-65;-186;-163;69;-94;286;-;-;-28;258;8;-15;112
2015-03-31;1,023;-598;426;-100;-;-374;-19;-67;-16;-51;-5;-56;201;394;-;93;-;1,92;2,609;-;29;109;1,088;1,479;2,705;5,313;340;717;-;-;229;1,286;1,28;571;3,138;447;-;1,734;-5;0;2,176;24;2,2;38;-;-;130;2;-;-;-;-6;119;-120;0;-120;-19;-;-;38;19;1;20;112
2015-06-30;1,149;-835;314;-85;-;-360;3;-128;-26;-101;-1;-103;240;582;-;89;-;1,763;2,674;-;25;109;1,096;1,498;2,728;5,402;549;840;-;-;194;1,583;1,231;558;3,372;447;-;1,588;-5;0;2,03;26;2,056;40;-;-;75;2;-;-;-;99;85;-45;8;-37;-24;-55;-;69;-10;2;39;112
2015-09-30;1,246;-575;671;-106;-;-516;-30;19;-13;6;-1;6;309;442;-;102;-;1,854;2,708;-;27;110;1,104;1,503;2,744;5,452;515;742;-;-;236;1,493;1,328;579;3,399;447;-;1,611;-5;0;2,053;26;2,079;92;-;-;-91;-;-;-;-;127;176;-76;-2;-78;-28;-;-;-3;-30;1;69;112
