date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets';total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2006-03-31;1114;-843;271;-81;0;21;13;224;-58;166;0;166;304;613;0;689;0;0;1606;0;358;0;451;315;1124;2730;0;0;0;80;545;625;634;11;1270;0;0;604;0;856;1460;6;1466;0;0;0;0;0;0;0;0;224;224;0;-42;-42;-69;0;0;0;-69;0;113;42,78
2006-06-30;1342;-1018;324;-78;0;16;50;312;-72;240;0;240;481;742;0;923;0;0;2146;0;416;0;653;442;1511;3657;0;0;0;95;728;823;780;14;1617;0;0;771;0;1270;2041;10;2051;0;0;0;0;0;0;0;0;151;151;0;-306;-306;333;0;0;0;333;0;177;42,78
2006-09-30;1400;-987;412;-101;0;-240;19;91;-18;73;0;73;437;930;0;1231;0;0;2598;0;289;0;1927;653;2869;5467;0;0;0;174;877;1051;1813;468;3332;0;0;852;0;1283;2135;19;2154;0;0;0;0;0;0;0;0;32;32;0;-748;-748;672;0;0;0;672;0;-44;42,78
2006-12-31;1761;-1257;504;-141;0;-138;6;231;-58;173;-1;172;510;922;0;1242;0;0;2674;0;315;0;1922;695;2932;5606;0;0;0;382;845;1227;1578;481;3286;0;0;1038;0;1283;2321;20;2341;0;0;0;0;27;0;0;0;140;140;0;-53;-53;-15;0;0;0;-15;0;73;42,78
2007-03-31;1491;-1111;380;-131;0;-160;-1;88;-21;67;0;67;1156;961;0;1545;0;0;3662;0;355;0;2812;952;4119;7781;0;0;0;611;992;1603;1758;671;4032;0;0;1094;0;2655;3749;19;3768;31;0;0;-17;0;0;0;0;79;181;-135;313;177;0;0;285;3;288;0;646;53,58
2007-06-30;1592;-1218;374;-124;0;-327;-6;-83;-27;-56;0;-56;598;921;0;1398;0;0;2917;0;371;0;2810;1035;4216;7133;0;0;0;459;827;1286;2324;31;3641;0;0;837;0;2655;3492;19;3511;39;0;0;-14;0;0;0;0;-93;-151;-122;-2;-124;0;-210;8;-81;-283;0;-558;53,58
2007-09-30;1617;-1197;420;-163;0;-120;-24;114;-39;75;0;75;608;930;0;1596;0;0;3134;0;364;0;2830;1102;4296;7430;0;0;0;511;920;1431;1793;638;3862;0;0;913;0;2655;3568;18;3586;40;0;0;3;0;0;0;0;-36;121;-106;-18;-124;0;-1;0;14;14;0;10;53,58
2007-12-31;1591;-1167;424;-167;0;-3;-4;250;-57;193;-3;191;538;911;0;1759;0;0;3208;0;317;0;2832;1149;4298;7506;0;0;0;567;780;1347;1725;676;3748;0;0;1112;0;2646;3758;21;3779;45;0;0;-7;153;0;0;0;-340;-52;-46;59;13;0;-2;0;-29;-31;0;-70;53,58
2008-03-31;1317;-932;384;-149;0;-340;-27;-132;-39;-93;0;-93;458;733;0;1604;0;0;2795;0;322;0;2833;1244;4399;7194;0;0;0;555;598;1153;1748;625;3526;0;0;1022;0;2647;3669;20;3689;47;0;0;-4;0;0;0;0;142;53;-144;-1;-145;0;0;0;12;12;0;-80;53,58
2008-06-30;1515;-1117;398;-147;0;-226;-34;-9;-4;-5;0;-5;270;928;0;1494;0;0;2692;0;325;0;2953;1286;4564;7256;0;0;0;629;662;1291;1818;598;3707;0;0;895;0;2654;3549;20;3569;49;0;0;-4;0;0;0;0;-46;-9;-89;-122;-211;0;-98;-13;144;33;0;-187;53,58
2008-09-30;1522;-1029;493;-173;0;-187;-35;98;-24;74;0;74;379;788;0;1697;0;0;2864;0;332;0;2965;1300;4597;7461;0;0;0;711;770;1481;1762;600;3843;0;0;970;0;2648;3618;19;3637;52;0;0;-6;0;0;0;0;28;173;-67;-14;-81;0;-2;-7;26;17;0;108;53,58
2008-12-31;1703;-1201;502;-195;0;-59;-42;207;-56;151;-2;149;388;932;0;1899;0;0;3219;0;307;0;2960;1296;4563;7782;0;0;0;842;816;1658;1677;704;4039;0;0;1101;0;2643;3744;21;3765;49;0;0;-1;0;0;0;0;-262;-6;-34;14;-20;0;0;-6;42;36;0;10;53,58
2009-03-31;1522;-1034;488;-159;0;-213;-11;105;-24;81;0;81;374;816;0;1869;0;0;3059;0;314;0;2962;1260;4536;7595;0;0;0;791;659;1450;1623;727;3800;0;0;1153;0;2643;3796;20;3816;50;0;0;-18;0;0;0;0;-18;119;-24;-5;-29;0;0;0;-104;-104;0;-14;53,58
2009-06-30;1823;-1268;554;-147;0;-21;5;391;-105;286;0;286;445;890;0;1976;0;0;3311;0;338;0;2963;1271;4572;7883;0;0;0;741;728;1469;1629;826;3924;0;0;1316;0;2642;3958;17;3975;49;0;0;-24;0;0;0;0;-116;300;-58;23;-35;0;-150;0;-44;-195;0;70;53,58
2009-09-30;1946;-1298;648;-180;0;-336;-9;123;-30;93;0;93;499;921;0;2041;0;0;3461;0;319;0;2962;1264;4545;8006;0;0;0;756;819;1575;1557;853;3985;0;0;1378;0;2643;4021;20;4041;50;0;0;-8;0;0;0;0;-9;157;-44;-2;-46;0;-2;2;-57;-57;0;54;53,58
2009-12-31;2184;-1443;741;-204;0;-161;-8;368;-98;270;-1;270;708;1007;0;2095;0;0;3810;0;308;0;2964;1225;4497;8307;0;0;0;646;1005;1651;1506;869;4026;0;0;1639;0;2643;4282;19;4301;55;0;0;-13;0;0;0;0;-42;368;-18;20;2;0;0;0;-161;-161;0;209;53,58
2010-03-31;1873;-1251;622;-171;0;74;28;553;-143;410;-1;410;934;922;0;2335;0;0;4191;0;343;0;2965;1217;4525;8716;0;0;0;601;993;1594;1466;968;4028;0;0;2045;0;2643;4688;19;4707;52;0;0;-43;4;0;0;0;-196;366;-42;1;-41;-15;0;0;-85;-99;0;226;54,58
2010-06-30;2176;-1443;733;-164;0;-270;12;312;-85;227;0;227;636;1058;0;2208;0;0;3902;0;335;0;2966;1230;4531;8433;0;0;0;529;929;1458;1429;988;3875;0;0;1915;0;2643;4558;19;4577;52;0;0;-27;92;0;0;0;-95;241;-65;22;-43;-15;-373;0;-108;-497;0;-298;54,58
2010-09-30;2265;-1436;828;-195;0;-239;-3;391;-108;283;-1;282;750;1026;0;2329;0;0;4105;0;334;0;2963;1264;4561;8666;0;0;0;369;1047;1416;1414;1015;3845;0;0;2178;0;2643;4821;16;4837;53;0;0;-13;4;0;0;0;-49;382;-82;8;-74;-17;-2;0;-175;-193;0;114;54,58
2010-12-31;2574;-1482;1092;-248;0;-178;19;685;-176;509;-8;501;1357;1190;0;2997;0;0;5544;0;370;0;3851;1587;5808;11352;0;0;0;434;1432;1866;2223;1817;5906;0;0;2672;0;2774;5446;549;5995;63;0;0;-39;-1;0;0;0;-181;527;-79;-540;-619;-20;-1;131;587;698;0;607;54,58
2011-03-31;2225;-1301;924;-222;0;-206;5;501;-139;362;-31;330;1649;1104;0;2994;0;0;5747;0;388;0;3865;1618;5871;11618;0;0;0;413;1383;1796;2177;1855;5828;0;0;3016;0;2774;5790;577;6367;65;0;0;-22;48;0;0;0;-62;481;-91;-14;-105;-17;0;0;-68;-85;0;292;54,58
2011-06-30;2397;-1471;926;-214;0;-816;-4;-108;-32;-76;24;-52;1408;1184;0;2457;0;0;5049;0;359;0;3880;1689;5928;10977;0;0;0;580;1218;1798;2356;1672;5826;0;0;2378;0;2774;5152;546;5698;66;0;0;-15;344;0;0;0;189;132;-140;11;-129;-19;-566;-7;347;-244;0;-241;54,58
2011-09-30;2304;-1530;774;-259;0;-451;-33;31;-13;18;9;27;1457;1201;0;2598;0;0;5256;0;364;0;3881;1752;5997;11253;0;0;0;561;1382;1943;2494;1624;6061;0;0;2418;0;2774;5192;538;5730;70;0;0;8;2;0;0;0;-23;86;-131;0;-132;-24;0;0;119;94;0;49;54,58
2011-12-31;2251;-1563;688;-273;0;-273;-31;111;-37;75;3;77;1597;1083;0;2699;0;0;5379;0;361;0;3885;1837;6083;11462;0;0;0;761;1375;2136;2429;1634;6199;0;0;2497;0;2766;5263;535;5798;72;0;0;9;14;123;0;0;1;192;-155;-2;-157;-22;0;-8;135;105;0;141;54,58
2012-03-31;2164;-1497;667;-259;0;-216;-14;179;-48;130;4;135;1721;1211;0;2663;0;0;5595;0;360;0;3987;1905;6252;11847;0;0;0;821;1233;2054;2500;4395;6449;0;0;2612;0;2786;5398;642;6040;72;0;0;24;107;0;0;0;-126;149;-104;-108;-212;-23;0;0;209;186;0;124;54,58
2012-06-30;2306;-1639;667;-227;0;-386;-16;38;-9;29;-5;24;1073;1191;0;2431;0;0;4695;0;364;0;3998;1999;6361;11056;0;0;0;643;1053;1696;251;1818;6024;0;0;2246;0;2786;5032;645;5677;73;0;0;-6;172;0;0;0;55;160;-162;8;-154;-26;-381;0;-248;-654;0;-649;54,58
2012-09-30;2223;-1604;619;-264;0;-335;-21;-1;-1;0;0;1;1139;1218;0;2646;0;0;5003;0;364;0;3993;2031;6388;11391;0;0;0;919;1185;2104;2461;1812;6377;0;0;2228;0;2786;5014;640;5654;72;0;0;-3;0;0;0;0;-106;-39;-103;8;-95;-26;-2;0;228;200;0;66;54,58
2012-12-31;2411;-1702;709;-282;0;53;-20;459;-127;332;-11;322;1083;1194;0;3051;0;0;5328;0;379;0;3972;2095;6446;11774;0;0;0;912;1213;2125;2403;1932;6460;0;0;2529;0;2786;5315;649;5964;74;0;0;-6;-12;0;0;0;-351;176;-136;-2;-138;-27;0;0;-65;-92;-1;-56;54,58
2013-03-31;2332;-1479;853;-249;0;-26;-4;574;-150;424;-35;389;1189;1232;0;3096;0;0;5517;0;376;0;3971;2168;6515;12032;0;0;0;682;1232;1914;2383;2026;6323;0;0;2923;0;2786;5709;681;6390;74;0;0;-76;49;0;0;0;-95;478;-140;46;-94;-29;0;0;-251;-280;1;106;54,58
2013-06-30;2513;-1519;994;-227;0;-213;1;554;-156;399;-43;356;804;1349;0;3225;0;0;5378;0;593;0;3975;2232;6800;12178;0;0;0;690;1311;2001;2370;2089;6460;0;0;2932;0;2786;5718;711;6429;76;0;0;-28;40;0;0;0;-239;363;-131;-180;-311;-28;-394;0;-5;-427;-9;-384;54,58
2013-09-30;2871;-1804;1067;-277;0;91;45;925;-219;707;-53;653;831;1401;0;3247;0;0;5479;0;647;0;3989;2322;6958;12437;0;0;0;699;1619;2318;2337;1997;6652;0;0;3000;0;2786;5786;727;6513;81;0;0;-34;1;0;0;0;161;264;-164;-25;-189;-32;0;0;-27;-59;11;27;54,58
2013-12-31;3230;-2090;1140;-328;0;396;89;1297;-282;1015;-64;951;873;1803;0;4086;0;0;6762;0;767;0;3999;2376;7142;13904;0;0;0;683;1789;2472;2357;2320;7149;0;0;3969;0;2786;6755;794;7549;76;0;0;-103;11;0;0;0;-1116;154;-149;43;-105;1033;0;0;-1051;-18;11;41;54,58
2014-03-31;3180;-1974;1205;-288;0;-845;23;96;-7;89;1;90;1096;1553;0;3618;0;0;6267;0;815;0;4003;2385;7203;13470;0;0;0;525;1651;2176;2320;2162;6658;0;0;4026;0;2786;6812;760;7572;89;0;0;-39;52;0;0;0;447;593;-101;-16;-117;-28;-30;0;-192;-250;-2;223;54,58
2014-06-30;3177;-2002;1174;-279;0;-602;-11;283;-75;207;-23;184;766;1520;0;3306;0;0;5592;0;829;0;4011;2443;7283;12875;0;0;0;549;1455;2004;2268;2149;6421;0;0;3667;0;2786;6453;778;7231;89;0;0;-12;278;0;0;0;37;397;-145;18;-128;-25;-549;0;-29;-603;4;-330;54,58
2014-09-30;2962;-1985;977;-339;0;-557;-17;64;-6;70;28;98;1181;1669;0;3485;0;0;6335;0;569;0;4187;2558;7314;13649;0;0;0;599;1645;2244;2790;2079;7113;0;0;3749;0;2786;6535;747;7282;95;0;0;-87;2;0;0;0;-6;66;-152;-8;-160;-29;0;0;544;515;-6;415;54,58
2014-12-31;3261;-2042;1220;-365;0;160;-23;991;-253;738;-54;684;1360;1730;0;4207;0;0;7297;0;650;0;4234;2677;7561;14858;0;0;0;469;1872;2341;2767;2488;7596;0;0;4476;0;2786;7262;817;8079;97;0;0;-44;13;0;0;0;-552;493;-184;49;-135;-24;0;0;-167;-190;12;179;54,58
2015-03-31;3268;-2133;1135;-333;0;-746;-14;42;-4;38;6;44;1314;1716;0;3887;0;0;6917;0;677;0;4326;2718;7721;14638;0;0;0;448;1752;2200;2759;2366;7325;0;0;4528;0;2786;7314;805;8119;97;0;0;-28;138;0;0;0;159;270;-130;-123;-253;-32;0;0;-30;-62;-1;-46;54,58
