date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets;total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2012-12-31;247;-162;85;-21;-6;-99;19;-9;-22;-32;0;-31;346;21;196;267;10;132;972;2,205;2;199;-;17;2,423;3,395;56;-;29;13;76;174;41;469;684;2,301;-;409;-;1;2,71;7;2,718;30;-;-6;111;19;2;-;-;-23;82;-65;-76;-141;-1;-8;-10;-2;-20;-1;-80;152
2013-03-31;243;-168;75;-6;-6;-18;-5;40;-20;20;-;20;245;141;246;278;8;84;1,002;2,138;2;192;-;17;2,348;3,349;53;-;30;7;87;177;37;432;645;2,295;-;409;-;-1;2,704;7;2,711;30;-;-;41;45;1;-;-;-58;32;-40;-48;-88;-;-19;-5;-21;-46;0;-102;152
2013-06-30;176;-172;4;-5;-6;-181;5;-182;-5;-187;1;-187;238;119;202;284;9;33;884;2,211;2;7;-;18;2,238;3,122;58;19;33;5;43;157;35;433;625;2,294;-;204;-;-1;2,497;7;2,504;32;-;-;175;23;1;-;-;-20;0;-44;45;0;-;-19;-1;14;-6;-1;-7;152
2013-09-30;214;-180;34;-4;-3;1;-3;26;-12;14;-;14;208;129;213;288;6;12;856;2,205;2;7;-;17;2,231;3,088;53;17;28;5;22;125;34;435;595;2,294;-;200;-;-1;2,493;7;2,499;42;-;-;6;8;2;-;-;-22;41;-42;-9;-51;0;-19;-;-2;-21;1;-30;152
2013-12-31;192;-173;19;-1;-3;-320;-7;-312;-19;-293;-1;-294;250;24;173;284;9;131;872;1,871;2;7;-;16;1,896;2,768;52;20;28;4;50;154;34;397;585;2,295;-;-113;-;0;2,182;7;2,189;32;-;-39;348;22;0;-;-;-1;46;-34;47;13;-1;-19;-;2;-17;0;42;152
2014-03-31;210;-178;32;-6;-3;-1;-7;15;-9;7;-;7;178;136;216;276;8;24;838;-;2;7;-;1,884;1,893;2,731;55;15;26;5;24;124;35;401;561;2,295;-;-125;-;0;2,171;6;2,177;37;-;-1;13;19;1;-;-;-20;36;-37;-48;-85;-;-19;-;-4;-23;-1;-72;152
2014-06-30;201;-191;10;-6;-2;1;0;3;-8;-6;0;-6;179;136;203;263;8;43;831;-;2;7;-;1,89;1,899;2,729;54;3;32;5;57;150;36;397;583;2,295;-;-149;-;0;2,146;6;2,152;38;-;-8;31;4;0;-;-;-6;49;-37;20;-17;-;-19;-;-12;-31;0;1;152
2014-09-30;178;-191;-12;-4;-4;0;-5;-25;-4;-20;0;-20;160;105;218;251;6;44;782;-;2;7;-;1,882;1,891;2,673;46;14;35;4;47;146;34;385;565;2,295;-;-188;-;0;2,107;6;2,113;34;-;-4;17;2;2;-;-;12;39;-28;-20;-48;0;-19;-;10;-9;0;-19;152
2014-12-31;163;-185;-21;-2;-9;-597;-6;-631;-105;-526;-1;-527;146;64;184;253;5;79;731;1,266;2;3;-;16;1,287;2,018;53;18;31;39;34;174;-;281;455;2,297;-;-733;-;0;1,563;7;1,57;38;-;-116;614;8;2;-;-;-10;1;-30;37;6;-;-19;-;-2;-21;0;-14;152
2015-03-31;178;-176;3;-6;-4;0;-7;-13;-7;-20;0;-19;110;102;183;240;8;46;687;-;2;3;-;1,29;1,294;1,982;48;23;28;39;34;172;-;285;457;2,297;-;-771;-;-1;1,525;6;1,531;41;-;2;-4;11;1;-;-;-8;12;-32;-1;-34;-;-19;-;4;-15;0;-36;152
2015-06-30;174;-175;-1;-5;-3;-2;2;-8;-1;-7;-;-7;183;107;92;237;8;42;668;-;2;3;-;1,287;1,292;1,96;58;24;31;37;25;175;-;274;449;2,297;-;-786;-;0;1,51;6;1,517;37;-;-3;1;8;2;-;-;-7;21;-30;94;64;0;-8;-;-4;-12;-;73;152
2015-09-30;159;-185;-26;-2;-3;-34;-4;-69;-2;-68;1;-67;155;102;111;216;7;28;619;-;2;3;-;1,252;1,257;1,876;59;20;34;38;25;175;-;265;440;2,297;-;-860;-;-1;1,436;5;1,441;37;-;-4;53;-8;1;-;-;15;33;-31;-17;-48;0;-8;-;-5;-13;0;-27;152
2015-12-31;163;-171;-8;-6;-2;-123;-6;-145;-8;-137;4;-133;134;60;93;204;7;55;552;1,145;2;3;-;13;1,163;1,715;54;20;29;2;27;131;36;251;418;2,298;-;-1,001;-;-1;1,297;1;1,299;37;-;-15;137;3;1;-;-;2;23;-54;19;-35;-;-8;-;-1;-9;-1;-21;152
2016-03-31;158;-142;17;-6;-1;-2;-2;6;-4;2;0;2;120;114;57;206;9;27;533;-;2;3;-;1,173;1,177;1,711;45;18;24;2;29;119;36;257;412;2,299;-;-1,001;-;-;1,299;2;1,3;29;-;1;3;7;0;-;-;-34;1;-45;35;-10;-;-2;0;-2;-4;0;-14;152
2016-06-30;192;-148;45;-7;-3;15;-2;48;-14;34;0;34;150;112;54;218;9;17;561;-;2;3;-;1,195;1,2;1,761;42;17;34;3;36;131;36;260;427;2,3;-;-969;-;2;1,333;2;1,335;30;-;-2;-9;0;0;-;-;12;66;-53;19;-33;0;-2;1;-2;-4;1;30;152
2016-09-30;234;-145;88;-5;-4;4;-4;79;-36;43;-1;43;210;120;36;229;9;14;616;-;30;3;-;1,212;1,245;1,862;38;5;45;3;49;140;36;309;485;2,302;-;-928;-;3;1,377;2;1,379;34;-;21;-4;-1;0;-;-;9;102;-48;19;-30;0;-2;1;-13;-13;-;60;152
2016-12-31;191;-142;49;-6;-3;2;1;43;-21;22;-1;22;181;129;37;237;10;19;613;-;50;3;-;1,233;1,285;1,898;45;-;45;4;42;136;36;330;502;2,304;-;-908;-;0;1,396;3;1,399;23;-;11;-1;11;2;-;-;-10;46;-57;-10;-67;0;-2;0;-6;-8;-;-29;152
2017-03-31;199;-166;33;-6;-4;-1;5;28;-8;20;-1;19;184;122;22;226;10;17;581;-;51;3;-;1,266;1,32;1,901;44;-;39;4;32;118;36;324;478;2,316;-;-893;-;1;1,423;3;1,426;29;-;-4;21;25;1;-;-;-28;39;-45;12;-33;0;-4;2;-1;-3;0;3;153
