date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
1999-03-31;2,615;-436;2,179;158;-;-;-;4,242;-;-;16,142;-;-;-;3,985;-;10,872;152;-193;759.6
1999-06-30;2,705;-433;2,272;139;477;2,099;1,327;3,919;-;-;15,91;-;-;-;3,181;4,658;10,44;385;-154;759.6
1999-09-30;2,624;-423;2,202;166;818;2,1;1,298;4,27;-;-;16,118;-;-;-;3,743;4,276;10,504;278;-172;759.6
1999-12-31;2,691;-463;2,229;294;642;2,091;1,266;4,133;-;-;16,038;-;-;-;3,695;3,846;10,082;644;-211;759.6
2000-03-31;2,992;-445;2,547;301;-;-;-;4,352;-;-;16,331;-;-;-;3,837;-;10,262;395;-134;927.2
2000-06-30;3,094;-470;2,623;635;1,5;2,252;1,296;5,294;-;-;15,785;-;-;-;2,58;4,094;9,148;496;-162;927.2
2000-09-30;3,253;-487;2,767;335;863;2,571;1,629;5,431;-;-;22,461;-;-;-;4,402;5,704;13,725;473;-207;927.2
2000-12-31;3,678;-594;3,084;177;744;2,361;1,59;4,944;-;-;21,323;-;-;-;3,803;5,515;12,752;796;-266;927.2
2001-03-31;3,637;-559;3,078;283;429;2,371;1,676;5,096;-;-;21,474;-;-;-;4,309;5,359;13,044;-166;-176;907.9
2001-06-30;3,388;-586;2,803;156;428;2,309;1,659;4,86;-;-;21,457;-;-;-;3,922;5,477;12,802;517;-215;907.9
2001-09-30;3,201;-546;2,655;212;275;2,209;1,651;4,836;-;-;20,597;-;-;-;3,396;5,353;11,965;424;-182;907.9
2001-12-31;3,283;-544;2,739;272;247;1,976;1,6;4,381;-;-;20,558;-;-;-;3,347;5,182;11,569;754;-284;907.9
2002-03-31;3,229;-577;2,652;161;103;2,067;1,715;4,502;-;-;20,717;-;-;-;3,865;5,058;11,921;137;-155;899.8
2002-06-30;3,233;-589;2,644;138;82;1,919;1,571;4,535;-;-;19,651;-;-;-;3,254;4,662;10,824;683;-183;899.8
2002-09-30;3,109;-546;2,563;-996;74;1,93;1,602;4,239;-;-;18,061;-;-;-;3,079;4,573;10,414;624;-208;899.8
2002-12-31;3,212;-597;2,616;456;169;1,902;1,565;4,97;-;-;18,214;-;-;-;2,736;4,525;10,057;-125;-331;899.8
