date;revenue;cogs;gross_profit;net_profit;cash;acc_rec;inventory;curr_assets;goodwill;intangible_assets;total_assets;acc_pay;short_term_debt;current_debt;curr_liab;long_term_debt;total_liab;cash_from_operating_activities;capex;shares
2006-03-31;799;-572;226;66;37;464;398;1,048;-;-;3,02;172;-;107;553;884;2,093;130;-;48
2006-06-30;830;-596;235;67;33;504;392;1,108;-;-;3,079;194;-;104;539;443;1,681;104;-;48
2006-09-30;857;-606;251;95;55;510;387;1,109;-;-;3,11;206;-;59;505;378;1,624;259;-;48
2006-12-31;851;-604;247;83;43;476;408;1,112;-;16;3,258;206;-;88;540;322;1,688;269;-;48
2007-03-31;944;-639;305;115;158;550;429;1,306;-;-;3,458;198;-;52;557;248;1,774;324;-;49
2007-06-30;959;-652;307;131;147;572;427;1,316;-;-;3,588;214;-;55;553;236;1,91;288;-;49
2007-09-30;959;-648;310;120;394;537;427;1,527;-;16;3,852;211;-;58;583;236;2,053;395;-;49
2007-12-31;920;-691;230;57;367;461;404;1,428;-;10;3,918;242;-;54;592;164;2,068;316;-;49
2008-03-31;1,02;-701;319;131;403;541;478;1,651;-;-;4,227;277;-;99;770;151;2,333;319;-;49
2008-06-30;1,123;-776;347;153;324;566;475;1,567;-;-;4,225;286;-;69;737;153;2,334;257;-;49
2008-09-30;1,157;-792;365;171;496;584;508;1,745;-;20;4,605;309;-;137;898;170;2,54;299;-;49
2008-12-31;999;-842;157;-16;305;467;505;1,464;-;25;4,625;297;-;114;839;159;2,557;130;-;49
2009-03-31;873;-656;217;5;385;432;496;1,472;-;24;4,705;261;-;123;831;161;2,611;241;-;49
2009-06-30;926;-703;222;-75;343;494;452;1,448;-;22;4,584;252;-;141;825;283;2,649;133;-;49
2009-09-30;987;-725;262;36;468;506;440;1,562;-;21;4,734;224;-;163;935;355;2,771;282;-;49
2009-12-31;935;-792;143;-41;364;467;441;1,422;-;22;4,542;218;-;76;732;364;2,616;111;-;49
2010-03-31;1,067;-778;289;106;428;572;458;1,648;-;21;4,797;231;-;91;805;412;2,741;160;-;49
2010-06-30;1,202;-848;354;135;441;650;492;1,728;-;21;4,963;259;-;146;922;353;2,814;180;-;49
2010-09-30;1,27;-867;403;156;581;628;513;1,949;-;29;5,233;283;-;156;987;314;2,91;441;-;49
