date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets;total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2009-03-31;2,496;-1,992;504;-165;-;-173;11;177;-46;132;-2;129;624;1,388;-;2,187;469;-;4,668;-;1,458;-;539;4,338;6,335;11,003;-;-;1,207;833;382;2,422;3,002;1,33;6,755;73;162;4,012;-;0;4,248;25;4,272;88;-;-;-123;96;-;-;-;479;618;-350;7;-342;-1;-;-;-103;-104;-26;147;289
2009-06-30;2,488;-2,146;341;-186;-;-175;241;221;-46;175;-2;173;319;1,188;-;1,638;328;-;3,473;-;1,652;-;587;4,685;6,923;10,397;-;-;1,081;717;272;2,071;2,474;1,336;5,882;76;68;4,371;-;-;4,515;27;4,542;94;-;-;-48;186;-;-;-;619;658;-181;42;-139;-1;-185;-;-695;-881;44;-319;289
2009-09-30;2,352;-2,012;340;-183;-;-184;96;68;-10;58;-1;57;180;1,008;-;1,518;358;-;3,064;-;1,705;-;626;5,223;7,553;10,617;-;-;1,129;957;292;2,377;1,98;1,46;5,818;85;75;4,639;-;-;4,8;28;4,828;104;-;-;-26;34;-;-;-;361;426;-199;5;-195;0;-16;-37;-338;-391;-1;-161;289
2009-12-31;2,425;-1,969;456;-202;-;-217;36;73;-177;250;0;251;168;1,024;-;1,356;623;-;3,171;-;1,74;-;620;5,112;7,473;10,644;-;-;1,188;564;291;2,043;2,405;1,241;5,689;85;75;4,795;-;-;4,955;27;4,982;100;-;-;-59;31;-;-;-;106;196;-239;45;-194;0;-6;-1;-9;-17;-6;-21;289
2010-03-31;2,669;-1,925;743;-187;-;-174;-62;320;-59;262;-2;260;175;1,208;-;1,376;504;-;3,263;-;1,662;-;852;5,052;7,566;10,828;-;-;1,315;511;319;2,145;2,23;1,233;5,608;83;73;5,065;-;0;5,22;28;5,249;95;-;-;-21;19;-;-;-;-56;413;-194;22;-172;0;-;-;-227;-227;-2;11;288
2010-06-30;2,52;-1,857;662;-182;-;-192;501;789;-186;603;-6;597;387;1,031;-;1,318;553;83;3,373;-;1,626;-;811;4,177;6,614;9,987;-;-;1,043;346;320;1,71;2,086;1,017;4,812;76;67;5,03;-;1;5,174;22;5,196;106;-;-;-1;32;-;-;-;-309;96;-170;735;565;-12;-203;-;-241;-456;38;243;288
2010-09-30;2,685;-2,108;578;-183;-;-174;174;395;-80;315;-2;313;445;1,171;-;1,423;603;85;3,727;-;1,682;-;832;4,564;7,079;10,806;-;-;1,22;323;403;1,947;2,09;1,086;5,123;83;74;5,526;-;0;5,683;25;5,709;96;-;-;-7;13;-;-;-;21;336;-126;-65;-191;1;-11;-14;-98;-122;-8;15;288
2010-12-31;2,961;-2,252;710;-206;-;-200;29;331;-67;265;-1;264;506;1,141;-;1,657;630;2;3,936;-;1,756;-;848;4,705;7,309;11,245;-;-;1,393;369;361;2,123;1,913;1,164;5,201;84;75;5,885;-;0;6,043;26;6,069;107;-;-;-3;57;-;-;-;-89;329;-139;24;-115;0;-1;-5;-152;-158;2;57;288
2011-03-31;3,462;-2,554;908;-199;-;-199;139;649;-142;507;-2;505;595;1,556;-;1,74;574;-;4,466;-;1,777;-;898;4,925;7,6;12,066;-;-;1,664;133;432;2,229;1,92;1,227;5,377;89;79;6,522;-;-;6,689;31;6,72;112;-;-;5;49;-;-;-;-185;455;-146;36;-110;0;-;-16;-263;-279;-7;59;287
2011-06-30;3,427;-2,596;831;-224;-;-204;99;502;-92;411;-1;409;585;1,483;-;1,825;602;-;4,495;-;1,885;-;900;4,943;7,728;12,223;-;-;1,548;258;501;2,307;1,909;1,163;5,379;91;22;6,731;-;0;6,844;28;6,872;114;-;-;-8;89;-;-;-;-306;212;-144;96;-48;-4;-269;0;85;-187;-1;-24;287
