Date,real_date,local_amount,usd_rate,currency,usd_dividend
2005-05-16 00:00:00+02:00,2005-05-16,2.25,6.426599979400635,NOK,0.35010736738119524
2006-05-08 00:00:00+02:00,2006-05-08,2.35,6.1255998611450195,NOK,0.38363589742551835
2007-05-07 00:00:00+02:00,2007-05-07,2.5,5.976200103759766,NOK,0.4183260193090242
2008-05-05 00:00:00+02:00,2008-05-05,4.0,5.124599933624268,NOK,0.7805487358641638
2009-05-04 00:00:00+02:00,2009-05-04,4.5,6.527100086212158,NOK,0.689433276732771
2010-05-10 00:00:00+02:00,2010-05-10,4.5,6.218800067901611,NOK,0.7236122645631893
2011-05-09 00:00:00+02:00,2011-05-09,5.5,5.461900234222412,NOK,1.0069755513912297
2012-05-07 00:00:00+02:00,2012-05-07,7.0,5.743800163269043,NOK,1.2187053520357853
2013-05-13 00:00:00+02:00,2013-05-13,13.0,5.782149791717529,NOK,2.2482987242256276
2014-05-05 00:00:00+02:00,2014-05-05,10.0,5.9439802169799805,NOK,1.6823743745703117
2015-05-11 00:00:00+02:00,2015-05-11,13.0,7.4609198570251465,NOK,1.7424124972685904
2016-05-09 00:00:00+02:00,2016-05-09,15.0,8.171730041503906,NOK,1.8355966146477638
2017-05-08 00:00:00+02:00,2017-05-08,10.0,8.678359985351562,NOK,1.1522914487160327
2018-05-07 00:00:00+02:00,2018-05-07,6.5,8.04539966583252,NOK,0.807915115467094
2019-05-06 00:00:00+02:00,2019-05-06,6.5,8.755220413208008,NOK,0.742414204694857
2020-05-04 00:00:00+02:00,2020-05-04,15.0,10.245759963989258,NOK,1.4640202437613663
2020-11-16 00:00:00+01:00,2020-11-16,18.0,9.169599533081055,NOK,1.9630083009690462
2021-05-03 00:00:00+02:00,2021-05-03,20.0,8.179309844970703,NOK,2.4451940786052515
2021-09-06 00:00:00+02:00,2021-09-06,20.0,8.641969680786133,NOK,2.3142872214035197
2022-05-09 00:00:00+02:00,2022-05-09,30.0,9.482999801635742,NOK,3.163555902935402
2022-12-05 00:00:00+01:00,2022-12-05,10.0,9.71481990814209,NOK,1.02935515990563
2023-06-12 00:00:00+02:00,2023-06-12,55.0,10.899399757385254,NOK,5.046149441645436
