end,form,cik,rev,cost_sale,sale_gen_adm,inpairm,op_income,int_income,int_exp,inc_tax_exp,net_inc,shares,eps_dil,depr_amort,cash_cash_eq,acc_rec,invent,other_curr_ass,tot_curr_ass,ppe_net,goodwill,intang_ass,other_ass,tot_ass,short_debt,acc_pay,other_curr_liab,tot_curr_liab,tot_long_debt,other_liab,tot_equity,ticker
2015-04-03,10-Q,0000021344,10711000000,4103000000,4079000000,82000000,2296000000,155000000,447000000,415000000,1557000000,4422000000,0.35,473000000,8211000000,4461000000,3219000000,3605000000,32119000000,14346000000,11993000000,6424000000,4602000000,91016000000,2040000000,8853000000,689000000,26123000000,26087000000,4296000000,28837000000,KO
2015-07-03,10-Q,0000021344,12156000000,4748000000,4204000000,82000000,2535000000,149000000,128000000,1250000000,3108000000,4408000000,0.71,473000000,8805000000,4976000000,3224000000,3159000000,32803000000,14365000000,11706000000,6085000000,4517000000,93538000000,2031000000,9997000000,437000000,28852000000,25977000000,4283000000,28418000000,KO
2015-10-02,10-Q,0000021344,11427000000,4577000000,4207000000,82000000,2379000000,155000000,138000000,272000000,1449000000,4399000000,0.33,473000000,9983000000,4028000000,2910000000,3029000000,36594000000,12615000000,11357000000,6032000000,4446000000,93008000000,2692000000,9877000000,383000000,31545000000,25949000000,4194000000,26049000000,KO
2015-12-31,10-Q,0000021344,11427000000,4577000000,4207000000,82000000,2379000000,155000000,138000000,272000000,1449000000,4399000000,0.33,473000000,7309000000,3941000000,2902000000,2752000000,33395000000,12571000000,11289000000,5989000000,4110000000,89996000000,2676000000,9660000000,331000000,26929000000,28311000000,4301000000,25554000000,KO
2015-12-31,10-K,0000021344,44294000000,17482000000,16427000000,4000000,8728000000,613000000,856000000,2239000000,7351000000,4405000000,1.67,1892000000,7309000000,3941000000,2902000000,2752000000,33395000000,12571000000,11289000000,5989000000,4110000000,89996000000,2676000000,9660000000,331000000,26929000000,28311000000,4301000000,25554000000,KO
2016-04-01,10-Q,0000021344,10282000000,4069000000,3761000000,82000000,2141000000,144000000,141000000,401000000,1483000000,4382000000,0.34,458000000,8748000000,4147000000,3052000000,3314000000,36510000000,12613000000,11396000000,6014000000,4314000000,91263000000,4956000000,9626000000,275000000,30987000000,26990000000,3820000000,24914000000,KO
2016-07-01,10-Q,0000021344,11539000000,4471000000,3912000000,82000000,2859000000,164000000,162000000,839000000,3448000000,4377000000,0.79,458000000,9647000000,4768000000,3005000000,3332000000,35873000000,12663000000,11204000000,6038000000,4370000000,94094000000,4895000000,10235000000,375000000,29544000000,29252000000,3963000000,26637000000,KO
2016-09-30,10-Q,0000021344,10633000000,4131000000,4009000000,82000000,2271000000,164000000,182000000,378000000,1046000000,4364000000,0.24,458000000,11147000000,4082000000,2751000000,3091000000,37956000000,11172000000,10865000000,6183000000,4526000000,93927000000,3473000000,11153000000,396000000,27792000000,31663000000,3984000000,26076000000,KO
2016-12-31,10-K,0000021344,41863000000,16465000000,15370000000,10000000,8657000000,642000000,733000000,1586000000,6527000000,4367000000,1.49,1832000000,8555000000,3856000000,2675000000,2481000000,34010000000,10635000000,10629000000,6097000000,4248000000,87270000000,3527000000,9490000000,307000000,26532000000,29684000000,4081000000,23062000000,KO
2016-12-31,10-Q,0000021344,10633000000,4131000000,4009000000,82000000,2271000000,164000000,182000000,378000000,1046000000,4364000000,0.24,458000000,8555000000,3856000000,2675000000,2481000000,34010000000,10635000000,10629000000,6097000000,4248000000,87270000000,3527000000,9490000000,307000000,26532000000,29684000000,4081000000,23062000000,KO
2017-03-31,10-Q,0000021344,9118000000,3513000000,3315000000,84000000,1982000000,155000000,192000000,323000000,1182000000,4334000000,0.27,328000000,12120000000,3702000000,2885000000,2670000000,40251000000,9746000000,10008000000,6478000000,4454000000,91201000000,2185000000,10251000000,268000000,28656000000,31538000000,4041000000,22876000000,KO
2017-06-30,10-Q,0000021344,9702000000,3659000000,3180000000,291000000,2037000000,165000000,231000000,1252000000,1371000000,4327,0.32,328000000,12528000000,4024000000,2790000000,2866000000,38961000000,8672000000,9449000000,6527000000,4318000000,91146000000,3478000000,10363000000,351000000,28830000000,31805000000,4092000000,22001000000,KO
2017-09-29,10-Q,0000021344,9078000000,3394000000,3245000000,291000000,2245000000,175000000,208000000,230000000,1447000000,4320,0.33,328000000,12528000000,3664000000,2608000000,2993000000,38404000000,8306000000,9473000000,6575000000,4480000000,90515000000,3231000000,10212000000,355000000,27633000000,32471000000,3946000000,22119000000,KO
2017-12-31,10-Q,0000021344,9078000000,3394000000,3245000000,291000000,2245000000,175000000,208000000,230000000,1447000000,4320,0.33,328000000,6006000000,3667000000,2655000000,2000000000,36545000000,8203000000,9401000000,6729000000,4230000000,87896000000,3298000000,9346000000,410000000,27194000000,31182000000,8021000000,17072000000,KO
2017-12-31,10-K,0000021344,36212000000,13721000000,12834000000,390000000,7755000000,679000000,853000000,5607000000,1248000000,4324000000,0.29,1312000000,6006000000,3667000000,2655000000,2000000000,36545000000,8203000000,9401000000,6729000000,4230000000,87896000000,3298000000,9346000000,410000000,27194000000,31182000000,8021000000,17072000000,KO
2018-03-30,10-Q,0000021344,7626000000,2738000000,2541000000,291000000,1811000000,165000000,230000000,506000000,1368000000,4306,0.32,270000000,8291000000,3904000000,2937000000,2449000000,38042000000,7977000000,9908000000,6753000000,4428000000,93282000000,4370000000,10218000000,579000000,31480000000,29792000000,8079000000,19610000000,KO
2018-06-29,10-Q,0000021344,9421000000,3543000000,2887000000,291000000,2766000000,173000000,247000000,611000000,2316000000,4290000000,0.54,270000000,8149000000,4565000000,2881000000,2543000000,36024000000,7688000000,9863000000,6669000000,4401000000,89593000000,4023000000,10842000000,362000000,31398000000,28063000000,7367000000,18323000000,KO
2018-09-28,10-Q,0000021344,8775000000,3346000000,2660000000,291000000,2614000000,171000000,214000000,555000000,1880000000,4295000000,0.44,270000000,9065000000,3702000000,2627000000,2066000000,33413000000,7404000000,9856000000,6668000000,4535000000,86877000000,6341000000,10317000000,313000000,31430000000,25523000000,7246000000,18264000000,KO
2018-12-31,10-Q,0000021344,8775000000,3346000000,2660000000,291000000,2614000000,171000000,214000000,555000000,1880000000,4295000000,0.44,270000000,9077000000,3685000000,3071000000,2059000000,24930000000,9598000000,14109000000,6682000000,4148000000,83216000000,5003000000,9533000000,411000000,28782000000,25376000000,7646000000,16981000000,KO
2018-12-31,10-K,0000021344,34300000000,13067000000,11002000000,390000000,9152000000,689000000,950000000,1749000000,6434000000,4299000000,1.5,1080000000,9077000000,3685000000,3071000000,2059000000,24930000000,9598000000,14109000000,6682000000,4148000000,83216000000,5003000000,9533000000,411000000,28782000000,25376000000,7646000000,16981000000,KO
2019-03-29,10-Q,0000021344,8694000000,3365000000,2767000000,291000000,2435000000,133000000,245000000,522000000,1678000000,4306000000,0.39,275000000,5848000000,3852000000,3178000000,2935000000,28540000000,8866000000,12964000000,9351000000,5382000000,88347000000,3297000000,10986000000,255000000,27943000000,29400000000,8598000000,17735000000,KO
2019-06-28,10-Q,0000021344,9997000000,3921000000,2996000000,291000000,2988000000,142000000,236000000,421000000,2607000000,4305000000,0.61,275000000,6731000000,4888000000,3453000000,2658000000,24360000000,10254000000,16840000000,9313000000,5596000000,89996000000,2749000000,12819000000,784000000,29382000000,29296000000,8336000000,18181000000,KO
2019-09-27,10-Q,0000021344,9507000000,3767000000,3116000000,291000000,2499000000,153000000,230000000,503000000,2593000000,4321000000,0.6,275000000,7531000000,4353000000,3266000000,2510000000,23117000000,10217000000,16465000000,9167000000,5750000000,87433000000,492000000,12727000000,909000000,25100000000,31012000000,8057000000,18713000000,KO
2019-12-31,10-Q,0000021344,9507000000,3767000000,3116000000,291000000,2499000000,153000000,230000000,503000000,2593000000,4321000000,0.6,275000000,6480000000,3971000000,3379000000,1886000000,20411000000,10838000000,16764000000,9266000000,6075000000,86381000000,4253000000,11312000000,414000000,26973000000,27516000000,8510000000,18981000000,KO
2019-12-31,10-K,0000021344,37266000000,14619000000,12103000000,390000000,10086000000,563000000,946000000,1801000000,8920000000,4314000000,2.07,1100000000,6480000000,3971000000,3379000000,1886000000,20411000000,10838000000,16764000000,9266000000,6075000000,86381000000,4253000000,11312000000,414000000,26973000000,27516000000,8510000000,18981000000,KO
2020-03-27,10-Q,0000021344,8601000000,3371000000,2648000000,291000000,2380000000,112000000,193000000,215000000,2775000000,4325000000,0.64,367000000,13561000000,4430000000,3558000000,2580000000,28234000000,10993000000,16673000000,10457000000,6001000000,94013000000,5642000000,12640000000,458000000,32397000000,31094000000,8832000000,18158000000,KO
2020-06-26,10-Q,0000021344,7150000000,3013000000,1983000000,291000000,1981000000,100000000,274000000,438000000,1779000000,4316000000,0.41,367000000,10037000000,3849000000,3501000000,2205000000,29371000000,10695000000,16617000000,10172000000,5875000000,94689000000,5181000000,11668000000,576000000,26848000000,37729000000,8954000000,17484000000,KO
2020-09-25,10-Q,0000021344,8652000000,3471000000,2511000000,291000000,2298000000,82000000,660000000,441000000,1737000000,4321000000,0.4,367000000,11385000000,3827000000,3264000000,2191000000,30410000000,10667000000,16887000000,10333000000,6161000000,97184000000,7508000000,12750000000,776000000,26891000000,39502000000,8530000000,18607000000,KO
2020-12-31,10-Q,0000021344,8652000000,3471000000,2511000000,291000000,2298000000,82000000,660000000,441000000,1737000000,4321000000,0.4,367000000,6795000000,3144000000,3266000000,1916000000,19240000000,10777000000,17506000000,10395000000,6184000000,87296000000,485000000,11145000000,788000000,14601000000,40125000000,9453000000,19299000000,KO
2020-12-31,10-K,0000021344,33014000000,13433000000,9731000000,14000000,8997000000,370000000,1437000000,1981000000,7747000000,4323000000,1.79,1468000000,6795000000,3144000000,3266000000,1916000000,19240000000,10777000000,17506000000,10395000000,6184000000,87296000000,485000000,11145000000,788000000,14601000000,40125000000,9453000000,19299000000,KO
2021-04-02,10-Q,0000021344,9020000000,3505000000,2669000000,291000000,2722000000,66000000,442000000,508000000,2245000000,4330000000,0.52,366000000,8484000000,3762000000,3356000000,2225000000,21932000000,10673000000,17618000000,10584000000,6494000000,89993000000,2880000000,10929000000,744000000,16486000000,40170000000,8558000000,20355000000,KO
2021-07-02,10-Q,0000021344,10129000000,3787000000,3017000000,291000000,3016000000,71000000,780000000,994000000,2641000000,4338000000,0.61,366000000,9188000000,4036000000,3281000000,2122000000,22481000000,10547000000,17693000000,10675000000,6553000000,90194000000,337000000,12124000000,971000000,15299000000,39804000000,8350000000,22249000000,KO
2021-10-01,10-Q,0000021344,10042000000,3977000000,3122000000,291000000,2898000000,68000000,210000000,609000000,2471000000,4344000000,0.57,366000000,11301000000,3889000000,3182000000,2300000000,24240000000,10058000000,17455000000,10449000000,6490000000,90606000000,448000000,12830000000,846000000,15990000000,39394000000,8401000000,22179000000,KO
2021-12-31,10-Q,0000021344,10042000000,3977000000,3122000000,291000000,2898000000,68000000,210000000,609000000,2471000000,4344000000,0.57,366000000,9684000000,3512000000,3414000000,2994000000,22545000000,9920000000,19363000000,14465000000,6731000000,94354000000,1338000000,14619000000,686000000,19950000000,38116000000,8607000000,22999000000,KO
2021-12-31,10-K,0000021344,38655000000,15357000000,12144000000,7000000,10308000000,276000000,1597000000,2621000000,9771000000,4340000000,2.25,1464000000,9684000000,3512000000,3414000000,2994000000,22545000000,9920000000,19363000000,14465000000,6731000000,94354000000,1338000000,14619000000,686000000,19950000000,38116000000,8607000000,22999000000,KO
2022-04-01,10-Q,0000021344,10491000000,4091000000,2967000000,291000000,3405000000,78000000,182000000,665000000,2781000000,4357000000,0.64,324000000,7681000000,4641000000,3741000000,3418000000,22156000000,9784000000,19598000000,14388000000,6392000000,94064000000,1039000000,13272000000,866000000,18787000000,37052000000,8252000000,24845000000,KO
2022-07-01,10-Q,0000021344,11325000000,4830000000,3203000000,291000000,2341000000,100000000,198000000,384000000,1905000000,4353000000,0.44,324000000,8976000000,4494000000,3621000000,3407000000,23141000000,9462000000,18910000000,14271000000,6470000000,93169000000,788000000,14213000000,1172000000,20531000000,36755000000,8046000000,23005000000,KO
2022-09-30,10-Q,0000021344,11063000000,4566000000,3279000000,291000000,3088000000,128000000,198000000,622000000,2825000000,4346000000,0.65,324000000,10127000000,3994000000,3708000000,3217000000,24139000000,9243000000,18329000000,13968000000,6130000000,92471000000,729000000,16103000000,1211000000,21439000000,35462000000,8010000000,22805000000,KO
2022-12-31,10-Q,0000021344,11063000000,4566000000,3279000000,291000000,3088000000,128000000,198000000,622000000,2825000000,4346000000,0.65,324000000,9519000000,3487000000,4233000000,3240000000,22591000000,9841000000,18782000000,14214000000,6189000000,92763000000,399000000,15749000000,1203000000,19724000000,36377000000,7922000000,24105000000,KO
2022-12-31,10-K,0000021344,43004000000,18000000000,12880000000,7000000,10909000000,449000000,882000000,2115000000,9542000000,4350000000,2.19,1296000000,9519000000,3487000000,4233000000,3240000000,22591000000,9841000000,18782000000,14214000000,6189000000,92763000000,399000000,15749000000,1203000000,19724000000,36377000000,7922000000,24105000000,KO
2023-03-31,10-Q,0000021344,10980000000,4317000000,3185000000,291000000,3367000000,168000000,372000000,940000000,3107000000,4345000000,0.72,286000000,12004000000,4599000000,4727000000,3259000000,26880000000,9848000000,18678000000,14283000000,6324000000,97404000000,811000000,15593000000,1498000000,23357000000,36134000000,7874000000,25217000000,KO
2023-06-30,10-Q,0000021344,11972000000,4912000000,3321000000,291000000,2401000000,224000000,374000000,359000000,2547000000,4341000000,0.59,286000000,12564000000,3970000000,4646000000,3281000000,27591000000,9706000000,18545000000,14369000000,6592000000,98456000000,1171000000,16483000000,1633000000,24115000000,35626000000,8449000000,26013000000,KO
