end,form,cik,rev,cost_sale,sale_gen_adm,inpairm,op_income,int_income,int_exp,inc_tax_exp,net_inc,shares,eps_dil,depr_amort,cash_cash_eq,acc_rec,invent,other_curr_ass,tot_curr_ass,ppe_net,goodwill,intang_ass,other_ass,tot_ass,short_debt,acc_pay,other_curr_liab,tot_curr_liab,tot_long_debt,other_liab,tot_equity,ticker
2018-06-30,10-Q,0000051253,920016000,521299000,157407000,0.0,154509000,20655000,53246000,22769000,99685000,79303000,1.25,33384000,322423000,723855000,695192000,285110000,2026580000,867629000,1148586000,391426000,157017000,4673442000,6500000,315656000,263448000,699370000,1717189000,238635000,1749855000,IFF
2018-09-30,10-Q,0000051253,907548000,506882000,157796000,0.0,159268000,4158000,23914000,4986000,95716000,81647000,1.17,33384000,5274459000,701111000,719508000,251749000,6946827000,874817000,1152864000,385575000,167978000,9615542000,45985000,312236000,257364000,758456000,4331242000,235332000,4031814000,IFF
2018-12-31,10-Q,0000051253,907548000,506882000,157796000,0.0,159268000,4158000,23914000,4986000,95716000,81647000,1.17,33384000,634897000,63460000,1078537000,277036000,2941860000,1241152000,5378388000,3039322000,288673000,12889395000,48642000,471382000,530508000,1128311000,4504417000,248436000,6032951000,IFF
2018-12-31,10-K,0000051253,3977539000,2294832000,707461000,0.0,583882000,35243000,132558000,107976000,339781000,88121000,3.79,133536000,634897000,63460000,1078537000,277036000,2941860000,1241152000,5378388000,3039322000,288673000,12889395000,48642000,471382000,530508000,1128311000,4504417000,248436000,6032951000,IFF
2019-03-31,10-Q,0000051253,1297402000,766143000,213182000,0.0,163870000,7278000,36572000,23362000,111214000,113389000,0.96,81775000,483504000,1003965000,1114488000,310243000,2925825000,1294029000,5434000000,2974177000,583389000,13211420000,84003000,476413000,414626000,1144134000,4421430000,492029000,6143211000,IFF
2019-06-30,10-Q,0000051253,1291568000,745329000,210100000,0.0,199937000,2137000,32593000,30612000,138869000,112872000,1.2,81775000,426717000,1046028000,1163653000,325525000,2990026000,1316305000,5506317000,2944667000,590767000,13348082000,84231000,463555000,429939000,1149533000,4428675000,514802000,6199379000,IFF
2019-09-30,10-Q,0000051253,1267345000,734257000,210829000,0.0,184664000,5699000,33497000,27059000,129807000,113493000,1.13,81775000,494897000,942705000,1126389000,325410000,2898558000,1313539000,5381447000,2829931000,561249000,12984724000,384823000,416563000,419362000,1412449000,4008134000,530974000,6055819000,IFF
2019-12-31,10-Q,0000051253,1267345000,734257000,210829000,0.0,184664000,5699000,33497000,27059000,129807000,113493000,1.13,81775000,606823000,876197000,1123068000,319334000,2942544000,1386920000,5497000000,2851935000,608416000,13287411000,384958000,510372000,576822000,1552190000,3997438000,502366000,6217304000,IFF
2019-12-31,10-K,0000051253,5140000000,3027000000,876000000,0.0,665270000,30000000,138000000,97000000,460000000,113000000,4.0,327100000,606823000,876197000,1123068000,319334000,2942544000,1386920000,5497000000,2851935000,608416000,13287411000,384958000,510372000,576822000,1552190000,3997438000,502366000,6217304000,IFF
2020-03-31,10-Q,0000051253,1347000000,781000000,230000000,0.0,196000000,-11000000,32000000,26000000,127211000,113000000,1.15,81000000,433000000,943114000,1075913000,356322000,2818294000,1339124000,5267559000,2677446000,586653000,12689076000,385569000,456156000,418125000,1426995000,3946905000,494193000,5827850000,IFF
2020-06-30,10-Q,0000051253,1198773000,717000000,230000000,0.0,120000000,16000000,32000000,16000000,88000000,114000000,0.74,81000000,498000000,961568000,1165860000,377623000,3012585000,1355619000,5348623000,2681087000,591216000,12989130000,185200000,550533000,438891000,1344172000,4181701000,494401000,5987805000,IFF
2020-09-30,10-Q,0000051253,1268000000,743649000,235000000,0.0,150000000,-10000000,35000000,19000000,86000000,114000000,0.75,81000000,470000000,928625000,1151281000,383618000,2946205000,1380423000,5427482000,2675482000,655782000,13085374000,440962000,505259000,480426000,1616259000,3890762000,517296000,6078207000,IFF
2020-12-31,10-K,0000051253,5084000000,2998000000,949000000,0.0,566000000,7000000,132000000,74000000,367000000,114000000,3.21,324000000,650000000,929000000,1132000000,342000000,3060000000,1458000000,5593000000,2727000000,418000000,13555000000,634000000,556000000,499000000,1904000000,3779000000,268000000,6310000000,IFF
2020-12-31,10-Q,0000051253,1268000000,743649000,235000000,0.0,150000000,-10000000,35000000,19000000,86000000,114000000,0.75,81000000,650000000,929000000,1132000000,342000000,3060000000,1458000000,5593000000,2727000000,418000000,13555000000,634000000,556000000,499000000,1904000000,3779000000,268000000,6310000000,IFF
2021-03-31,10-Q,0000051253,2465000000,1711000000,451000000,0.0,4000000,7000000,65000000,-14000000,-40000000,206000000,-0.21,242000000,872000000,2023000000,2589000000,683000000,6174000000,4587000000,17104000000,11652000000,497000000,40817000000,628000000,1337000000,882000000,3261000000,11330000000,469000000,21642000000,IFF
