end,form,cik,rev,cost_sale,sale_gen_adm,inpairm,op_income,int_income,int_exp,inc_tax_exp,net_inc,shares,eps_dil,depr_amort,cash_cash_eq,acc_rec,invent,other_curr_ass,tot_curr_ass,ppe_net,goodwill,intang_ass,other_ass,tot_ass,short_debt,acc_pay,other_curr_liab,tot_curr_liab,tot_long_debt,other_liab,tot_equity,ticker
2011-01-01,10-Q,0000100493,7615000000,6871000000,246000000,0.0,498000000,3000000,66000000,151000000,294000000,379000000,0.78,128000000.0,1122000000,1180000000,2489000000,162000000,4953000000,3714000000,1894000000,163000000,466000000,11190000000,424000000,1212000000,520000000,2645000000,2124000000,520000000,5445000000,TSN
2011-04-02,10-Q,0000100493,8000000000,7467000000,230000000,0.0,303000000,3000000,63000000,85000000,156000000,383000000,0.42,128000000.0,794000000,1256000000,2730000000,157000000,4937000000,3762000000,1895000000,161000000,471000000,11226000000,390000000,1126000000,500000000,2479000000,2105000000,500000000,5649000000,TSN
2011-07-02,10-Q,0000100493,8247000000,7716000000,219000000,0.0,312000000,2000000,58000000,75000000,188000000,383000000,0.51,128000000.0,981000000,1334000000,2711000000,146000000,5172000000,3802000000,1895000000,158000000,461000000,11488000000,362000000,1193000000,457000000,2761000000,2094000000,457000000,5752000000,TSN
2011-10-01,10-Q,0000100493,8404000000,7716000000,219000000,0.0,172000000,2000000,58000000,75000000,95000000,383000000,0.26,128000000.0,716000000,1321000000,2587000000,156000000,4780000000,3823000000,1892000000,149000000,427000000,11071000000,70000000,1264000000,476000000,2374000000,2112000000,476000000,5657000000,TSN
2011-10-01,10-K,0000100493,32266000000,30067000000,906000000,0.0,1289000000,11000000,242000000,340000000,733000000,380000000,1.97,512000000.0,716000000,1321000000,2587000000,156000000,4780000000,3823000000,1892000000,149000000,427000000,11071000000,70000000,1264000000,476000000,2374000000,2112000000,476000000,5657000000,TSN
2011-12-31,10-Q,0000100493,8329000000,7836000000,215000000,0.0,278000000,2000000,49000000,87000000,156000000,376000000,0.42,122000000.0,857000000,1281000000,2598000000,122000000,4858000000,3888000000,1891000000,145000000,445000000,11227000000,84000000,1358000000,493000000,2374000000,2131000000,493000000,5781000000,TSN
2012-03-31,10-Q,0000100493,8268000000,7733000000,233000000,0.0,306000000,5000000,52000000,91000000,166000000,373000000,0.44,122000000.0,723000000,1253000000,2622000000,152000000,4750000000,3943000000,1892000000,143000000,442000000,11170000000,84000000,1191000000,496000000,2170000000,2136000000,496000000,5906000000,TSN
2012-06-30,10-Q,0000100493,8308000000,7746000000,224000000,0.0,342000000,2000000,215000000,53000000,73000000,369000000,0.21,122000000.0,828000000,1350000000,2672000000,155000000,5005000000,3992000000,1891000000,136000000,437000000,11461000000,84000000,1189000000,517000000,2221000000,2345000000,517000000,5871000000,TSN
2012-09-29,10-Q,0000100493,8373000000,7746000000,224000000,0.0,332000000,2000000,215000000,53000000,181000000,369000000,0.51,122000000.0,1071000000,1378000000,2809000000,145000000,5403000000,4022000000,1891000000,129000000,451000000,11896000000,515000000,1372000000,549000000,2830000000,1917000000,549000000,6012000000,TSN
2012-09-29,10-K,0000100493,33278000000,31118000000,904000000,0.0,1248000000,12000000,356000000,351000000,576000000,370000000,1.58,488000000.0,1071000000,1378000000,2809000000,145000000,5403000000,4022000000,1891000000,129000000,451000000,11896000000,515000000,1372000000,549000000,2830000000,1917000000,549000000,6012000000,TSN
