end,form,cik,rev,cost_sale,sale_gen_adm,inpairm,op_income,int_income,int_exp,inc_tax_exp,net_inc,shares,eps_dil,depr_amort,cash_cash_eq,acc_rec,invent,other_curr_ass,tot_curr_ass,ppe_net,goodwill,intang_ass,other_ass,tot_ass,short_debt,acc_pay,other_curr_liab,tot_curr_liab,tot_long_debt,other_liab,tot_equity,ticker
2016-09-30,10-Q,0001144519,15616000000,10867000000,324000000,0.0,170000000,13000000,73000000,45000000,118000000,139927845,0.83,149000000,297000000,1680000000,5173000000,4612000000,11923000000,5169000000,371000000,318000000,899000000,20045000000,863000000,3205000000,3121000000,8281000000,3447000000,826000000,7083000000,BG
2016-12-31,10-Q,0001144519,15616000000,10867000000,324000000,0.0,170000000,13000000,73000000,45000000,271000000,148078492,1.82,149000000,934000000,1676000000,4773000000,3645000000,11092000000,5099000000,373000000,336000000,927000000,19188000000,938000000,3485000000,2476000000,7684000000,3069000000,853000000,7144000000,BG
2016-12-31,10-K,0001144519,42679000000,40269000000,1284000000,76000000.0,996000000,51000000,234000000,220000000,745000000,148226475,5.01,596000000,934000000,1676000000,4773000000,3645000000,11092000000,5099000000,373000000,336000000,927000000,19188000000,938000000,3485000000,2476000000,7684000000,3069000000,853000000,7144000000,BG
2017-03-31,10-Q,0001144519,11121000000,10661000000,378000000,0.0,82000000,12000000,65000000,28000000,47000000,140897156,0.27,130000000,676000000,1671000000,5188000000,4447000000,12008000000,5351000000,497000000,365000000,1001000000,20620000000,938000000,3898000000,2787000000,8616000000,3266000000,889000000,7428000000,BG
2017-06-30,10-Q,0001144519,11645000000,11290000000,328000000,0.0,26000000,8000000,62000000,-55000000,81000000,141398804,0.51,152000000,575000000,1747000000,5454000000,4138000000,11914000000,5331000000,504000000,362000000,942000000,20433000000,206000000,3513000000,2529000000,7933000000,3918000000,879000000,7227000000,BG
2017-09-30,10-Q,0001144519,11423000000,10934000000,339000000,0.0,121000000,9000000,64000000,29000000,92000000,141556299,0.59,166000000,389000000,1867000000,5848000000,3881000000,11985000000,5420000000,515000000,338000000,1015000000,20552000000,287000000,3650000000,2197000000,7468000000,4246000000,842000000,7546000000,BG
2017-12-31,10-Q,0001144519,11605000000,10934000000,339000000,0.0,121000000,9000000,64000000,29000000,-60000000,141556299,-0.48,166000000,601000000,1501000000,5074000000,3227000000,10403000000,5310000000,515000000,323000000,1028000000,18871000000,15000000,3395000000,2186000000,6215000000,4160000000,916000000,7148000000,BG
2017-12-31,10-K,0001144519,45794000000,44029000000,1437000000,0.0,230000000,38000000,263000000,56000000,160000000,141265077,0.89,664000000,601000000,1501000000,5074000000,3227000000,10403000000,5310000000,515000000,323000000,1028000000,18871000000,15000000,3395000000,2186000000,6215000000,4160000000,916000000,7148000000,BG
2018-03-31,10-Q,0001144519,10641000000,10257000000,344000000,0.0,2000000,8000000,70000000,19000000,-21000000,140736907,-0.21,142000000,287000000,1686000000,6952000000,4451000000,13376000000,5735000000,800000000,801000000,1079000000,23084000000,14000000,3909000000,3016000000,8550000000,5446000000,980000000,7065000000,BG
2018-06-30,10-Q,0001144519,12147000000,11605000000,377000000,0.0,-15000000,6000000,94000000,2000000,-12000000,140959421,-0.15,162000000,221000000,1814000000,7062000000,4421000000,13518000000,5274000000,728000000,738000000,908000000,22124000000,625000000,3138000000,2917000000,9043000000,4992000000,950000000,6146000000,BG
2018-09-30,10-Q,0001144519,11412000000,10494000000,333000000,0.0,452000000,7000000,101000000,85000000,365000000,149905174,2.44,159000000,267000000,1713000000,7183000000,3948000000,13111000000,5164000000,723000000,711000000,849000000,21446000000,331000000,3274000000,2639000000,8301000000,4912000000,947000000,6280000000,BG
2018-12-31,10-Q,0001144519,11543000000,10494000000,333000000,0.0,452000000,7000000,101000000,85000000,-65000000,149905174,-0.52,159000000,389000000,1637000000,5871000000,3171000000,11068000000,5201000000,727000000,697000000,823000000,19425000000,419000000,3501000000,2502000000,7172000000,4203000000,892000000,6173000000,BG
2018-12-31,10-K,0001144519,45743000000,43477000000,1423000000,0.0,456000000,31000000,339000000,179000000,267000000,141703783,1.64,636000000,389000000,1637000000,5871000000,3171000000,11068000000,5201000000,727000000,697000000,823000000,19425000000,419000000,3501000000,2502000000,7172000000,4203000000,892000000,6173000000,BG
2019-03-31,10-Q,0001144519,9938000000,9501000000,305000000,0.0,88000000,7000000,75000000,38000000,45000000,141558770,0.26,139000000,464000000,1717000000,5938000000,3120000000,11239000000,5197000000,723000000,657000000,821000000,20535000000,414000000,3841000000,1840000000,8053000000,3821000000,874000000,6100000000,BG
2019-06-30,10-Q,0001144519,10096000000,9584000000,335000000,0.0,272000000,7000000,88000000,60000000,214000000,150136640,1.43,155000000,238000000,1711000000,5875000000,3283000000,11107000000,5238000000,729000000,643000000,750000000,20424000000,424000000,3053000000,1864000000,7457000000,4039000000,879000000,6331000000,BG
2019-09-30,10-Q,0001144519,10323000000,11301000000,329000000,0.0,-1510000000,8000000,86000000,-28000000,-1488000000,141562431,-10.57,134000000,291000000,1834000000,5466000000,3159000000,10826000000,4126000000,701000000,606000000,712000000,18634000000,65000000,3046000000,1782000000,7369000000,4581000000,769000000,4460000000,BG
2019-12-31,10-K,0001144519,41140000000,40598000000,1351000000,108000000.0,-1205000000,31000000,339000000,86000000,-1280000000,141492289,-9.34,536000000,320000000,1705000000,5038000000,3113000000,10248000000,4132000000,611000000,583000000,678000000,18317000000,507000000,2842000000,2255000000,6595000000,3716000000,711000000,5913000000,BG
